District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalkot,584,28584,1047,21592,6753,14,239,0
Bellary,1622,72677,3586,54112,17518,28,1047,0
Belgaum,1502,45059,614,34206,10464,7,389,0
Bangalore Rural,1265,43100,1318,28499,14256,10,345,0
Bangalore Central,13402,1042714,7379,666582,366791,94,9340,1
Bidar,185,22612,285,19510,2769,6,329,4
Chamrajnagar,535,20416,793,15497,4634,8,274,11
Chikkaballapura,595,30249,739,23242,6798,5,208,1
Chitradurga,454,20179,207,17561,2516,4,102,0
Dakshina Kannada,1787,63357,1490,49355,13194,3,806,2
Davanagere,292,31846,487,28619,2916,2,311,0
Dharwad,901,43043,934,36554,5699,8,789,1
Hassan,2443,62199,1613,46014,15491,11,693,1
Haveri,267,16100,282,13985,1796,6,319,0
Kolar,778,28610,152,22622,5727,5,261,0
Koppal,630,24830,653,18902,5607,10,321,0
Mandya,1188,50073,1202,41362,8377,10,334,0
Mysore,2489,110316,2338,94053,14866,15,1397,0
Raichur,467,30680,277,22814,7653,4,213,0
Shimoga,1081,39337,647,30926,7839,15,572,0
Tumkur,2302,79341,1234,51786,26877,18,678,0
Udupi Chikmagalur,1146,45985,1496,38466,7259,7,260,0
Uttara Kannada,1226,31760,935,24533,6875,4,352,0
