State,Total Individuals Vaccinated,Total Sessions Conducted,Total Sites ,First Dose Administered,Second Dose Administered,Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Covaxin Administered,Total CoviShield Administered,AEFI,18-30 years (Age),30-45 years (Age),45-60 years (Age),60+ years (Age)
Andaman & Nicobar Island,100058,4000,35,100058,15130,53903,46147,8,0,115188,2,2303,8144,59293,30316
Andhra Pradesh,5484714,100480,968,5484714,2167213,2813644,2670349,721,1325533,6326394,324,404071,569847,2494640,2015088
Arunanchal Pradesh,218759,12950,98,218759,77881,123119,95558,82,0,296640,263,17924,44392,112249,44162
Assam,2631676,151160,1230,2631676,730877,1426380,1204930,366,694297,2668256,175,182803,367548,1322968,758184
Bihar,7180068,472610,2588,7180068,1689456,3829966,3349038,1064,593607,8275917,185,551917,716683,2745972,3164192
Chandigarh,211162,8300,63,211162,73672,118975,92173,14,0,284834,103,11839,22114,105722,71458
Chhattisgarh,5058803,463120,3563,5058803,1079462,2473087,2585157,559,158098,5980167,551,131259,324791,2867587,1734851
Dadara & Nagar Havelli,,,,,,,,,,,,,,,
Goa,342243,12108,90,342243,94215,173190,169032,21,2828,433630,556,17763,28588,158645,137232
Gujarat,11213044,212660,1637,11213044,3842538,5982566,5229067,1411,1647234,13408348,965,750553,1197495,5068749,4193758
Haryana,3977395,125280,1049,3977395,916353,2104603,1872209,583,559732,4334016,832,287910,466277,1584017,1637270
Himachal Pradesh,1784546,72450,636,1784546,432675,866844,917412,290,0,2217221,663,31672,68082,933414,751173
Jammu & Kashmir,2313307,155150,1319,2313307,532986,1350850,962039,418,31365,2814928,109,75386,217268,1199361,821138
Jharkhand,2876996,266006,1642,2876996,664502,1501678,1375010,308,414774,3126724,516,132486,307143,1258483,1178475
Karnataka,8927204,663200,6150,8927204,2497252,4321103,4604869,1232,1100992,10323464,2516,422518,613785,4131870,3757154
Kerala,6426197,193340,1222,6426197,1991643,2929192,3496162,843,503057,7914783,2338,224961,415459,2527786,3256481
Lakshadweep,21452,1956,17,21452,6806,11997,9453,2,0,28258,0,652,1909,12028,6863
Madhya Pradesh,7472841,601434,4209,7472841,1690706,4007674,3464264,903,1023820,8139727,522,288667,568009,3569075,3045897
Maharashtra,15706411,663785,4666,15706411,4206550,8463005,7241289,2117,2325861,17587100,3819,837856,1747394,7004222,6114228
Manipur,307272,14650,114,307272,69725,174158,133079,35,0,376997,76,20437,67132,140763,78881
Meghalaya,326762,27664,247,326762,74061,168275,158458,29,0,400823,264,31920,57961,163700,73153
Mizoram,238803,6150,30,238803,50967,120413,118379,11,0,289770,628,9941,24241,124257,80349
Nagaland,182048,7050,49,182048,51777,107893,74143,12,0,233825,34,11335,37874,83992,48829
Odisha,5256185,157565,768,5256185,1405377,2755958,2499465,762,633354,6028208,204,196262,363737,2342045,2353606
Puducherry,183038,14000,64,183038,50455,92689,90326,23,74,233419,19,20455,21087,79185,62258
Punjab,3488899,308670,2566,3488899,706267,1981795,1506709,395,328021,3867145,120,223433,485855,1516978,1262178
Rajasthan,12151403,450827,2429,12151403,2984079,6254687,5894955,1761,828697,14306785,456,618530,941422,5181411,5408122
Sikkim,166200,8200,48,166200,59594,89534,76644,22,0,225794,217,7595,12877,91079,54636
Tamil Nadu,5162834,319540,2789,5162834,1911232,2698147,2464084,603,1065723,6008343,122,323407,625208,2373734,1839278
Telangana,4450028,82305,631,4450028,1063710,2263096,2186019,913,709492,4804236,374,134718,318935,2389453,1606206
Tripura,985530,88270,554,985530,506661,508554,476843,133,9235,1482956,62,23330,81315,556411,324410
Uttar Pradesh,11723371,951475,6405,11723371,3260235,6625417,5095812,2142,1711653,13271953,1144,623297,1059513,5411510,4625425
Uttarakhand,1964930,162790,734,1964930,680409,1000126,964446,358,30551,2614788,284,112425,190587,880300,781246
West Bengal,8955081,265500,1535,8955081,3717988,4820673,4133379,1029,1395568,11277501,1034,293620,839189,4023691,3797563
