date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Bagalakote,20.0,208.0,6.0,123.0,80.0,,5.0,0.0
july02,Bagalakote,10.0,218.0,0.0,123.0,90.0,,5.0,0.0
july03,Bagalakote,8.0,226.0,0.0,123.0,98.0,,5.0,0.0
july04,Bagalakote,0.0,226.0,0.0,123.0,98.0,,5.0,0.0
july05,Bagalakote,4.0,230.0,14.0,137.0,88.0,,5.0,0.0
july06,Bagalakote,33.0,263.0,0.0,137.0,120.0,,6.0,0.0
july07,Bagalakote,26.0,289.0,4.0,141.0,141.0,,7.0,0.0
july08,Bagalakote,24.0,313.0,9.0,150.0,156.0,,7.0,0.0
july10,Bagalakote,6.0,355.0,0.0,150.0,198.0,,7.0,0.0
july11,Bagalakote,37.0,392.0,0.0,150.0,233.0,,9.0,0.0
july12,Bagalakote,7.0,399.0,28.0,178.0,210.0,2.0,11.0,0.0
july13,Bagalakote,37.0,436.0,31.0,209.0,214.0,2.0,13.0,0.0
july14,Bagalakote,78.0,514.0,0.0,209.0,288.0,4.0,17.0,0.0
july15,Bagalakote,34.0,548.0,0.0,209.0,319.0,3.0,20.0,0.0
july16,Bagalakote,39.0,587.0,7.0,216.0,346.0,5.0,25.0,0.0
july17,Bagalakote,29.0,616.0,0.0,216.0,374.0,1.0,26.0,0.0
july19,Bagalakote,60.0,689.0,21.0,264.0,394.0,2.0,31.0,0.0
july20,Bagalakote,54.0,743.0,0.0,264.0,445.0,3.0,34.0,0.0
july21,Bagalakote,65.0,808.0,54.0,318.0,456.0,0.0,34.0,0.0
july22,Bagalakote,70.0,878.0,0.0,318.0,524.0,2.0,36.0,0.0
july23,Bagalakote,106.0,984.0,0.0,318.0,630.0,0.0,36.0,0.0
july24,Bagalakote,184.0,1168.0,0.0,318.0,814.0,0.0,36.0,0.0
july25,Bagalakote,57.0,1225.0,159.0,477.0,712.0,0.0,36.0,0.0
july26,Bagalakote,41.0,1266.0,153.0,630.0,598.0,2.0,38.0,0.0
july27,Bagalakote,27.0,1293.0,13.0,643.0,610.0,2.0,40.0,0.0
july28,Bagalakote,115.0,1408.0,87.0,730.0,636.0,2.0,42.0,0.0
july29,Bagalakote,57.0,1465.0,21.0,751.0,670.0,2.0,44.0,0.0
july30,Bagalakote,126.0,1591.0,55.0,806.0,739.0,2.0,46.0,0.0
july31,Bagalakote,88.0,1679.0,0.0,806.0,826.0,1.0,47.0,0.0
aug01,Bagalakote,134.0,1813.0,101.0,907.0,859.0,0.0,47.0,0.0
aug02,Bagalakote,131.0,1944.0,60.0,967.0,928.0,2.0,49.0,0.0
aug03,Bagalakote,209.0,2153.0,64.0,1031.0,1073.0,0.0,49.0,0.0
aug04,Bagalakote,144.0,2297.0,28.0,1059.0,1188.0,1.0,50.0,0.0
aug05,Bagalakote,149.0,2446.0,42.0,1101.0,1295.0,0.0,50.0,0.0
aug06,Bagalakote,168.0,2614.0,33.0,1134.0,1429.0,1.0,51.0,0.0
aug07,Bagalakote,148.0,2762.0,84.0,1218.0,1493.0,0.0,51.0,0.0
aug08,Bagalakote,149.0,2911.0,376.0,1594.0,1266.0,0.0,51.0,0.0
aug09,Bagalakote,149.0,3060.0,48.0,1642.0,1367.0,0.0,51.0,0.0
aug10,Bagalakote,147.0,3207.0,333.0,1975.0,1180.0,1.0,52.0,0.0
aug11,Bagalakote,135.0,3342.0,158.0,2133.0,1156.0,1.0,53.0,0.0
aug12,Bagalakote,170.0,3512.0,212.0,2345.0,1114.0,0.0,53.0,0.0
aug13,Bagalakote,143.0,3655.0,162.0,2507.0,1094.0,1.0,54.0,0.0
aug14,Bagalakote,171.0,3826.0,296.0,2803.0,969.0,0.0,54.0,0.0
aug15,Bagalakote,168.0,3994.0,138.0,2941.0,999.0,0.0,54.0,0.0
aug16,Bagalakote,156.0,4150.0,44.0,2985.0,1111.0,0.0,54.0,0.0
aug17,Bagalakote,164.0,4314.0,101.0,3086.0,1173.0,1.0,55.0,0.0
aug18,Bagalakote,171.0,4485.0,264.0,3350.0,1079.0,1.0,56.0,0.0
aug19,Bagalakote,163.0,4648.0,301.0,3651.0,941.0,0.0,56.0,0.0
aug20,Bagalakote,159.0,4807.0,297.0,3948.0,803.0,0.0,56.0,0.0
aug21,Bagalakote,115.0,4922.0,81.0,4029.0,837.0,0.0,56.0,0.0
aug22,Bagalakote,138.0,5060.0,122.0,4151.0,852.0,1.0,57.0,0.0
aug23,Bagalakote,139.0,5199.0,140.0,4291.0,850.0,1.0,58.0,0.0
aug24,Bagalakote,53.0,5252.0,130.0,4421.0,770.0,3.0,61.0,0.0
aug25,Bagalakote,83,5335.0,77.0,4498.0,776.0,0.0,61.0,0.0
aug26,Bagalakote,154.0,5489.0,95.0,4593.0,830.0,5.0,66.0,0.0
aug27,Bagalakote,121.0,5610.0,119.0,4712.0,829.0,3.0,69.0,0.0
aug28,Bagalakote,148.0,5758.0,141.0,4853.0,833.0,3.0,72.0,0.0
aug29,Bagalakote,152.0,5910.0,138.0,4991.0,846.0,1.0,73.0,0.0
aug30,Bagalakote,132.0,6042.0,184.0,5175.0,794.0,0.0,73.0,0.0
aug31,Bagalakote,172.0,6214.0,209.0,5384.0,756.0,1.0,74.0,0.0
sep01,Bagalakote,136.0,6350.0,81.0,5465.0,809.0,2.0,76.0,0.0
sep02,Bagalakote,166.0,6516.0,87.0,5552.0,888.0,0.0,76.0,0.0
sep03,Bagalakote,123.0,6639.0,79.0,5631.0,931.0,1.0,77.0,0.0
sep04,Bagalakote,98.0,6737.0,99.0,5730.0,929.0,1.0,78.0,0.0
sep06,Bagalakote,180.0,7061.0,143.0,5937.0,1044.0,0.0,80.0,0.0
sep07,Bagalakote,126.0,7187.0,126.0,6062.0,1044.0,1.0,81.0,0.0
sep08,Bagalakote,212.0,7399.0,165.0,6227.0,1091.0,0.0,81.0,0.0
sep09,Bagalakote,219,7618.0,169.0,6396.0,1139.0,2.0,83.0,0.0
sep10,Bagalakote,77,7695.0,108.0,6504.0,1107.0,1.0,84.0,0.0
sep11,Bagalakote,188.0,7883.0,129.0,6633.0,1165.0,1.0,85.0,0.0
sep12,Bagalakote,175.0,8058.0,117.0,6750.0,1223.0,0.0,85.0,0.0
sep13,Bagalakote,165.0,8223.0,52.0,6802.0,1336.0,0.0,85.0,0.0
sep14,Bagalakote,166.0,8389.0,146.0,6948.0,1353.0,3.0,88.0,0.0
sep15,Bagalakote,0.0,8389.0,0.0,6948.0,1353.0,0.0,88.0,0.0
sep16,Bagalakote,158.0,8547.0,0.0,6948.0,1510.0,0.0,89.0,0.0
sep17,Bagalakote,234.0,8781.0,671.0,7619.0,1069.0,4.0,93.0,0.0
sep18,Bagalakote,206.0,8987.0,112.0,7731.0,1160.0,3.0,96.0,0.0
sep19,Bagalakote,152.0,9139.0,54.0,7785.0,1257.0,1.0,97.0,0.0
sep20,Bagalakote,90.0,9229.0,106.0,7891.0,1240.0,1.0,98.0,0.0
sep21,Bagalakote,123.0,9352.0,154.0,8045.0,1207.0,2.0,100.0,0.0
sep22,Bagalakote,77.0,9429.0,315.0,8360.0,967.0,2.0,102.0,0.0
sep23,Bagalakote,50.0,9479.0,48.0,8408.0,969.0,0.0,102.0,0.0
sep24,Bagalakote,60.0,9539.0,43.0,8451.0,986.0,0.0,102.0,0.0
sep25,Bagalakote,135.0,9674.0,48.0,8499.0,1072.0,1.0,103.0,0.0
sep26,Bagalakote,147.0,9821.0,42.0,8541.0,1176.0,1.0,104.0,0.0
sep27,Bagalakote,46.0,9867.0,117.0,8658.0,1104.0,1.0,105.0,0.0
sep28,Bagalakote,191.0,10058.0,71.0,8729.0,1224.0,0.0,105.0,0.0
sep29,Bagalakote,128.0,10186.0,88.0,8817.0,1264.0,0.0,105.0,0.0
sep30,Bagalakote,51.0,10237.0,468.0,9285.0,846.0,1.0,106.0,0.0
oct01,Bagalakote,336,10573.0,69.0,9354.0,1112.0,1.0,107.0,0.0
oct02,Bagalakote,68,10641.0,71.0,9425.0,1107.0,2.0,109.0,0.0
oct03,Bagalakote,88,10729.0,207.0,9632.0,988.0,0.0,109.0,0.0
oct04,Bagalakote,97,10826.0,145.0,9777.0,939.0,1.0,110.0,0.0
oct05,Bagalakote,159,10985.0,148.0,9925.0,950.0,0.0,110.0,0.0
oct06,Bagalakote,84,11069.0,92.0,10017.0,942.0,0.0,110.0,0.0
oct07,Bagalakote,121,11190.0,150.0,10167.0,910.0,3.0,113.0,0.0
oct08,Bagalakote,98,11288.0,334.0,10501.0,671.0,3.0,116.0,0.0
oct09,Bagalakote,76,11364.0,108.0,10609.0,639.0,0.0,116.0,0.0
oct10,Bagalakote,124,11488.0,145.0,10754.0,617.0,1.0,117.0,0.0
oct11,Bagalakote,129,11617.0,79.0,10833.0,667.0,0.0,117.0,0.0
oct12,Bagalakote,161,11778.0,69.0,10902.0,757.0,2.0,119.0,0.0
oct13,Bagalakote,88,11866.0,92.0,10994.0,752.0,1.0,120.0,0.0
oct14,Bagalakote,158,12024.0,95.0,11089.0,813.0,2.0,122.0,0.0
oct15,Bagalakote,133,12157.0,48.0,11137.0,897.0,1.0,123.0,0.0
oct16,Bagalakote,76,12233.0,111.0,11248.0,861.0,1.0,124.0,0.0
oct17,Bagalakote,152,12385.0,143.0,11391.0,869.0,1.0,125.0,0.0
oct18,Bagalakote,138,12523.0,79.0,11470.0,927.0,1.0,126.0,0.0
oct19,Bagalakote,94,12617.0,65.0,11535.0,955.0,1.0,127.0,0.0
oct20,Bagalakote,27,12644.0,37.0,11572.0,944.0,1.0,128.0,0.0
oct21,Bagalakote,114,12758.0,185.0,11757.0,873.0,0.0,128.0,0.0
oct22,Bagalakote,59,12817.0,258.0,12015.0,673.0,1.0,129.0,0.0
oct24,Bagalakote,57,12891.0,150.0,12340.0,420.0,1.0,131.0,0.0
oct25,Bagalakote,41,12932.0,112.0,12452.0,349.0,0.0,131.0,0.0
oct26,Bagalakote,51,12983.0,72.0,12524.0,328.0,0.0,131.0,0.0
oct27,Bagalakote,34,13017.0,77.0,12601.0,285.0,0.0,131.0,0.0
oct28,Bagalakote,26,13043.0,46.0,12647.0,265.0,0.0,131.0,0.0
oct29,Bagalakote,19,13062.0,49.0,12696.0,235.0,0.0,131.0,0.0
oct30,Bagalakote,20,13082.0,50.0,12746.0,205.0,0.0,131.0,0.0
oct31,Bagalakote,24,13106.0,54.0,12800.0,175.0,0.0,131.0,0.0
dec01,Bagalakote,11,13516.0,9.0,13265.0,115.0,0.0,136.0,0.0
dec02,Bagalakote,12,13528.0,27.0,13292.0,100.0,0.0,136.0,0.0
dec03,Bagalakote,7,13535.0,10.0,13302.0,97.0,0.0,136.0,0.0
dec04,Bagalakote,3,13538.0,23.0,13325.0,77.0,0.0,136.0,0.0
dec05,Bagalakote,12,13550.0,7.0,13332.0,82.0,0.0,136.0,0.0
dec06,Bagalakote,5,13555.0,8.0,13340.0,79.0,0.0,136.0,0.0
dec07,Bagalakote,13,13568.0,8.0,13348.0,84.0,0.0,136.0,0.0
dec08,Bagalakote,4,13572.0,7.0,13355.0,81.0,0.0,136.0,0.0
dec09,Bagalakote,9,13581.0,14.0,13369.0,76.0,0.0,136.0,0.0
dec10,Bagalakote,7,13588.0,10.0,13379.0,73.0,0.0,136.0,0.0
dec11,Bagalakote,8,13596.0,12.0,13391.0,69.0,0.0,136.0,0.0
dec12,Bagalakote,8,13604.0,6.0,13397.0,71.0,0.0,136.0,0.0
dec13,Bagalakote,3,13607.0,11.0,13408.0,63.0,0.0,136.0,0.0
dec14,Bagalakote,4,13611.0,8.0,13416.0,59.0,0.0,136.0,0.0
dec15,Bagalakote,6,13617.0,4.0,13420.0,61.0,0.0,136.0,0.0
dec16,Bagalakote,5,13622.0,9.0,13429.0,57.0,0.0,136.0,0.0
dec17,Bagalakote,3,13625.0,10.0,13439.0,50.0,0.0,136.0,0.0
dec18,Bagalakote,1,13626.0,4.0,13443.0,47.0,0.0,136.0,0.0
dec19,Bagalakote,12,13638.0,10.0,13453.0,49.0,0.0,136.0,0.0
dec20,Bagalakote,7,13645.0,5.0,13458.0,51.0,0.0,136.0,0.0
dec21,Bagalakote,0,13645.0,3.0,13461.0,48.0,0.0,136.0,0.0
dec22,Bagalakote,1,13646.0,13.0,13474.0,36.0,0.0,136.0,0.0
dec23,Bagalakote,1,13647.0,1.0,13475.0,36.0,0.0,136.0,0.0
dec24,Bagalakote,1,13648.0,6.0,13481.0,31.0,0.0,136.0,0.0
dec25,Bagalakote,2,13650.0,5.0,13486.0,28.0,0.0,136.0,0.0
dec26,Bagalakote,2,13652.0,4.0,13490.0,26.0,0.0,136.0,0.0
dec27,Bagalakote,4,13656.0,5.0,13495.0,25.0,0.0,136.0,0.0
dec28,Bagalakote,0,13656.0,7.0,13502.0,18.0,0.0,136.0,0.0
dec29,Bagalakote,2,13658.0,5.0,13507.0,15.0,0.0,136.0,0.0
dec30,Bagalakote,8,13666.0,1.0,13508.0,22.0,0.0,136.0,0.0
dec31,Bagalakote,9,13675.0,2.0,13510.0,29.0,0.0,136.0,0.0
jan01,Bagalakote,16,13691.0,6.0,13516.0,39.0,0.0,136.0,0.0
jan02,Bagalakote,4,13695.0,4.0,13520.0,39.0,0.0,136.0,0.0
jan03,Bagalakote,4,13699.0,0.0,13520.0,43.0,0.0,136.0,0.0
jan04,Bagalakote,1,13700.0,6.0,13526.0,38.0,0.0,136.0,0.0
jan05,Bagalakote,1,13701.0,6.0,13532.0,33.0,0.0,136.0,0.0
jan06,Bagalakote,4,13705.0,0.0,13532.0,37.0,0.0,136.0,0.0
jan07,Bagalakote,0,13705.0,0.0,13532.0,37.0,0.0,136.0,0.0
jan08,Bagalakote,5,13710.0,3.0,13535.0,39.0,0.0,136.0,0.0
jan09,Bagalakote,2,13712.0,10.0,13545.0,31.0,0.0,136.0,0.0
jan10,Bagalakote,0,13712.0,4.0,13549.0,27.0,0.0,136.0,0.0
jan11,Bagalakote,1,13713.0,2.0,13551.0,26.0,0.0,136.0,0.0
jan12,Bagalakote,3,13716.0,1.0,13552.0,28.0,0.0,136.0,0.0
jan13,Bagalakote,7,13723.0,7.0,13559.0,28.0,0.0,136.0,0.0
jan14,Bagalakote,1,13724.0,7.0,13566.0,22.0,0.0,136.0,0.0
jan15,Bagalakote,1,13725.0,3.0,13569.0,20.0,0.0,136.0,0.0
jan16,Bagalakote,6,13731.0,3.0,13572.0,23.0,0.0,136.0,0.0
jan17,Bagalakote,8,13739.0,3.0,13575.0,28.0,0.0,136.0,0.0
jan18,Bagalakote,3,13742.0,4.0,13579.0,27.0,0.0,136.0,0.0
jan19,Bagalakote,3,13745.0,4.0,13583.0,26.0,0.0,136.0,0.0
jan20,Bagalakote,2,13747.0,2.0,13585.0,26.0,0.0,136.0,0.0
jan21,Bagalakote,0,13747.0,7.0,13592.0,19.0,0.0,136.0,0.0
jan22,Bagalakote,3,13750.0,3.0,13595.0,19.0,0.0,136.0,0.0
jan23,Bagalakote,2,13752.0,2.0,13597.0,19.0,0.0,136.0,0.0
jan24,Bagalakote,0,13752.0,0.0,13597.0,19.0,0.0,136.0,0.0
jan25,Bagalakote,1,13753.0,2.0,13599.0,18.0,0.0,136.0,0.0
