date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Ballari,85.0,919.0,0.0,405.0,485.0,,29.0,0.0
july02,Ballari,65.0,984.0,62.0,467.0,484.0,,33.0,0.0
july03,Ballari,97.0,1081.0,28.0,495.0,552.0,,34.0,0.0
july04,Ballari,73.0,1154.0,20.0,515.0,605.0,,34.0,0.0
july05,Ballari,90.0,1244.0,37.0,552.0,657.0,,35.0,0.0
july06,Ballari,99.0,1343.0,18.0,570.0,737.0,,36.0,0.0
july07,Ballari,45.0,1388.0,27.0,597.0,755.0,,36.0,0.0
july08,Ballari,59.0,1447.0,30.0,627.0,780.0,,40.0,0.0
july10,Ballari,66.0,1554.0,77.0,742.0,771.0,,41.0,0.0
july11,Ballari,65.0,1619.0,230.0,972.0,605.0,,42.0,0.0
july12,Ballari,63.0,1682.0,20.0,992.0,648.0,0.0,42.0,0.0
july13,Ballari,106.0,1788.0,32.0,1024.0,722.0,0.0,42.0,0.0
july14,Ballari,99.0,1887.0,17.0,1041.0,799.0,5.0,47.0,0.0
july15,Ballari,136.0,2023.0,61.0,1102.0,874.0,0.0,47.0,0.0
july16,Ballari,44.0,2067.0,45.0,1147.0,869.0,4.0,51.0,0.0
july17,Ballari,133.0,2200.0,34.0,1181.0,965.0,3.0,54.0,0.0
july19,Ballari,73.0,2428.0,85.0,1288.0,1080.0,3.0,60.0,0.0
july20,Ballari,234.0,2662.0,36.0,1324.0,1276.0,2.0,62.0,0.0
july21,Ballari,193.0,2855.0,8.0,1332.0,1461.0,0.0,62.0,0.0
july22,Ballari,134.0,2989.0,39.0,1371.0,1556.0,0.0,62.0,0.0
july23,Ballari,164.0,3153.0,36.0,1407.0,1679.0,5.0,67.0,0.0
july24,Ballari,136.0,3289.0,53.0,1460.0,1760.0,2.0,69.0,0.0
july25,Ballari,222.0,3511.0,80.0,1540.0,1902.0,0.0,69.0,0.0
july26,Ballari,579.0,4090.0,17.0,1557.0,2464.0,0.0,69.0,0.0
july27,Ballari,840.0,4930.0,43.0,1600.0,3258.0,3.0,72.0,0.0
july28,Ballari,452.0,5382.0,529.0,2129.0,3181.0,0.0,72.0,0.0
july29,Ballari,338.0,5720.0,100.0,2229.0,3417.0,2.0,74.0,0.0
july30,Ballari,343.0,6063.0,337.0,2566.0,3423.0,0.0,74.0,0.0
july31,Ballari,340.0,6403.0,148.0,2710.0,3619.0,0.0,74.0,0.0
aug01,Ballari,269.0,6672.0,408.0,3118.0,3479.0,1.0,75.0,0.0
aug02,Ballari,377.0,7049.0,105.0,3223.0,3749.0,2.0,77.0,0.0
aug03,Ballari,305.0,7354.0,18.0,3241.0,4034.0,2.0,79.0,0.0
aug04,Ballari,284.0,7638.0,483.0,3724.0,3830.0,5.0,84.0,0.0
aug05,Ballari,631.0,8269.0,152.0,3876.0,4309.0,0.0,84.0,0.0
aug06,Ballari,431.0,8700.0,423.0,4299.0,4313.0,4.0,88.0,0.0
aug07,Ballari,684.0,9384.0,627.0,4926.0,4365.0,5.0,93.0,0.0
aug08,Ballari,607.0,9991.0,180.0,5106.0,4783.0,9.0,102.0,0.0
aug09,Ballari,380.0,10371.0,148.0,5254.0,5006.0,9.0,111.0,0.0
aug10,Ballari,253.0,10624.0,193.0,5447.0,5059.0,7.0,118.0,0.0
aug11,Ballari,736.0,11360.0,404.0,5851.0,5387.0,4.0,122.0,0.0
aug12,Ballari,635.0,11995.0,380.0,6231.0,5634.0,9.0,130.0,0.0
aug13,Ballari,445.0,12440.0,440.0,6671.0,5630.0,9.0,139.0,0.0
aug14,Ballari,608.0,13048.0,277.0,6948.0,5952.0,9.0,148.0,0.0
aug15,Ballari,759.0,13807.0,556.0,7504.0,6149.0,6.0,154.0,0.0
aug16,Ballari,381.0,14188.0,704.0,8208.0,5817.0,9.0,163.0,0.0
aug17,Ballari,319.0,14507.0,346.0,8554.0,5784.0,6.0,169.0,0.0
aug18,Ballari,673.0,15180.0,500.0,9054.0,5948.0,9.0,178.0,0.0
aug19,Ballari,537.0,15717.0,629.0,9683.0,5847.0,9.0,187.0,0.0
aug20,Ballari,483.0,16200.0,389.0,10072.0,5933.0,8.0,195.0,0.0
aug21,Ballari,540.0,16740.0,404.0,10476.0,6060.0,9.0,204.0,0.0
aug22,Ballari,533.0,17273.0,522.0,10998.0,6064.0,7.0,211.0,0.0
aug23,Ballari,406.0,17679.0,304.0,11302.0,6159.0,7.0,218.0,0.0
aug24,Ballari,306.0,17985.0,442.0,11744.0,6017.0,6.0,224.0,0.0
aug25,Ballari,551,18536.0,1004.0,12748.0,5558.0,6.0,230.0,0.0
aug26,Ballari,510.0,19046.0,516.0,13264.0,5545.0,7.0,237.0,0.0
aug27,Ballari,550.0,19596.0,460.0,13724.0,5629.0,6.0,243.0,0.0
aug28,Ballari,484.0,20080.0,623.0,14347.0,5485.0,5.0,248.0,0.0
aug29,Ballari,468.0,20548.0,773.0,15120.0,5176.0,4.0,252.0,0.0
aug30,Ballari,428.0,20976.0,274.0,15394.0,5327.0,3.0,255.0,0.0
aug31,Ballari,365.0,21341.0,580.0,15974.0,5107.0,5.0,260.0,0.0
sep01,Ballari,393.0,21734.0,351.0,16325.0,5145.0,4.0,264.0,0.0
sep02,Ballari,433.0,22167.0,470.0,16795.0,5103.0,5.0,269.0,0.0
sep03,Ballari,424.0,22591.0,436.0,17231.0,5087.0,4.0,273.0,0.0
sep04,Ballari,447.0,23038.0,409.0,17640.0,5117.0,8.0,281.0,0.0
sep06,Ballari,396.0,23800.0,643.0,18860.0,4646.0,8.0,294.0,0.0
sep07,Ballari,266.0,24066.0,652.0,19500.0,4265.0,7.0,301.0,0.0
sep08,Ballari,404.0,24470.0,210.0,19710.0,4453.0,6.0,307.0,0.0
