date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Belagavi,8.0,336.0,0.0,303.0,30.0,,3.0,0.0
july02,Belagavi,7.0,343.0,0.0,303.0,36.0,,4.0,0.0
july03,Belagavi,13.0,356.0,0.0,303.0,49.0,,4.0,0.0
july04,Belagavi,27.0,383.0,10.0,313.0,66.0,,4.0,0.0
july05,Belagavi,11.0,394.0,0.0,313.0,75.0,,6.0,0.0
july06,Belagavi,0.0,394.0,0.0,313.0,75.0,,6.0,0.0
july07,Belagavi,20.0,414.0,0.0,313.0,94.0,,7.0,0.0
july08,Belagavi,27.0,441.0,29.0,342.0,92.0,,7.0,0.0
july10,Belagavi,15.0,465.0,0.0,342.0,116.0,,7.0,0.0
july11,Belagavi,3.0,468.0,20.0,362.0,97.0,,9.0,0.0
july12,Belagavi,2.0,470.0,0.0,362.0,96.0,3.0,12.0,0.0
july13,Belagavi,27.0,497.0,0.0,362.0,121.0,2.0,14.0,0.0
july14,Belagavi,64.0,561.0,0.0,362.0,185.0,0.0,14.0,0.0
july15,Belagavi,41.0,602.0,0.0,362.0,226.0,0.0,14.0,0.0
july16,Belagavi,92.0,694.0,15.0,377.0,300.0,3.0,17.0,0.0
july17,Belagavi,95.0,789.0,0.0,377.0,391.0,4.0,21.0,0.0
july19,Belagavi,87.0,1013.0,0.0,404.0,583.0,2.0,26.0,0.0
july20,Belagavi,60.0,1073.0,0.0,404.0,643.0,0.0,26.0,0.0
july21,Belagavi,23.0,1096.0,22.0,426.0,640.0,4.0,30.0,0.0
july22,Belagavi,219.0,1315.0,0.0,426.0,859.0,0.0,30.0,0.0
july23,Belagavi,214.0,1529.0,0.0,426.0,1069.0,4.0,34.0,0.0
july24,Belagavi,116.0,1645.0,0.0,426.0,1184.0,1.0,35.0,0.0
july25,Belagavi,341.0,1986.0,43.0,469.0,1477.0,5.0,40.0,0.0
july26,Belagavi,163.0,2149.0,173.0,642.0,1461.0,6.0,46.0,0.0
july27,Belagavi,155.0,2304.0,38.0,680.0,1572.0,6.0,52.0,0.0
july28,Belagavi,228.0,2532.0,34.0,714.0,1760.0,6.0,58.0,0.0
july29,Belagavi,279.0,2811.0,67.0,781.0,1969.0,3.0,61.0,0.0
july30,Belagavi,202.0,3013.0,50.0,831.0,2117.0,4.0,65.0,0.0
july31,Belagavi,217.0,3230.0,88.0,918.0,2242.0,5.0,70.0,0.0
aug01,Belagavi,219.0,3449.0,51.0,969.0,2406.0,4.0,74.0,0.0
aug02,Belagavi,172.0,3621.0,56.0,1025.0,2521.0,1.0,75.0,0.0
aug03,Belagavi,60.0,3681.0,29.0,1054.0,2542.0,10.0,85.0,0.0
aug04,Belagavi,263.0,3944.0,28.0,1082.0,2776.0,1.0,86.0,0.0
aug05,Belagavi,293.0,4237.0,52.0,1134.0,3013.0,4.0,90.0,0.0
aug06,Belagavi,229.0,4466.0,44.0,1178.0,3197.0,1.0,91.0,0.0
aug07,Belagavi,390.0,4856.0,52.0,1230.0,3533.0,2.0,93.0,0.0
aug08,Belagavi,302.0,5158.0,378.0,1608.0,3456.0,1.0,94.0,0.0
aug09,Belagavi,235.0,5393.0,455.0,2063.0,3236.0,0.0,94.0,0.0
aug10,Belagavi,54.0,5447.0,90.0,2153.0,3197.0,3.0,97.0,0.0
aug11,Belagavi,575.0,6022.0,444.0,2597.0,3324.0,4.0,101.0,0.0
aug12,Belagavi,314.0,6336.0,148.0,2745.0,3484.0,6.0,107.0,0.0
aug13,Belagavi,288.0,6624.0,140.0,2885.0,3626.0,6.0,113.0,0.0
aug14,Belagavi,334.0,6958.0,178.0,3063.0,3777.0,5.0,118.0,0.0
aug15,Belagavi,358.0,7316.0,404.0,3467.0,3731.0,5.0,118.0,0.0
aug16,Belagavi,478.0,7794.0,410.0,3877.0,3796.0,3.0,121.0,0.0
aug17,Belagavi,171.0,7965.0,279.0,4156.0,3679.0,9.0,130.0,0.0
aug18,Belagavi,395.0,8360.0,459.0,4615.0,3608.0,7.0,137.0,0.0
aug19,Belagavi,379.0,8739.0,267.0,4882.0,3717.0,3.0,140.0,0.0
aug20,Belagavi,358.0,9097.0,89.0,4971.0,3982.0,4.0,144.0,0.0
aug21,Belagavi,384.0,9481.0,192.0,5163.0,4167.0,7.0,151.0,0.0
aug22,Belagavi,312.0,9793.0,511.0,5674.0,3965.0,3.0,154.0,0.0
aug23,Belagavi,136.0,9929.0,134.0,5808.0,3965.0,2.0,156.0,0.0
aug24,Belagavi,319.0,10248.0,150.0,5958.0,4129.0,5.0,161.0,0.0
aug25,Belagavi,298,10546.0,181.0,6139.0,4244.0,2.0,163.0,0.0
aug26,Belagavi,289.0,10835.0,170.0,6309.0,4358.0,5.0,168.0,0.0
aug27,Belagavi,318.0,11153.0,236.0,6545.0,4435.0,5.0,173.0,0.0
aug28,Belagavi,290.0,11443.0,789.0,7334.0,3932.0,4.0,177.0,0.0
aug29,Belagavi,276.0,11719.0,536.0,7870.0,3669.0,3.0,180.0,0.0
aug30,Belagavi,357.0,12076.0,715.0,8585.0,3307.0,4.0,184.0,0.0
aug31,Belagavi,154.0,12230.0,331.0,8916.0,3125.0,5.0,189.0,0.0
sep01,Belagavi,316.0,12546.0,95.0,9011.0,3339.0,7.0,196.0,0.0
sep02,Belagavi,470.0,13016.0,132.0,9143.0,3676.0,1.0,197.0,0.0
sep03,Belagavi,454.0,13470.0,245.0,9388.0,3885.0,0.0,197.0,0.0
sep04,Belagavi,278.0,13748.0,285.0,9673.0,3872.0,6.0,203.0,0.0
sep06,Belagavi,427.0,14648.0,233.0,10237.0,4200.0,8.0,211.0,0.0
sep07,Belagavi,75.0,14723.0,186.0,10421.0,4083.0,8.0,219.0,0.0
sep08,Belagavi,230.0,14953.0,160.0,10581.0,4153.0,0.0,219.0,0.0
sep09,Belagavi,390,15343.0,219.0,10800.0,4319.0,5.0,224.0,0.0
sep10,Belagavi,263,15606.0,644.0,11444.0,3936.0,2.0,226.0,0.0
sep11,Belagavi,244.0,15850.0,608.0,12052.0,3563.0,9.0,235.0,0.0
sep12,Belagavi,201.0,16051.0,631.0,12683.0,3131.0,2.0,237.0,0.0
sep13,Belagavi,318.0,16369.0,388.0,13071.0,3061.0,0.0,237.0,0.0
sep14,Belagavi,167.0,16536.0,533.0,13604.0,2691.0,4.0,241.0,0.0
sep15,Belagavi,249.0,16785.0,486.0,14090.0,2451.0,3.0,244.0,0.0
sep16,Belagavi,258.0,17043.0,0.0,14090.0,2708.0,0.0,245.0,0.0
sep17,Belagavi,295.0,17338.0,344.0,14434.0,2655.0,4.0,249.0,0.0
sep18,Belagavi,221.0,17559.0,395.0,14829.0,2473.0,8.0,257.0,0.0
sep19,Belagavi,100.0,17659.0,272.0,15101.0,2295.0,6.0,263.0,0.0
sep20,Belagavi,151.0,17810.0,260.0,15361.0,2180.0,6.0,269.0,0.0
sep21,Belagavi,171.0,17981.0,441.0,15802.0,1907.0,3.0,272.0,0.0
sep22,Belagavi,179.0,18160.0,0.0,15802.0,2086.0,0.0,272.0,0.0
sep23,Belagavi,191.0,18351.0,0.0,15802.0,2277.0,0.0,272.0,0.0
sep24,Belagavi,191.0,18542.0,137.0,15939.0,2331.0,0.0,272.0,0.0
sep25,Belagavi,150.0,18692.0,121.0,16060.0,2354.0,6.0,278.0,0.0
