date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Bengaluru Rural,29.0,158.0,0.0,14.0,140.0,,4.0,0.0
july02,Bengaluru Rural,5.0,163.0,32.0,46.0,113.0,,4.0,0.0
july03,Bengaluru Rural,44.0,207.0,0.0,46.0,156.0,,5.0,0.0
july04,Bengaluru Rural,11.0,218.0,0.0,46.0,166.0,,6.0,0.0
july05,Bengaluru Rural,0.0,218.0,0.0,46.0,166.0,,6.0,0.0
july06,Bengaluru Rural,68.0,286.0,0.0,46.0,234.0,,6.0,0.0
july07,Bengaluru Rural,0.0,286.0,0.0,46.0,234.0,,6.0,0.0
july08,Bengaluru Rural,37.0,323.0,0.0,46.0,270.0,,7.0,0.0
july10,Bengaluru Rural,1.0,340.0,0.0,46.0,287.0,,7.0,0.0
july11,Bengaluru Rural,5.0,345.0,0.0,46.0,292.0,,7.0,0.0
july12,Bengaluru Rural,19.0,364.0,0.0,46.0,311.0,0.0,7.0,0.0
july13,Bengaluru Rural,21.0,385.0,0.0,46.0,332.0,0.0,7.0,0.0
july14,Bengaluru Rural,14.0,399.0,0.0,46.0,346.0,0.0,7.0,0.0
july15,Bengaluru Rural,10.0,409.0,0.0,46.0,356.0,0.0,7.0,0.0
july16,Bengaluru Rural,31.0,440.0,0.0,46.0,387.0,0.0,7.0,0.0
july17,Bengaluru Rural,33.0,473.0,0.0,46.0,420.0,0.0,7.0,0.0
july19,Bengaluru Rural,70.0,637.0,0.0,46.0,584.0,0.0,7.0,0.0
july20,Bengaluru Rural,208.0,845.0,0.0,46.0,792.0,0.0,7.0,0.0
july21,Bengaluru Rural,95.0,940.0,201.0,247.0,686.0,0.0,7.0,0.0
july22,Bengaluru Rural,139.0,1079.0,0.0,247.0,825.0,0.0,7.0,0.0
july23,Bengaluru Rural,161.0,1240.0,0.0,247.0,986.0,0.0,7.0,0.0
july24,Bengaluru Rural,26.0,1266.0,0.0,247.0,1010.0,2.0,9.0,0.0
july25,Bengaluru Rural,154.0,1420.0,0.0,247.0,1164.0,0.0,9.0,0.0
july26,Bengaluru Rural,213.0,1633.0,0.0,247.0,1377.0,0.0,9.0,0.0
july27,Bengaluru Rural,138.0,1771.0,0.0,247.0,1514.0,1.0,10.0,0.0
july28,Bengaluru Rural,107.0,1878.0,0.0,247.0,1621.0,0.0,10.0,0.0
july29,Bengaluru Rural,49.0,1927.0,0.0,247.0,1670.0,0.0,10.0,0.0
july30,Bengaluru Rural,224.0,2151.0,0.0,247.0,1894.0,0.0,10.0,0.0
july31,Bengaluru Rural,105.0,2256.0,193.0,443.0,1803.0,0.0,10.0,0.0
aug01,Bengaluru Rural,93.0,2349.0,89.0,532.0,1807.0,0.0,10.0,0.0
aug02,Bengaluru Rural,38.0,2387.0,0.0,532.0,1845.0,0.0,10.0,0.0
aug03,Bengaluru Rural,2.0,2389.0,116.0,648.0,1731.0,0.0,10.0,0.0
aug04,Bengaluru Rural,82.0,2471.0,56.0,704.0,1757.0,0.0,10.0,0.0
aug05,Bengaluru Rural,110.0,2581.0,40.0,744.0,1827.0,0.0,10.0,0.0
aug06,Bengaluru Rural,34.0,2615.0,32.0,776.0,1829.0,0.0,10.0,0.0
aug07,Bengaluru Rural,119.0,2734.0,20.0,796.0,1928.0,0.0,10.0,0.0
aug08,Bengaluru Rural,66.0,2800.0,14.0,810.0,1980.0,0.0,10.0,0.0
aug09,Bengaluru Rural,95.0,2895.0,102.0,912.0,1973.0,0.0,10.0,0.0
aug10,Bengaluru Rural,50.0,2945.0,117.0,1029.0,1906.0,0.0,10.0,0.0
aug11,Bengaluru Rural,28.0,2973.0,60.0,1089.0,1874.0,0.0,10.0,0.0
aug12,Bengaluru Rural,182.0,3155.0,15.0,1104.0,2041.0,0.0,10.0,0.0
aug13,Bengaluru Rural,70.0,3225.0,735.0,1839.0,1376.0,0.0,10.0,0.0
aug14,Bengaluru Rural,39.0,3264.0,170.0,2009.0,1245.0,0.0,10.0,0.0
aug15,Bengaluru Rural,152.0,3416.0,79.0,2088.0,1311.0,2.0,17.0,0.0
aug16,Bengaluru Rural,87.0,3503.0,20.0,2108.0,1378.0,0.0,17.0,0.0
aug17,Bengaluru Rural,25.0,3528.0,644.0,2752.0,759.0,0.0,17.0,0.0
aug18,Bengaluru Rural,123.0,3651.0,157.0,2909.0,722.0,3.0,20.0,0.0
aug19,Bengaluru Rural,68.0,3719.0,63.0,2972.0,726.0,1.0,21.0,0.0
aug20,Bengaluru Rural,77.0,3796.0,207.0,3179.0,596.0,0.0,21.0,0.0
aug21,Bengaluru Rural,79.0,3875.0,47.0,3226.0,628.0,0.0,21.0,0.0
aug22,Bengaluru Rural,66.0,3941.0,45.0,3271.0,649.0,0.0,21.0,0.0
aug23,Bengaluru Rural,35.0,3976.0,20.0,3291.0,664.0,0.0,21.0,0.0
aug24,Bengaluru Rural,35.0,4011.0,90.0,3381.0,609.0,0.0,21.0,0.0
aug25,Bengaluru Rural,63,4074.0,98.0,3479.0,573.0,1.0,22.0,0.0
aug26,Bengaluru Rural,136.0,4210.0,44.0,3523.0,663.0,2.0,24.0,0.0
aug27,Bengaluru Rural,59.0,4269.0,36.0,3559.0,683.0,3.0,27.0,0.0
aug28,Bengaluru Rural,214.0,4483.0,58.0,3617.0,839.0,0.0,27.0,0.0
aug29,Bengaluru Rural,182.0,4665.0,397.0,4014.0,624.0,0.0,27.0,0.0
aug30,Bengaluru Rural,55.0,4720.0,0.0,4014.0,677.0,2.0,29.0,0.0
aug31,Bengaluru Rural,73.0,6582.0,0.0,4014.0,749.0,1.0,30.0,0.0
sep01,Bengaluru Rural,145.0,4938.0,38.0,4052.0,854.0,2.0,32.0,0.0
sep02,Bengaluru Rural,146.0,5084.0,140.0,4192.0,860.0,0.0,32.0,0.0
sep03,Bengaluru Rural,160.0,5244.0,107.0,4299.0,906.0,7.0,39.0,0.0
sep04,Bengaluru Rural,204.0,5448.0,101.0,4400.0,1005.0,4.0,43.0,0.0
sep06,Bengaluru Rural,93.0,5665.0,59.0,4617.0,1002.0,0.0,46.0,0.0
sep07,Bengaluru Rural,77.0,5742.0,45.0,4560.0,1135.0,1.0,47.0,0.0
sep08,Bengaluru Rural,104.0,5846.0,30.0,4590.0,1208.0,1.0,48.0,0.0
sep09,Bengaluru Rural,79,5925.0,114.0,4704.0,1171.0,2.0,50.0,0.0
sep10,Bengaluru Rural,77,6002.0,68.0,4772.0,1180.0,0.0,50.0,0.0
sep11,Bengaluru Rural,146.0,6148.0,89.0,4861.0,1233.0,4.0,54.0,0.0
sep12,Bengaluru Rural,211.0,6359.0,55.0,4916.0,1387.0,2.0,56.0,0.0
sep13,Bengaluru Rural,216.0,6575.0,67.0,4983.0,1536.0,0.0,56.0,0.0
sep14,Bengaluru Rural,275.0,6850.0,24.0,5007.0,1786.0,1.0,57.0,0.0
sep15,Bengaluru Rural,143.0,6993.0,110.0,5117.0,1816.0,3.0,60.0,0.0
sep16,Bengaluru Rural,168.0,7165.0,177.0,5294.0,1805.0,5.0,66.0,0.0
sep17,Bengaluru Rural,66.0,7231.0,116.0,5410.0,1755.0,0.0,66.0,0.0
sep18,Bengaluru Rural,112.0,7343.0,131.0,5541.0,1729.0,7.0,73.0,0.0
sep19,Bengaluru Rural,189.0,7532.0,91.0,5632.0,1827.0,0.0,73.0,0.0
sep20,Bengaluru Rural,179.0,7711.0,76.0,5708.0,1929.0,1.0,74.0,0.0
sep21,Bengaluru Rural,114.0,7825.0,88.0,5796.0,1954.0,1.0,75.0,0.0
sep22,Bengaluru Rural,80.0,7905.0,200.0,5996.0,1832.0,2.0,77.0,0.0
sep23,Bengaluru Rural,128.0,8033.0,221.0,6217.0,1733.0,6.0,83.0,0.0
sep24,Bengaluru Rural,189.0,8222.0,53.0,6270.0,1869.0,0.0,83.0,0.0
sep25,Bengaluru Rural,308.0,8530.0,103.0,6373.0,2071.0,3.0,86.0,0.0
sep26,Bengaluru Rural,241.0,8771.0,110.0,6483.0,2199.0,3.0,89.0,0.0
sep27,Bengaluru Rural,213.0,8984.0,78.0,6561.0,2332.0,2.0,91.0,0.0
sep28,Bengaluru Rural,110.0,9094.0,208.0,6769.0,2234.0,0.0,91.0,0.0
sep29,Bengaluru Rural,305.0,9399.0,304.0,7073.0,2235.0,0.0,91.0,0.0
sep30,Bengaluru Rural,188.0,9587.0,655.0,7728.0,1764.0,4.0,95.0,0.0
oct01,Bengaluru Rural,169,9756.0,160.0,7888.0,1772.0,1.0,96.0,0.0
oct02,Bengaluru Rural,298,10054.0,171.0,8059.0,1899.0,0.0,96.0,0.0
oct03,Bengaluru Rural,283,10337.0,191.0,8250.0,1990.0,1.0,97.0,0.0
oct04,Bengaluru Rural,274,10611.0,259.0,8509.0,2005.0,0.0,97.0,0.0
