date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Bengaluru Urban,735.0,5290.0,0.0,543.0,4649.0,,97.0,1.0
july02,Bengaluru Urban,889.0,6179.0,30.0,573.0,5505.0,,100.0,1.0
july03,Bengaluru Urban,994.0,7173.0,197.0,770.0,6297.0,,105.0,1.0
july04,Bengaluru Urban,1172.0,8345.0,195.0,965.0,7250.0,,129.0,1.0
july05,Bengaluru Urban,1235.0,9580.0,302.0,1267.0,8167.0,,145.0,1.0
july06,Bengaluru Urban,981.0,10561.0,278.0,1545.0,8860.0,,155.0,1.0
july07,Bengaluru Urban,800.0,11361.0,265.0,1810.0,9395.0,,155.0,1.0
july08,Bengaluru Urban,1148.0,12509.0,418.0,2228.0,10103.0,,177.0,1.0
july10,Bengaluru Urban,1447.0,15329.0,601.0,3435.0,11687.0,,206.0,1.0
july11,Bengaluru Urban,1533.0,16862.0,404.0,3839.0,12793.0,,229.0,1.0
july12,Bengaluru Urban,1525.0,18387.0,206.0,4045.0,14067.0,45.0,274.0,1.0
july13,Bengaluru Urban,1315.0,19702.0,283.0,4328.0,15052.0,47.0,321.0,1.0
july14,Bengaluru Urban,1267.0,20969.0,664.0,4992.0,15599.0,56.0,377.0,1.0
july15,Bengaluru Urban,1975.0,22944.0,463.0,5455.0,17051.0,60.0,437.0,1.0
july16,Bengaluru Urban,2344.0,25288.0,497.0,5952.0,18828.0,70.0,507.0,1.0
july17,Bengaluru Urban,2208.0,27496.0,338.0,6290.0,20623.0,75.0,582.0,1.0
july19,Bengaluru Urban,2156.0,31777.0,253.0,6793.0,24316.0,36.0,667.0,1.0
july20,Bengaluru Urban,1452.0,33229.0,163.0,6956.0,25574.0,31.0,698.0,1.0
july21,Bengaluru Urban,1714.0,34943.0,520.0,7476.0,26746.0,22.0,720.0,1.0
july22,Bengaluru Urban,2050.0,36993.0,812.0,8288.0,27969.0,15.0,735.0,1.0
july23,Bengaluru Urban,2207.0,39200.0,1038.0,9326.0,29090.0,48.0,783.0,1.0
july24,Bengaluru Urban,2267.0,41467.0,746.0,10072.0,30561.0,50.0,833.0,1.0
july25,Bengaluru Urban,2036.0,43503.0,686.0,10758.0,31882.0,29.0,862.0,1.0
july26,Bengaluru Urban,1950.0,45453.0,647.0,11405.0,33156.0,29.0,891.0,1.0
july27,Bengaluru Urban,1470.0,46923.0,784.0,12189.0,33816.0,26.0,917.0,1.0
july28,Bengaluru Urban,1898.0,48821.0,572.0,12761.0,35102.0,40.0,957.0,1.0
july29,Bengaluru Urban,2270.0,51091.0,1118.0,13879.0,36224.0,30.0,987.0,1.0
july30,Bengaluru Urban,2233.0,53324.0,1912.0,15791.0,36523.0,22.0,1009.0,1.0
july31,Bengaluru Urban,2220.0,55544.0,1113.0,16896.0,37618.0,20.0,1029.0,1.0
aug01,Bengaluru Urban,1852.0,57396.0,1683.0,18579.0,37760.0,27.0,1056.0,1.0
aug02,Bengaluru Urban,2105.0,59501.0,2331.0,20910.0,37513.0,21.0,1077.0,1.0
aug03,Bengaluru Urban,1497.0,60998.0,2693.0,23603.0,36290.0,27.0,1104.0,1.0
aug04,Bengaluru Urban,2035.0,63033.0,4274.0,27877.0,34021.0,30.0,1134.0,1.0
aug05,Bengaluru Urban,1848.0,64881.0,3083.0,30960.0,32757.0,29.0,1163.0,1.0
aug06,Bengaluru Urban,2544.0,67425.0,2972.0,33932.0,32314.0,15.0,1178.0,1.0
aug07,Bengaluru Urban,2147.0,69572.0,1131.0,35063.0,33308.0,22.0,1200.0,1.0
aug08,Bengaluru Urban,2665.0,72237.0,2229.0,37292.0,33726.0,18.0,1218.0,1.0
aug09,Bengaluru Urban,1948.0,74185.0,1837.0,39129.0,33815.0,22.0,1240.0,1.0
aug10,Bengaluru Urban,1243.0,75428.0,2037.0,41166.0,32985.0,36.0,1276.0,1.0
aug11,Bengaluru Urban,1610.0,77038.0,1508.0,42674.0,33070.0,17.0,1293.0,1.0
aug12,Bengaluru Urban,2802.0,79840.0,2360.0,45034.0,33489.0,23.0,1316.0,1.0
aug13,Bengaluru Urban,1893.0,81733.0,2212.0,47246.0,33148.0,22.0,1338.0,1.0
aug14,Bengaluru Urban,2452.0,84185.0,2146.0,49392.0,33432.0,22.0,1360.0,1.0
aug15,Bengaluru Urban,3495.0,87680.0,2034.0,51426.0,34858.0,35.0,1395.0,1.0
aug16,Bengaluru Urban,2131.0,89811.0,2356.0,53782.0,34584.0,49.0,1444.0,1.0
aug17,Bengaluru Urban,2053.0,91864.0,2190.0,55972.0,34408.0,39.0,1483.0,1.0
aug18,Bengaluru Urban,2242.0,94106.0,3520.0,59492.0,33081.0,49.0,1532.0,1.0
aug19,Bengaluru Urban,2804.0,96910.0,2549.0,62041.0,33280.0,56.0,1588.0,1.0
aug20,Bengaluru Urban,2912.0,99822.0,1981.0,64022.0,34186.0,25.0,1613.0,1.0
aug21,Bengaluru Urban,2948.0,102770.0,2580.0,66602.0,34532.0,22.0,1635.0,1.0
aug22,Bengaluru Urban,2979.0,105749.0,3259.0,69861.0,34224.0,28.0,1663.0,1.0
aug23,Bengaluru Urban,2126.0,107875.0,1468.0,71329.0,34877.0,5.0,1668.0,1.0
aug24,Bengaluru Urban,1918.0,109793.0,2034.0,73363.0,34735.0,26.0,1694.0,1.0
aug25,Bengaluru Urban,2294,112087.0,1538.0,74901.0,35430.0,61.0,1755.0,1.0
aug26,Bengaluru Urban,3284.0,115371.0,2630.0,77531.0,36053.0,31.0,1786.0,1.0
aug27,Bengaluru Urban,3357.0,118728.0,3362.0,80893.0,35989.0,59.0,1845.0,1.0
aug28,Bengaluru Urban,2721.0,121449.0,2148.0,83041.0,36521.0,41.0,1886.0,1.0
aug29,Bengaluru Urban,2993.0,124442.0,2174.0,85215.0,37315.0,25.0,1911.0,1.0
aug30,Bengaluru Urban,2821.0,127263.0,2406.0,87621.0,37703.0,27.0,1938.0,1.0
aug31,Bengaluru Urban,1862.0,127336.0,2422.0,90043.0,37116.0,27.0,1965.0,1.0
sep01,Bengaluru Urban,2967.0,132092.0,1137.0,91180.0,38906.0,40.0,2005.0,1.0
sep02,Bengaluru Urban,3420.0,135512.0,2383.0,93563.0,39911.0,32.0,2037.0,1.0
sep03,Bengaluru Urban,3189.0,138701.0,2631.0,96194.0,40440.0,29.0,2066.0,1.0
sep04,Bengaluru Urban,2963.0,141664.0,1732.0,97926.0,41646.0,25.0,2091.0,1.0
