date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Bidar,8.0,615.0,23.0,500.0,94.0,,21.0,0.0
july02,Bidar,32.0,647.0,0.0,500.0,126.0,,21.0,0.0
july03,Bidar,28.0,675.0,0.0,500.0,153.0,,22.0,0.0
july04,Bidar,51.0,726.0,12.0,512.0,186.0,,28.0,0.0
july05,Bidar,29.0,755.0,20.0,532.0,186.0,,37.0,0.0
july06,Bidar,44.0,799.0,29.0,561.0,194.0,,44.0,0.0
july07,Bidar,51.0,850.0,0.0,561.0,241.0,,48.0,0.0
july08,Bidar,29.0,879.0,1.0,562.0,268.0,,49.0,0.0
july10,Bidar,19.0,913.0,0.0,562.0,299.0,,52.0,0.0
july11,Bidar,63.0,976.0,29.0,591.0,332.0,,53.0,0.0
july12,Bidar,62.0,1038.0,21.0,612.0,373.0,0.0,53.0,0.0
july13,Bidar,23.0,1061.0,0.0,612.0,396.0,0.0,53.0,0.0
july14,Bidar,42.0,1103.0,0.0,612.0,438.0,0.0,51.0,2.0
july15,Bidar,35.0,1138.0,55.0,667.0,418.0,0.0,51.0,2.0
july16,Bidar,53.0,1191.0,3.0,670.0,466.0,2.0,53.0,2.0
july17,Bidar,69.0,1260.0,44.0,714.0,491.0,0.0,53.0,2.0
july19,Bidar,45.0,1377.0,19.0,733.0,585.0,3.0,57.0,2.0
july20,Bidar,26.0,1403.0,77.0,810.0,530.0,4.0,61.0,2.0
july21,Bidar,66.0,1469.0,25.0,835.0,569.0,2.0,63.0,2.0
july22,Bidar,77.0,1546.0,186.0,1021.0,457.0,3.0,66.0,2.0
july23,Bidar,94.0,1640.0,0.0,1021.0,548.0,3.0,69.0,2.0
july24,Bidar,87.0,1727.0,150.0,1171.0,485.0,0.0,67.0,4.0
july25,Bidar,62.0,1789.0,25.0,1196.0,522.0,0.0,67.0,4.0
july26,Bidar,77.0,1866.0,32.0,1228.0,567.0,0.0,67.0,4.0
july27,Bidar,42.0,1908.0,80.0,1308.0,528.0,1.0,68.0,4.0
july28,Bidar,39.0,1947.0,49.0,1357.0,516.0,2.0,70.0,4.0
july29,Bidar,91.0,2038.0,0.0,1357.0,606.0,1.0,71.0,4.0
july30,Bidar,69.0,2107.0,44.0,1401.0,629.0,2.0,73.0,4.0
july31,Bidar,104.0,2211.0,74.0,1474.0,658.0,2.0,75.0,4.0
aug01,Bidar,52.0,2263.0,61.0,1535.0,645.0,4.0,79.0,4.0
aug02,Bidar,135.0,2398.0,45.0,1580.0,735.0,0.0,79.0,4.0
aug03,Bidar,50.0,2448.0,90.0,1670.0,692.0,3.0,82.0,4.0
aug04,Bidar,114.0,2562.0,22.0,1692.0,781.0,3.0,85.0,4.0
aug05,Bidar,52.0,2614.0,14.0,1706.0,817.0,2.0,87.0,4.0
aug06,Bidar,98.0,2712.0,97.0,1803.0,815.0,3.0,90.0,4.0
aug07,Bidar,84.0,2796.0,29.0,1832.0,869.0,1.0,91.0,4.0
aug08,Bidar,47.0,2843.0,18.0,1850.0,896.0,2.0,93.0,4.0
aug09,Bidar,70.0,2913.0,44.0,1894.0,918.0,4.0,97.0,4.0
aug10,Bidar,28.0,2941.0,46.0,1940.0,899.0,1.0,98.0,4.0
aug11,Bidar,73.0,3014.0,127.0,2067.0,843.0,2.0,100.0,4.0
aug12,Bidar,91.0,3105.0,115.0,2182.0,816.0,3.0,103.0,4.0
aug13,Bidar,143.0,3248.0,106.0,2288.0,853.0,0.0,103.0,4.0
aug14,Bidar,97.0,3345.0,76.0,2364.0,873.0,1.0,104.0,4.0
aug15,Bidar,113.0,3458.0,70.0,2434.0,913.0,3.0,107.0,4.0
aug16,Bidar,119.0,3577.0,73.0,2507.0,958.0,1.0,108.0,4.0
aug17,Bidar,72.0,3649.0,9.0,2516.0,1021.0,0.0,108.0,4.0
aug18,Bidar,99.0,3748.0,55.0,2571.0,1057.0,8.0,116.0,4.0
aug19,Bidar,43.0,3791.0,151.0,2722.0,946.0,3.0,119.0,4.0
