date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Chamarajanagara,21.0,54.0,0.0,1.0,53.0,,0.0,0.0
july02,Chamarajanagara,0.0,54.0,0.0,1.0,53.0,,0.0,0.0
july03,Chamarajanagara,24.0,78.0,0.0,1.0,77.0,,0.0,0.0
july04,Chamarajanagara,5.0,83.0,0.0,1.0,82.0,,0.0,0.0
july05,Chamarajanagara,19.0,102.0,0.0,1.0,101.0,,0.0,0.0
july06,Chamarajanagara,12.0,114.0,3.0,4.0,110.0,,0.0,0.0
july07,Chamarajanagara,6.0,120.0,20.0,24.0,96.0,,0.0,0.0
july08,Chamarajanagara,0.0,120.0,7.0,31.0,89.0,,0.0,0.0
july10,Chamarajanagara,9.0,141.0,18.0,49.0,92.0,,0.0,0.0
july11,Chamarajanagara,17.0,158.0,0.0,49.0,109.0,,0.0,0.0
july12,Chamarajanagara,13.0,171.0,0.0,49.0,121.0,1.0,1.0,0.0
july13,Chamarajanagara,9.0,180.0,28.0,77.0,102.0,0.0,1.0,0.0
july14,Chamarajanagara,8.0,188.0,16.0,93.0,92.0,2.0,3.0,0.0
july15,Chamarajanagara,8.0,196.0,17.0,110.0,83.0,0.0,3.0,0.0
july16,Chamarajanagara,16.0,212.0,6.0,116.0,93.0,0.0,3.0,0.0
july17,Chamarajanagara,10.0,222.0,19.0,135.0,84.0,0.0,3.0,0.0
july19,Chamarajanagara,25.0,281.0,39.0,174.0,104.0,0.0,3.0,0.0
july20,Chamarajanagara,49.0,330.0,13.0,187.0,140.0,0.0,3.0,0.0
july21,Chamarajanagara,34.0,364.0,11.0,198.0,162.0,1.0,4.0,0.0
july22,Chamarajanagara,31.0,395.0,12.0,210.0,180.0,1.0,5.0,0.0
july23,Chamarajanagara,27.0,422.0,22.0,232.0,185.0,0.0,5.0,0.0
july24,Chamarajanagara,33.0,455.0,0.0,232.0,217.0,1.0,6.0,0.0
july25,Chamarajanagara,22.0,477.0,18.0,250.0,221.0,0.0,6.0,0.0
july26,Chamarajanagara,28.0,505.0,20.0,270.0,229.0,0.0,6.0,0.0
july27,Chamarajanagara,16.0,521.0,18.0,288.0,227.0,0.0,6.0,0.0
july28,Chamarajanagara,52.0,573.0,31.0,319.0,248.0,0.0,6.0,0.0
july29,Chamarajanagara,20.0,593.0,15.0,334.0,253.0,0.0,6.0,0.0
july30,Chamarajanagara,32.0,625.0,30.0,364.0,255.0,0.0,6.0,0.0
july31,Chamarajanagara,44.0,669.0,36.0,400.0,262.0,1.0,7.0,0.0
aug01,Chamarajanagara,43.0,712.0,15.0,415.0,290.0,0.0,7.0,0.0
aug02,Chamarajanagara,31.0,743.0,48.0,463.0,271.0,2.0,9.0,0.0
aug03,Chamarajanagara,52.0,795.0,31.0,494.0,291.0,1.0,10.0,0.0
aug04,Chamarajanagara,57.0,852.0,23.0,517.0,322.0,3.0,13.0,0.0
aug05,Chamarajanagara,38.0,890.0,28.0,545.0,332.0,0.0,13.0,0.0
aug06,Chamarajanagara,95.0,985.0,21.0,566.0,405.0,1.0,14.0,0.0
aug07,Chamarajanagara,63.0,1048.0,27.0,593.0,440.0,1.0,15.0,0.0
aug08,Chamarajanagara,62.0,1110.0,40.0,633.0,459.0,3.0,18.0,0.0
aug09,Chamarajanagara,47.0,1157.0,147.0,780.0,357.0,2.0,20.0,0.0
aug10,Chamarajanagara,70.0,1227.0,35.0,815.0,391.0,1.0,21.0,0.0
aug11,Chamarajanagara,72.0,1299.0,43.0,858.0,419.0,1.0,22.0,0.0
aug12,Chamarajanagara,68.0,1367.0,67.0,925.0,417.0,3.0,25.0,0.0
aug13,Chamarajanagara,56.0,1423.0,54.0,979.0,418.0,1.0,26.0,0.0
aug14,Chamarajanagara,61.0,1484.0,67.0,1046.0,410.0,2.0,28.0,0.0
aug15,Chamarajanagara,64.0,1548.0,27.0,1073.0,446.0,1.0,29.0,0.0
aug16,Chamarajanagara,36.0,1584.0,70.0,1143.0,412.0,0.0,21.0,8.0
aug17,Chamarajanagara,61.0,1645.0,51.0,1194.0,422.0,0.0,21.0,8.0
aug18,Chamarajanagara,21.0,1666.0,52.0,1246.0,390.0,1.0,22.0,8.0
aug19,Chamarajanagara,111.0,1777.0,106.0,1352.0,395.0,0.0,22.0,8.0
aug20,Chamarajanagara,120.0,1897.0,34.0,1386.0,479.0,2.0,24.0,8.0
aug21,Chamarajanagara,59.0,1956.0,0.0,1386.0,538.0,0.0,24.0,8.0
aug22,Chamarajanagara,67.0,2023.0,71.0,1457.0,532.0,2.0,26.0,8.0
aug23,Chamarajanagara,23.0,2046.0,46.0,1503.0,508.0,1.0,27.0,8.0
aug24,Chamarajanagara,29.0,2075.0,25.0,1528.0,510.0,2.0,26.0,11.0
aug25,Chamarajanagara,17,2092.0,19.0,1547.0,506.0,2.0,28.0,11.0
aug26,Chamarajanagara,51.0,2143.0,88.0,1635.0,467.0,2.0,30.0,11.0
aug27,Chamarajanagara,36.0,2179.0,31.0,1666.0,469.0,3.0,33.0,11.0
aug28,Chamarajanagara,37.0,2216.0,36.0,1702.0,470.0,0.0,33.0,11.0
aug29,Chamarajanagara,45.0,2261.0,27.0,1729.0,488.0,0.0,33.0,11.0
aug30,Chamarajanagara,54.0,2315.0,12.0,1741.0,529.0,1.0,34.0,11.0
aug31,Chamarajanagara,51.0,2366.0,47.0,1788.0,531.0,2.0,36.0,11.0
sep01,Chamarajanagara,49.0,2415.0,61.0,1849.0,518.0,1.0,37.0,11.0
sep02,Chamarajanagara,67.0,2482.0,64.0,1913.0,520.0,1.0,38.0,11.0
sep03,Chamarajanagara,43.0,2525.0,68.0,1981.0,495.0,0.0,38.0,11.0
sep04,Chamarajanagara,56.0,2581.0,70.0,2051.0,480.0,1.0,39.0,11.0
sep06,Chamarajanagara,41.0,2653.0,27.0,2184.0,416.0,0.0,42.0,11.0
sep07,Chamarajanagara,20.0,2673.0,35.0,2219.0,400.0,1.0,43.0,11.0
sep08,Chamarajanagara,42.0,2715.0,62.0,2281.0,378.0,2.0,45.0,11.0
sep09,Chamarajanagara,60,2775.0,41.0,2322.0,396.0,1.0,46.0,11.0
sep10,Chamarajanagara,62,2837.0,60.0,2382.0,398.0,0.0,46.0,11.0
sep11,Chamarajanagara,45.0,2882.0,60.0,2442.0,379.0,4.0,50.0,11.0
sep12,Chamarajanagara,60.0,2942.0,77.0,2519.0,360.0,2.0,52.0,11.0
sep13,Chamarajanagara,80.0,3022.0,0.0,2519.0,440.0,0.0,52.0,11.0
sep14,Chamarajanagara,54.0,3076.0,49.0,2568.0,443.0,2.0,54.0,11.0
sep15,Chamarajanagara,38.0,3114.0,21.0,2589.0,458.0,2.0,56.0,11.0
sep16,Chamarajanagara,65.0,3179.0,0.0,2589.0,524.0,0.0,55.0,11.0
sep17,Chamarajanagara,108.0,3287.0,0.0,2589.0,632.0,0.0,55.0,11.0
sep18,Chamarajanagara,67.0,3354.0,0.0,2589.0,699.0,0.0,55.0,11.0
sep19,Chamarajanagara,72.0,3426.0,97.0,2686.0,667.0,7.0,62.0,11.0
sep20,Chamarajanagara,69.0,3495.0,38.0,2724.0,698.0,0.0,62.0,11.0
sep21,Chamarajanagara,57.0,3552.0,65.0,2789.0,686.0,4.0,66.0,11.0
sep22,Chamarajanagara,57.0,3609.0,64.0,2853.0,678.0,1.0,67.0,11.0
sep23,Chamarajanagara,32.0,3641.0,0.0,2853.0,710.0,0.0,67.0,11.0
sep24,Chamarajanagara,17.0,3658.0,50.0,2903.0,675.0,2.0,69.0,11.0
sep25,Chamarajanagara,51.0,3709.0,6.0,2909.0,719.0,1.0,70.0,11.0
sep26,Chamarajanagara,63.0,3772.0,26.0,2935.0,756.0,0.0,70.0,11.0
sep27,Chamarajanagara,38.0,3810.0,53.0,2988.0,741.0,0.0,70.0,11.0
sep28,Chamarajanagara,64.0,3874.0,33.0,3021.0,771.0,1.0,71.0,11.0
sep29,Chamarajanagara,122.0,3996.0,30.0,3051.0,861.0,2.0,73.0,11.0
sep30,Chamarajanagara,50.0,4046.0,36.0,3087.0,871.0,4.0,77.0,11.0
oct01,Chamarajanagara,116,4162.0,43.0,3130.0,943.0,1.0,78.0,11.0
oct02,Chamarajanagara,40,4202.0,12.0,3142.0,971.0,0.0,78.0,11.0
oct03,Chamarajanagara,179,4381.0,15.0,3157.0,1134.0,1.0,79.0,11.0
oct04,Chamarajanagara,141,4522.0,7.0,3164.0,1267.0,1.0,80.0,11.0
oct05,Chamarajanagara,66,4588.0,28.0,3192.0,1303.0,2.0,82.0,11.0
oct06,Chamarajanagara,79,4667.0,145.0,3337.0,1237.0,0.0,82.0,11.0
oct07,Chamarajanagara,104,4771.0,179.0,3516.0,1161.0,1.0,83.0,11.0
oct08,Chamarajanagara,68,4839.0,167.0,3683.0,1061.0,1.0,84.0,11.0
oct09,Chamarajanagara,72,4911.0,292.0,3975.0,841.0,0.0,84.0,11.0
oct10,Chamarajanagara,79,4990.0,106.0,4081.0,811.0,3.0,87.0,11.0
oct11,Chamarajanagara,65,5055.0,22.0,4103.0,854.0,0.0,87.0,11.0
oct12,Chamarajanagara,70,5125.0,213.0,4316.0,710.0,1.0,88.0,11.0
oct13,Chamarajanagara,61,5186.0,84.0,4400.0,685.0,2.0,90.0,11.0
oct14,Chamarajanagara,97,5283.0,45.0,4445.0,736.0,1.0,91.0,11.0
oct15,Chamarajanagara,85,5368.0,46.0,4491.0,773.0,2.0,93.0,11.0
oct16,Chamarajanagara,62,5430.0,55.0,4546.0,777.0,3.0,96.0,11.0
oct17,Chamarajanagara,49,5479.0,85.0,4631.0,739.0,2.0,98.0,11.0
oct18,Chamarajanagara,60,5539.0,43.0,4674.0,755.0,1.0,99.0,11.0
oct19,Chamarajanagara,54,5593.0,64.0,4738.0,740.0,5.0,104.0,11.0
