date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Chikkaballapura,15.0,229.0,6.0,164.0,62.0,,2.0,1.0
july02,Chikkaballapura,1.0,230.0,1.0,165.0,62.0,,2.0,1.0
july03,Chikkaballapura,3.0,233.0,2.0,167.0,60.0,,5.0,1.0
july04,Chikkaballapura,12.0,245.0,0.0,167.0,72.0,,5.0,1.0
july05,Chikkaballapura,13.0,258.0,5.0,172.0,79.0,,6.0,1.0
july06,Chikkaballapura,7.0,265.0,19.0,191.0,66.0,,7.0,1.0
july07,Chikkaballapura,3.0,268.0,0.0,191.0,69.0,,7.0,1.0
july08,Chikkaballapura,32.0,300.0,3.0,194.0,96.0,,9.0,1.0
july10,Chikkaballapura,12.0,344.0,10.0,210.0,122.0,,11.0,1.0
july11,Chikkaballapura,20.0,364.0,0.0,210.0,140.0,,13.0,1.0
july12,Chikkaballapura,39.0,403.0,4.0,214.0,175.0,0.0,13.0,1.0
july13,Chikkaballapura,42.0,445.0,0.0,214.0,217.0,0.0,13.0,1.0
july14,Chikkaballapura,13.0,458.0,0.0,214.0,230.0,0.0,13.0,1.0
july15,Chikkaballapura,32.0,490.0,35.0,249.0,225.0,2.0,15.0,1.0
july16,Chikkaballapura,77.0,567.0,13.0,262.0,289.0,0.0,15.0,1.0
july17,Chikkaballapura,31.0,598.0,0.0,262.0,319.0,1.0,16.0,1.0
july19,Chikkaballapura,135.0,840.0,38.0,300.0,522.0,0.0,17.0,1.0
july20,Chikkaballapura,60.0,900.0,0.0,300.0,582.0,0.0,17.0,1.0
july21,Chikkaballapura,81.0,981.0,0.0,300.0,662.0,1.0,18.0,1.0
july22,Chikkaballapura,110.0,1091.0,92.0,392.0,678.0,2.0,20.0,1.0
july23,Chikkaballapura,65.0,1156.0,49.0,441.0,691.0,3.0,23.0,1.0
july24,Chikkaballapura,92.0,1248.0,78.0,519.0,702.0,3.0,26.0,1.0
july25,Chikkaballapura,101.0,1349.0,29.0,548.0,772.0,2.0,28.0,1.0
july26,Chikkaballapura,81.0,1430.0,37.0,585.0,814.0,2.0,30.0,1.0
july27,Chikkaballapura,40.0,1470.0,29.0,614.0,825.0,0.0,30.0,1.0
july28,Chikkaballapura,72.0,1542.0,152.0,766.0,742.0,3.0,33.0,1.0
july29,Chikkaballapura,96.0,1638.0,95.0,861.0,742.0,1.0,34.0,1.0
july30,Chikkaballapura,82.0,1720.0,176.0,1037.0,648.0,0.0,34.0,1.0
july31,Chikkaballapura,48.0,1768.0,46.0,1078.0,655.0,0.0,34.0,1.0
aug01,Chikkaballapura,72.0,1840.0,24.0,1102.0,702.0,1.0,35.0,1.0
aug02,Chikkaballapura,55.0,1895.0,65.0,1167.0,691.0,1.0,36.0,1.0
aug03,Chikkaballapura,58.0,1953.0,90.0,1257.0,657.0,2.0,38.0,1.0
aug04,Chikkaballapura,171.0,2124.0,31.0,1288.0,795.0,2.0,40.0,1.0
aug05,Chikkaballapura,129.0,2253.0,62.0,1350.0,862.0,0.0,40.0,1.0
aug06,Chikkaballapura,117.0,2370.0,14.0,1364.0,964.0,1.0,41.0,1.0
aug07,Chikkaballapura,64.0,2434.0,49.0,1413.0,978.0,1.0,42.0,1.0
aug08,Chikkaballapura,66.0,2500.0,70.0,1483.0,974.0,0.0,42.0,1.0
aug09,Chikkaballapura,47.0,2547.0,30.0,1513.0,991.0,0.0,42.0,1.0
aug10,Chikkaballapura,26.0,2573.0,35.0,1548.0,981.0,1.0,43.0,1.0
aug11,Chikkaballapura,33.0,2606.0,68.0,1616.0,944.0,2.0,45.0,1.0
aug12,Chikkaballapura,81.0,2687.0,90.0,1706.0,933.0,2.0,47.0,1.0
aug13,Chikkaballapura,25.0,2712.0,73.0,1779.0,884.0,1.0,48.0,1.0
aug14,Chikkaballapura,42.0,2754.0,68.0,1847.0,858.0,0.0,48.0,1.0
aug15,Chikkaballapura,44.0,2798.0,212.0,2059.0,689.0,1.0,49.0,1.0
aug16,Chikkaballapura,98.0,2896.0,73.0,2132.0,713.0,1.0,50.0,1.0
aug17,Chikkaballapura,41.0,2937.0,163.0,2295.0,591.0,0.0,50.0,1.0
aug18,Chikkaballapura,82.0,3019.0,130.0,2425.0,543.0,0.0,50.0,1.0
aug19,Chikkaballapura,73.0,3092.0,17.0,2442.0,599.0,0.0,50.0,1.0
aug20,Chikkaballapura,76.0,3168.0,123.0,2565.0,549.0,3.0,53.0,1.0
aug21,Chikkaballapura,61.0,3229.0,93.0,2658.0,517.0,0.0,53.0,1.0
aug22,Chikkaballapura,79.0,3308.0,17.0,2675.0,579.0,0.0,53.0,1.0
aug23,Chikkaballapura,81.0,3389.0,40.0,2715.0,618.0,2.0,55.0,1.0
aug24,Chikkaballapura,76.0,3465.0,107.0,2822.0,585.0,2.0,57.0,1.0
aug25,Chikkaballapura,93,3558.0,73.0,2895.0,605.0,0.0,57.0,1.0
aug26,Chikkaballapura,87.0,3645.0,68.0,2963.0,622.0,2.0,59.0,1.0
aug27,Chikkaballapura,101.0,3746.0,90.0,3053.0,633.0,0.0,59.0,1.0
aug28,Chikkaballapura,124.0,3870.0,101.0,3154.0,655.0,1.0,60.0,1.0
aug29,Chikkaballapura,102.0,3972.0,99.0,3253.0,658.0,0.0,60.0,1.0
aug30,Chikkaballapura,127.0,4099.0,40.0,3293.0,743.0,2.0,62.0,1.0
aug31,Chikkaballapura,68.0,4167.0,39.0,3332.0,771.0,1.0,63.0,1.0
sep01,Chikkaballapura,106.0,4273.0,81.0,3413.0,794.0,2.0,65.0,1.0
sep02,Chikkaballapura,100.0,4373.0,61.0,3474.0,833.0,0.0,65.0,1.0
sep03,Chikkaballapura,104.0,4477.0,74.0,3548.0,863.0,0.0,65.0,1.0
sep04,Chikkaballapura,206.0,4683.0,69.0,3617.0,999.0,1.0,66.0,1.0
sep06,Chikkaballapura,81.0,4897.0,112.0,3815.0,1013.0,1.0,68.0,1.0
sep07,Chikkaballapura,82.0,4979.0,107.0,3922.0,987.0,1.0,69.0,1.0
sep08,Chikkaballapura,82.0,5061.0,114.0,4036.0,955.0,0.0,69.0,1.0
sep09,Chikkaballapura,141,5202.0,171.0,4207.0,925.0,0.0,69.0,1.0
