date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Chikkamagaluru,1.0,81.0,5.0,41.0,39.0,,1.0,0.0
july02,Chikkamagaluru,1.0,82.0,2.0,43.0,38.0,,1.0,0.0
july03,Chikkamagaluru,0.0,82.0,0.0,43.0,38.0,,1.0,0.0
july04,Chikkamagaluru,3.0,85.0,6.0,49.0,35.0,,1.0,0.0
july05,Chikkamagaluru,9.0,94.0,2.0,51.0,42.0,,1.0,0.0
july06,Chikkamagaluru,2.0,96.0,1.0,52.0,43.0,,1.0,0.0
july07,Chikkamagaluru,6.0,102.0,0.0,52.0,49.0,,1.0,0.0
july08,Chikkamagaluru,23.0,125.0,19.0,71.0,52.0,,2.0,0.0
july10,Chikkamagaluru,1.0,131.0,13.0,84.0,44.0,,3.0,0.0
july11,Chikkamagaluru,3.0,134.0,2.0,86.0,45.0,,3.0,0.0
july12,Chikkamagaluru,10.0,144.0,2.0,88.0,53.0,0.0,3.0,0.0
july13,Chikkamagaluru,10.0,154.0,9.0,97.0,54.0,0.0,3.0,0.0
july14,Chikkamagaluru,3.0,157.0,0.0,97.0,54.0,3.0,6.0,0.0
july15,Chikkamagaluru,13.0,170.0,8.0,105.0,58.0,1.0,7.0,0.0
july16,Chikkamagaluru,30.0,200.0,22.0,127.0,66.0,0.0,7.0,0.0
july17,Chikkamagaluru,28.0,228.0,5.0,132.0,89.0,0.0,7.0,0.0
july19,Chikkamagaluru,41.0,293.0,6.0,140.0,145.0,1.0,8.0,0.0
july20,Chikkamagaluru,43.0,336.0,18.0,158.0,169.0,1.0,9.0,0.0
july21,Chikkamagaluru,68.0,404.0,11.0,169.0,225.0,1.0,10.0,0.0
july22,Chikkamagaluru,82.0,486.0,50.0,219.0,255.0,2.0,12.0,0.0
july23,Chikkamagaluru,62.0,548.0,53.0,272.0,262.0,2.0,14.0,0.0
july24,Chikkamagaluru,28.0,576.0,42.0,314.0,245.0,3.0,17.0,0.0
july25,Chikkamagaluru,42.0,618.0,55.0,369.0,232.0,0.0,17.0,0.0
july26,Chikkamagaluru,61.0,679.0,5.0,374.0,287.0,1.0,18.0,0.0
july27,Chikkamagaluru,26.0,705.0,3.0,377.0,309.0,1.0,19.0,0.0
july28,Chikkamagaluru,55.0,760.0,10.0,387.0,353.0,1.0,20.0,0.0
july29,Chikkamagaluru,33.0,793.0,9.0,396.0,377.0,0.0,20.0,0.0
july30,Chikkamagaluru,126.0,919.0,30.0,426.0,472.0,1.0,21.0,0.0
july31,Chikkamagaluru,74.0,993.0,5.0,428.0,544.0,0.0,21.0,0.0
aug01,Chikkamagaluru,57.0,1050.0,1.0,429.0,600.0,0.0,21.0,0.0
aug02,Chikkamagaluru,40.0,1090.0,11.0,440.0,628.0,1.0,22.0,0.0
aug03,Chikkamagaluru,46.0,1136.0,53.0,493.0,621.0,0.0,22.0,0.0
aug04,Chikkamagaluru,63.0,1199.0,23.0,516.0,659.0,2.0,24.0,0.0
aug05,Chikkamagaluru,48.0,1247.0,19.0,535.0,687.0,1.0,25.0,0.0
aug06,Chikkamagaluru,59.0,1306.0,30.0,565.0,716.0,0.0,25.0,0.0
aug07,Chikkamagaluru,65.0,1371.0,21.0,586.0,758.0,2.0,27.0,0.0
aug08,Chikkamagaluru,89.0,1460.0,35.0,621.0,810.0,2.0,29.0,0.0
aug09,Chikkamagaluru,113.0,1573.0,20.0,641.0,901.0,2.0,31.0,0.0
aug10,Chikkamagaluru,45.0,1618.0,20.0,661.0,926.0,0.0,31.0,0.0
aug11,Chikkamagaluru,93.0,1711.0,49.0,710.0,967.0,3.0,34.0,0.0
aug12,Chikkamagaluru,112.0,1823.0,216.0,926.0,861.0,2.0,36.0,0.0
aug13,Chikkamagaluru,111.0,1934.0,300.0,1226.0,670.0,2.0,38.0,0.0
aug14,Chikkamagaluru,104.0,2038.0,9.0,1235.0,764.0,1.0,39.0,0.0
aug15,Chikkamagaluru,79.0,2117.0,23.0,1258.0,816.0,4.0,43.0,0.0
aug16,Chikkamagaluru,69.0,2186.0,37.0,1295.0,844.0,4.0,47.0,0.0
aug17,Chikkamagaluru,92.0,2278.0,118.0,1413.0,816.0,2.0,49.0,0.0
aug18,Chikkamagaluru,145.0,2423.0,136.0,1549.0,825.0,0.0,49.0,0.0
aug19,Chikkamagaluru,100.0,2523.0,50.0,1599.0,874.0,1.0,50.0,0.0
aug20,Chikkamagaluru,124.0,2647.0,62.0,1661.0,933.0,3.0,53.0,0.0
aug21,Chikkamagaluru,102.0,2749.0,80.0,1741.0,953.0,2.0,55.0,0.0
aug22,Chikkamagaluru,71.0,2820.0,51.0,1792.0,972.0,1.0,56.0,0.0
aug23,Chikkamagaluru,126.0,2946.0,42.0,1834.0,1056.0,0.0,56.0,0.0
aug24,Chikkamagaluru,123.0,3069.0,105.0,1939.0,1071.0,3.0,59.0,0.0
aug25,Chikkamagaluru,88,3157.0,108.0,2047.0,1050.0,1.0,60.0,0.0
aug26,Chikkamagaluru,97.0,3254.0,145.0,2192.0,1001.0,1.0,61.0,0.0
aug27,Chikkamagaluru,229.0,3483.0,65.0,2257.0,1165.0,0.0,61.0,0.0
aug28,Chikkamagaluru,136.0,3619.0,113.0,2370.0,1184.0,4.0,65.0,0.0
aug29,Chikkamagaluru,129.0,3748.0,222.0,2592.0,1088.0,3.0,68.0,0.0
aug30,Chikkamagaluru,207.0,3955.0,97.0,2689.0,1196.0,2.0,70.0,0.0
aug31,Chikkamagaluru,100.0,4055.0,75.0,2764.0,1219.0,2.0,72.0,0.0
sep01,Chikkamagaluru,210.0,4265.0,67.0,2831.0,1360.0,2.0,74.0,0.0
sep02,Chikkamagaluru,117.0,4382.0,105.0,2936.0,1368.0,4.0,78.0,0.0
sep03,Chikkamagaluru,123.0,4505.0,130.0,3066.0,1360.0,1.0,79.0,0.0
sep04,Chikkamagaluru,223.0,4728.0,118.0,3184.0,1463.0,2.0,81.0,0.0
sep06,Chikkamagaluru,239.0,5205.0,209.0,3510.0,1608.0,2.0,87.0,0.0
sep07,Chikkamagaluru,101.0,5306.0,89.0,3597.0,1620.0,2.0,89.0,0.0
sep08,Chikkamagaluru,162.0,5468.0,105.0,3702.0,1675.0,2.0,91.0,0.0
sep09,Chikkamagaluru,73,5541.0,123.0,3825.0,1623.0,2.0,93.0,0.0
sep10,Chikkamagaluru,111,5652.0,93.0,3966.0,1591.0,2.0,95.0,0.0
sep11,Chikkamagaluru,89.0,5741.0,170.0,4136.0,1508.0,2.0,97.0,0.0
sep12,Chikkamagaluru,159.0,5900.0,215.0,4351.0,1451.0,1.0,98.0,0.0
sep13,Chikkamagaluru,171.0,6071.0,103.0,4454.0,1519.0,0.0,98.0,0.0
sep14,Chikkamagaluru,200.0,6271.0,223.0,4677.0,1493.0,3.0,101.0,0.0
sep15,Chikkamagaluru,262.0,6533.0,0.0,4677.0,1752.0,3.0,104.0,0.0
sep16,Chikkamagaluru,171.0,6704.0,0.0,4677.0,1924.0,0.0,103.0,0.0
sep17,Chikkamagaluru,112.0,6816.0,0.0,4677.0,2036.0,0.0,103.0,0.0
sep18,Chikkamagaluru,109.0,6925.0,643.0,5320.0,1499.0,3.0,106.0,0.0
sep19,Chikkamagaluru,165.0,7090.0,145.0,5465.0,1518.0,1.0,107.0,0.0
sep20,Chikkamagaluru,129.0,7219.0,130.0,5595.0,1517.0,0.0,107.0,0.0
sep21,Chikkamagaluru,68.0,7287.0,236.0,5831.0,1346.0,3.0,110.0,0.0
sep22,Chikkamagaluru,77.0,7364.0,85.0,5916.0,1338.0,0.0,110.0,0.0
sep23,Chikkamagaluru,252.0,7616.0,162.0,6078.0,1428.0,0.0,110.0,0.0
sep24,Chikkamagaluru,186.0,7802.0,88.0,6166.0,1524.0,2.0,112.0,0.0
sep25,Chikkamagaluru,87.0,7889.0,279.0,6445.0,1329.0,3.0,115.0,0.0
sep26,Chikkamagaluru,109.0,7998.0,122.0,6567.0,1315.0,1.0,116.0,0.0
sep27,Chikkamagaluru,206.0,8204.0,79.0,6646.0,1441.0,1.0,117.0,0.0
sep28,Chikkamagaluru,219.0,8423.0,102.0,6748.0,1557.0,1.0,118.0,0.0
sep29,Chikkamagaluru,177.0,8600.0,136.0,6884.0,1597.0,1.0,119.0,0.0
sep30,Chikkamagaluru,167.0,8767.0,96.0,6980.0,1665.0,3.0,122.0,0.0
oct01,Chikkamagaluru,184,8951.0,78.0,7058.0,1771.0,0.0,122.0,0.0
oct02,Chikkamagaluru,123,9074.0,91.0,7149.0,1802.0,1.0,123.0,0.0
oct03,Chikkamagaluru,175,9249.0,189.0,7338.0,1787.0,1.0,124.0,0.0
oct04,Chikkamagaluru,227,9476.0,146.0,7484.0,1868.0,0.0,124.0,0.0
oct05,Chikkamagaluru,108,9584.0,99.0,7583.0,1876.0,1.0,125.0,0.0
oct06,Chikkamagaluru,120,9704.0,129.0,7712.0,1867.0,0.0,125.0,0.0
oct07,Chikkamagaluru,186,9890.0,478.0,8190.0,1574.0,1.0,126.0,0.0
oct08,Chikkamagaluru,142,10032.0,271.0,8461.0,1444.0,1.0,127.0,0.0
oct09,Chikkamagaluru,129,10161.0,167.0,8628.0,1405.0,1.0,128.0,0.0
oct10,Chikkamagaluru,241,10402.0,102.0,8730.0,1544.0,0.0,128.0,0.0
oct11,Chikkamagaluru,186,10588.0,185.0,8915.0,1542.0,3.0,131.0,0.0
oct12,Chikkamagaluru,162,10750.0,289.0,9204.0,1413.0,2.0,133.0,0.0
oct13,Chikkamagaluru,231,10981.0,197.0,9401.0,1447.0,0.0,133.0,0.0
oct14,Chikkamagaluru,97,11078.0,121.0,9522.0,1422.0,1.0,134.0,0.0
oct15,Chikkamagaluru,92,11170.0,348.0,9870.0,1166.0,0.0,134.0,0.0
oct16,Chikkamagaluru,101,11271.0,142.0,10012.0,1125.0,0.0,134.0,0.0
oct17,Chikkamagaluru,129,11400.0,178.0,10190.0,1076.0,0.0,134.0,0.0
oct18,Chikkamagaluru,119,11519.0,139.0,10329.0,1056.0,0.0,134.0,0.0
oct19,Chikkamagaluru,69,11588.0,119.0,10448.0,1006.0,0.0,134.0,0.0
oct20,Chikkamagaluru,104,11692.0,142.0,10590.0,968.0,0.0,134.0,0.0
oct21,Chikkamagaluru,73,11765.0,178.0,10768.0,863.0,0.0,134.0,0.0
oct22,Chikkamagaluru,80,11845.0,126.0,10894.0,815.0,2.0,136.0,0.0
oct24,Chikkamagaluru,85,12032.0,98.0,11103.0,793.0,0.0,136.0,0.0
oct25,Chikkamagaluru,36,12068.0,86.0,11189.0,743.0,0.0,136.0,0.0
oct26,Chikkamagaluru,43,12111.0,78.0,11267.0,708.0,0.0,136.0,0.0
oct27,Chikkamagaluru,57,12168.0,163.0,11430.0,602.0,0.0,136.0,0.0
oct28,Chikkamagaluru,56,12224.0,125.0,11555.0,533.0,0.0,136.0,0.0
oct29,Chikkamagaluru,38,12262.0,66.0,11621.0,505.0,0.0,136.0,0.0
oct30,Chikkamagaluru,68,12330.0,77.0,11698.0,496.0,0.0,136.0,0.0
oct31,Chikkamagaluru,35,12365.0,32.0,11730.0,499.0,0.0,136.0,0.0
dec01,Chikkamagaluru,19,13223.0,22.0,12898.0,187.0,0.0,138.0,0.0
dec02,Chikkamagaluru,38,13261.0,24.0,12922.0,201.0,0.0,138.0,0.0
dec03,Chikkamagaluru,11,13272.0,17.0,12939.0,195.0,0.0,138.0,0.0
dec04,Chikkamagaluru,20,13292.0,3.0,12942.0,212.0,0.0,138.0,0.0
dec05,Chikkamagaluru,42,13334.0,68.0,13010.0,186.0,0.0,138.0,0.0
dec06,Chikkamagaluru,21,13355.0,7.0,13017.0,200.0,0.0,138.0,0.0
dec07,Chikkamagaluru,23,13378.0,31.0,13048.0,192.0,0.0,138.0,0.0
dec08,Chikkamagaluru,46,13424.0,9.0,13057.0,229.0,0.0,138.0,0.0
dec09,Chikkamagaluru,12,13436.0,18.0,13075.0,223.0,0.0,138.0,0.0
dec10,Chikkamagaluru,9,13445.0,31.0,13106.0,201.0,0.0,138.0,0.0
dec11,Chikkamagaluru,25,13470.0,8.0,13114.0,218.0,0.0,138.0,0.0
dec12,Chikkamagaluru,12,13482.0,18.0,13132.0,212.0,0.0,138.0,0.0
dec13,Chikkamagaluru,14,13496.0,35.0,13167.0,191.0,0.0,138.0,0.0
dec14,Chikkamagaluru,15,13511.0,14.0,13181.0,192.0,0.0,138.0,0.0
dec15,Chikkamagaluru,18,13529.0,15.0,13196.0,195.0,0.0,138.0,0.0
dec16,Chikkamagaluru,8,13537.0,34.0,13230.0,168.0,1.0,139.0,0.0
dec17,Chikkamagaluru,8,13545.0,10.0,13240.0,166.0,0.0,139.0,0.0
dec18,Chikkamagaluru,14,13559.0,12.0,13252.0,168.0,0.0,139.0,0.0
dec19,Chikkamagaluru,14,13573.0,22.0,13274.0,160.0,0.0,139.0,0.0
dec20,Chikkamagaluru,19,13592.0,34.0,13308.0,145.0,0.0,139.0,0.0
dec21,Chikkamagaluru,4,13596.0,20.0,13328.0,129.0,0.0,139.0,0.0
dec22,Chikkamagaluru,8,13604.0,11.0,13339.0,126.0,0.0,139.0,0.0
dec23,Chikkamagaluru,7,13611.0,9.0,13348.0,124.0,0.0,139.0,0.0
dec24,Chikkamagaluru,10,13621.0,15.0,13363.0,119.0,0.0,139.0,0.0
dec25,Chikkamagaluru,10,13631.0,16.0,13379.0,113.0,0.0,139.0,0.0
dec26,Chikkamagaluru,9,13640.0,13.0,13392.0,109.0,0.0,139.0,0.0
dec27,Chikkamagaluru,9,13649.0,6.0,13398.0,112.0,0.0,139.0,0.0
dec28,Chikkamagaluru,12,13661.0,7.0,13405.0,117.0,0.0,139.0,0.0
dec29,Chikkamagaluru,6,13667.0,3.0,13408.0,120.0,0.0,139.0,0.0
dec30,Chikkamagaluru,8,13675.0,14.0,13422.0,114.0,0.0,139.0,0.0
dec31,Chikkamagaluru,9,13684.0,4.0,13426.0,119.0,0.0,139.0,0.0
jan01,Chikkamagaluru,8,13692.0,7.0,13433.0,120.0,0.0,139.0,0.0
jan02,Chikkamagaluru,11,13703.0,6.0,13439.0,125.0,0.0,139.0,0.0
jan03,Chikkamagaluru,11,13714.0,11.0,13450.0,125.0,0.0,139.0,0.0
jan04,Chikkamagaluru,7,13721.0,10.0,13460.0,122.0,0.0,139.0,0.0
