date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Chitradurga,12.0,74.0,0.0,43.0,31.0,,0.0,0.0
july02,Chitradurga,3.0,77.0,0.0,43.0,34.0,,0.0,0.0
july03,Chitradurga,3.0,80.0,0.0,43.0,37.0,,0.0,0.0
july04,Chitradurga,0.0,80.0,5.0,48.0,32.0,,0.0,0.0
july05,Chitradurga,3.0,83.0,0.0,48.0,35.0,,0.0,0.0
july06,Chitradurga,6.0,89.0,0.0,48.0,41.0,,0.0,0.0
july07,Chitradurga,1.0,90.0,4.0,52.0,38.0,,0.0,0.0
july08,Chitradurga,2.0,92.0,12.0,64.0,28.0,,0.0,0.0
july10,Chitradurga,0.0,94.0,6.0,70.0,24.0,,0.0,0.0
july11,Chitradurga,9.0,103.0,0.0,70.0,33.0,,0.0,0.0
july12,Chitradurga,0.0,103.0,3.0,73.0,30.0,0.0,0.0,0.0
july13,Chitradurga,8.0,111.0,0.0,73.0,38.0,0.0,0.0,0.0
july14,Chitradurga,10.0,121.0,1.0,74.0,47.0,0.0,0.0,0.0
july15,Chitradurga,12.0,133.0,0.0,74.0,58.0,1.0,1.0,0.0
july16,Chitradurga,21.0,154.0,0.0,74.0,79.0,0.0,1.0,0.0
july17,Chitradurga,24.0,178.0,0.0,74.0,103.0,0.0,1.0,0.0
july19,Chitradurga,17.0,217.0,34.0,108.0,108.0,0.0,1.0,0.0
july20,Chitradurga,29.0,246.0,4.0,112.0,131.0,2.0,3.0,0.0
july21,Chitradurga,23.0,269.0,0.0,112.0,154.0,0.0,3.0,0.0
july22,Chitradurga,40.0,309.0,9.0,121.0,185.0,0.0,3.0,0.0
july23,Chitradurga,10.0,319.0,0.0,121.0,195.0,0.0,3.0,0.0
july24,Chitradurga,13.0,332.0,10.0,131.0,195.0,3.0,6.0,0.0
july25,Chitradurga,16.0,348.0,3.0,134.0,208.0,0.0,6.0,0.0
july26,Chitradurga,53.0,401.0,0.0,134.0,261.0,0.0,6.0,0.0
july27,Chitradurga,51.0,452.0,12.0,146.0,300.0,0.0,6.0,0.0
july28,Chitradurga,66.0,518.0,0.0,146.0,366.0,0.0,6.0,0.0
july29,Chitradurga,52.0,570.0,14.0,160.0,404.0,0.0,6.0,0.0
july30,Chitradurga,47.0,617.0,0.0,160.0,451.0,0.0,6.0,0.0
july31,Chitradurga,35.0,652.0,27.0,186.0,460.0,0.0,6.0,0.0
aug01,Chitradurga,60.0,712.0,72.0,258.0,445.0,3.0,9.0,0.0
aug02,Chitradurga,46.0,758.0,0.0,258.0,491.0,0.0,9.0,0.0
aug03,Chitradurga,33.0,791.0,0.0,258.0,524.0,0.0,9.0,0.0
aug04,Chitradurga,12.0,803.0,79.0,337.0,454.0,3.0,12.0,0.0
aug05,Chitradurga,24.0,827.0,42.0,379.0,436.0,0.0,12.0,0.0
aug06,Chitradurga,58.0,885.0,72.0,451.0,422.0,0.0,12.0,0.0
aug07,Chitradurga,57.0,942.0,8.0,459.0,471.0,0.0,12.0,0.0
aug08,Chitradurga,63.0,1005.0,21.0,480.0,513.0,0.0,12.0,0.0
aug09,Chitradurga,98.0,1103.0,25.0,505.0,584.0,2.0,14.0,0.0
aug10,Chitradurga,38.0,1141.0,6.0,511.0,616.0,0.0,14.0,0.0
aug11,Chitradurga,47.0,1188.0,20.0,531.0,643.0,0.0,14.0,0.0
aug12,Chitradurga,61.0,1249.0,24.0,555.0,680.0,0.0,14.0,0.0
aug13,Chitradurga,67.0,1316.0,82.0,637.0,665.0,0.0,14.0,0.0
aug14,Chitradurga,77.0,1393.0,43.0,680.0,699.0,0.0,14.0,0.0
aug15,Chitradurga,34.0,1427.0,163.0,843.0,570.0,0.0,14.0,0.0
aug16,Chitradurga,71.0,1498.0,0.0,843.0,641.0,0.0,14.0,0.0
aug17,Chitradurga,21.0,1519.0,117.0,960.0,545.0,0.0,14.0,0.0
aug18,Chitradurga,41.0,1560.0,70.0,1030.0,516.0,0.0,14.0,0.0
aug19,Chitradurga,47.0,1607.0,79.0,1109.0,484.0,0.0,14.0,0.0
aug20,Chitradurga,60.0,1667.0,0.0,1109.0,544.0,0.0,14.0,0.0
aug21,Chitradurga,98.0,1765.0,21.0,1130.0,621.0,0.0,14.0,0.0
aug22,Chitradurga,89.0,1854.0,154.0,1284.0,556.0,0.0,14.0,0.0
aug23,Chitradurga,71.0,1925.0,92.0,1376.0,532.0,3.0,17.0,0.0
aug24,Chitradurga,28.0,1953.0,79.0,1455.0,481.0,0.0,17.0,0.0
aug25,Chitradurga,114,2067.0,14.0,1469.0,578.0,3.0,20.0,0.0
aug26,Chitradurga,78.0,2145.0,2.0,1471.0,654.0,0.0,20.0,0.0
aug27,Chitradurga,61.0,2206.0,39.0,1510.0,676.0,0.0,20.0,0.0
aug28,Chitradurga,150.0,2356.0,78.0,1588.0,748.0,0.0,20.0,0.0
aug29,Chitradurga,100.0,2456.0,28.0,1616.0,820.0,0.0,20.0,0.0
aug30,Chitradurga,95.0,2551.0,0.0,1616.0,913.0,2.0,22.0,0.0
aug31,Chitradurga,286.0,2837.0,0.0,1616.0,1199.0,0.0,22.0,0.0
sep01,Chitradurga,164.0,3001.0,63.0,1679.0,1300.0,0.0,22.0,0.0
sep02,Chitradurga,174.0,3175.0,91.0,1770.0,1380.0,3.0,25.0,0.0
sep03,Chitradurga,151.0,3326.0,101.0,1871.0,1430.0,0.0,25.0,0.0
sep04,Chitradurga,92.0,3418.0,46.0,1917.0,1476.0,0.0,25.0,0.0
sep06,Chitradurga,261.0,3919.0,49.0,2160.0,1734.0,0.0,25.0,0.0
sep07,Chitradurga,50.0,3969.0,73.0,2233.0,1711.0,0.0,25.0,0.0
sep08,Chitradurga,23.0,3992.0,179.0,2412.0,1555.0,0.0,25.0,0.0
sep09,Chitradurga,94,4086.0,209.0,2621.0,1438.0,2.0,27.0,0.0
sep10,Chitradurga,142,4228.0,91.0,2712.0,1489.0,0.0,27.0,0.0
sep11,Chitradurga,247.0,4475.0,643.0,3355.0,1091.0,2.0,29.0,0.0
sep12,Chitradurga,227.0,4702.0,126.0,3481.0,1188.0,4.0,33.0,0.0
sep13,Chitradurga,232.0,4934.0,134.0,3615.0,1286.0,0.0,33.0,0.0
sep14,Chitradurga,198.0,5132.0,14.0,3629.0,1470.0,0.0,33.0,0.0
sep15,Chitradurga,127.0,5259.0,53.0,3682.0,1544.0,0.0,33.0,0.0
sep16,Chitradurga,227.0,5486.0,0.0,3682.0,1771.0,0.0,33.0,0.0
sep17,Chitradurga,152.0,5638.0,0.0,3682.0,1923.0,0.0,33.0,0.0
sep18,Chitradurga,141.0,5779.0,184.0,3866.0,1880.0,0.0,33.0,0.0
