date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Dakshina Kannada,84.0,825.0,17.0,402.0,408.0,,13.0,2.0
july02,Dakshina Kannada,90.0,915.0,34.0,436.0,461.0,,16.0,2.0
july03,Dakshina Kannada,97.0,1012.0,51.0,487.0,507.0,,16.0,2.0
july04,Dakshina Kannada,75.0,1087.0,26.0,513.0,552.0,,20.0,2.0
july05,Dakshina Kannada,147.0,1234.0,36.0,549.0,663.0,,20.0,2.0
july06,Dakshina Kannada,34.0,1268.0,75.0,624.0,620.0,,22.0,2.0
july07,Dakshina Kannada,83.0,1351.0,26.0,650.0,677.0,,22.0,2.0
july08,Dakshina Kannada,183.0,1534.0,0.0,650.0,859.0,,23.0,2.0
july10,Dakshina Kannada,139.0,1840.0,46.0,732.0,1075.0,,31.0,2.0
july11,Dakshina Kannada,186.0,2026.0,14.0,746.0,1242.0,,36.0,2.0
july12,"DakshinaKannada",196.0,2222.0,14.0,760.0,1419.0,5.0,41.0,2.0
july13,"DakshinaKannada",131.0,2353.0,61.0,821.0,1489.0,0.0,41.0,2.0
july14,"DakshinaKannada",91.0,2444.0,65.0,886.0,1511.0,4.0,45.0,2.0
july15,"DakshinaKannada",76.0,2520.0,21.0,907.0,1566.0,0.0,45.0,2.0
july16,"DakshinaKannada",238.0,2758.0,39.0,946.0,1758.0,7.0,52.0,2.0
july17,"DakshinaKannada",39.0,2797.0,92.0,1038.0,1704.0,1.0,53.0,2.0
july19,"DakshinaKannada",285.0,3591.0,90.0,1151.0,2377.0,1.0,61.0,2.0
july20,Dakshina Kannada,89.0,3680.0,0.0,1151.0,2459.0,7.0,68.0,2.0
july21,"DakshinaKannada",149.0,3829.0,29.0,1180.0,2574.0,5.0,73.0,2.0
july22,Dakshina Kannada,162.0,3991.0,51.0,1231.0,2682.0,3.0,76.0,2.0
july23,Dakshina Kannada,218.0,4209.0,301.0,1532.0,2592.0,7.0,83.0,2.0
july24,Dakshina Kannada,180.0,4389.0,239.0,1771.0,2527.0,6.0,89.0,2.0
july25,Dakshina Kannada,218.0,4607.0,140.0,1911.0,2597.0,8.0,97.0,2.0
july26,Dakshina Kannada,199.0,4806.0,147.0,2058.0,2642.0,7.0,104.0,2.0
july27,Dakshina Kannada,119.0,4925.0,80.0,2138.0,2672.0,9.0,113.0,2.0
july28,Dakshina Kannada,173.0,5098.0,200.0,2338.0,2642.0,3.0,116.0,2.0
july29,Dakshina Kannada,208.0,5306.0,118.0,2456.0,2725.0,7.0,123.0,2.0
july30,Dakshina Kannada,198.0,5504.0,105.0,2561.0,2811.0,7.0,130.0,2.0
july31,Dakshina Kannada,204.0,5708.0,70.0,2626.0,2940.0,10.0,140.0,2.0
aug01,Dakshina Kannada,139.0,5847.0,54.0,2680.0,3017.0,8.0,148.0,2.0
aug02,Dakshina Kannada,163.0,6010.0,45.0,2725.0,3125.0,10.0,158.0,2.0
aug03,Dakshina Kannada,153.0,6163.0,124.0,2849.0,3147.0,7.0,165.0,2.0
aug04,Dakshina Kannada,225.0,6388.0,73.0,2918.0,3290.0,13.0,178.0,2.0
aug05,Dakshina Kannada,149.0,6537.0,82.0,3000.0,3347.0,10.0,188.0,2.0
aug06,Dakshina Kannada,173.0,6710.0,107.0,3107.0,3402.0,11.0,199.0,2.0
aug07,Dakshina Kannada,166.0,6876.0,188.0,3295.0,3373.0,7.0,206.0,2.0
aug08,Dakshina Kannada,194.0,7070.0,183.0,3478.0,3378.0,6.0,212.0,2.0
aug09,Dakshina Kannada,132.0,7202.0,195.0,3673.0,3309.0,6.0,218.0,2.0
aug10,"DakshinaKannada",146.0,7348.0,533.0,4206.0,2914.0,8.0,226.0,2.0
aug11,Dakshina Kannada,243.0,7591.0,519.0,4725.0,2629.0,9.0,235.0,2.0
aug12,Dakshina Kannada,229.0,7820.0,498.0,5223.0,2353.0,7.0,242.0,2.0
aug13,Dakshina Kannada,246.0,8066.0,641.0,5864.0,1952.0,6.0,248.0,2.0
aug14,Dakshina Kannada,307.0,8373.0,242.0,6106.0,2011.0,6.0,254.0,2.0
aug15,Dakshina Kannada,271.0,8644.0,202.0,6308.0,2074.0,6.0,260.0,2.0
aug16,Dakshina Kannada,229.0,8873.0,128.0,6436.0,2168.0,7.0,267.0,2.0
aug17,Dakshina Kannada,144.0,9017.0,209.0,6645.0,2095.0,8.0,275.0,2.0
aug18,Dakshina Kannada,279.0,9296.0,173.0,6818.0,2192.0,9.0,284.0,2.0
aug19,Dakshina Kannada,234.0,9530.0,115.0,6933.0,2307.0,4.0,288.0,2.0
aug20,Dakshina Kannada,177.0,9707.0,187.0,7120.0,2291.0,6.0,294.0,2.0
aug21,Dakshina Kannada,202.0,9909.0,64.0,7184.0,2424.0,5.0,299.0,2.0
aug22,Dakshina Kannada,228.0,10137.0,320.0,7504.0,2328.0,4.0,303.0,2.0
aug23,Dakshina Kannada,193.0,10330.0,164.0,7668.0,2352.0,5.0,308.0,2.0
aug24,Dakshina Kannada,201.0,10531.0,241.0,7909.0,2306.0,6.0,314.0,2.0
aug25,Dakshina Kannada,247,10778.0,218.0,8127.0,2332.0,3.0,317.0,2.0
aug26,Dakshina Kannada,314.0,11092.0,296.0,8423.0,2339.0,11.0,328.0,2.0
aug27,Dakshina Kannada,297.0,11389.0,257.0,8680.0,2372.0,7.0,335.0,2.0
aug28,Dakshina Kannada,448.0,11837.0,293.0,8973.0,2521.0,6.0,341.0,2.0
aug29,Dakshina Kannada,272.0,12109.0,236.0,9209.0,2550.0,7.0,348.0,2.0
aug30,Dakshina Kannada,334.0,12443.0,213.0,9422.0,2665.0,6.0,354.0,2.0
aug31,Dakshina Kannada,270.0,12713.0,367.0,9789.0,2556.0,12.0,366.0,2.0
sep01,Dakshina Kannada,352.0,13065.0,363.0,10152.0,2538.0,7.0,373.0,2.0
sep02,Dakshina Kannada,414.0,13479.0,346.0,10498.0,2600.0,6.0,379.0,2.0
