date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Davanagere,16.0,325.0,1.0,266.0,51.0,,8.0,0.0
july02,Davanagere,8.0,333.0,6.0,272.0,53.0,,8.0,0.0
july03,Davanagere,5.0,338.0,13.0,285.0,44.0,,9.0,0.0
july04,Davanagere,7.0,345.0,9.0,294.0,42.0,,9.0,0.0
july05,Davanagere,11.0,356.0,7.0,301.0,44.0,,11.0,0.0
july06,Davanagere,3.0,359.0,10.0,311.0,36.0,,12.0,0.0
july07,Davanagere,6.0,365.0,0.0,311.0,41.0,,13.0,0.0
july08,Davanagere,18.0,383.0,13.0,324.0,46.0,,13.0,0.0
july10,Davanagere,21.0,444.0,11.0,339.0,91.0,,14.0,0.0
july11,Davanagere,72.0,516.0,5.0,344.0,155.0,,17.0,0.0
july12,Davanagere,20.0,536.0,66.0,410.0,106.0,3.0,20.0,0.0
july13,Davanagere,45.0,581.0,21.0,431.0,129.0,1.0,21.0,0.0
july14,Davanagere,17.0,598.0,37.0,468.0,108.0,1.0,22.0,0.0
july15,Davanagere,35.0,633.0,15.0,483.0,128.0,0.0,22.0,0.0
july16,Davanagere,25.0,658.0,11.0,494.0,142.0,0.0,22.0,0.0
july17,Davanagere,31.0,689.0,50.0,544.0,121.0,2.0,24.0,0.0
july19,Davanagere,62.0,807.0,11.0,571.0,207.0,2.0,29.0,0.0
july20,Davanagere,73.0,880.0,0.0,571.0,279.0,1.0,30.0,0.0
july21,Davanagere,95.0,975.0,70.0,641.0,304.0,0.0,30.0,0.0
july22,Davanagere,96.0,1071.0,0.0,641.0,400.0,0.0,30.0,0.0
july23,Davanagere,107.0,1178.0,26.0,667.0,481.0,0.0,30.0,0.0
july24,Davanagere,77.0,1255.0,84.0,751.0,472.0,2.0,32.0,0.0
july25,Davanagere,79.0,1334.0,59.0,810.0,491.0,1.0,33.0,0.0
july26,Davanagere,89.0,1423.0,57.0,867.0,520.0,3.0,36.0,0.0
july27,Davanagere,110.0,1533.0,60.0,927.0,569.0,1.0,37.0,0.0
july28,Davanagere,135.0,1668.0,36.0,963.0,664.0,4.0,41.0,0.0
july29,Davanagere,225.0,1893.0,18.0,981.0,867.0,4.0,45.0,0.0
july30,Davanagere,86.0,1979.0,85.0,1066.0,867.0,1.0,46.0,0.0
july31,Davanagere,122.0,2101.0,136.0,1202.0,851.0,2.0,48.0,0.0
aug01,Davanagere,108.0,2209.0,188.0,1390.0,767.0,4.0,52.0,0.0
aug02,Davanagere,178.0,2387.0,89.0,1479.0,853.0,3.0,55.0,0.0
aug03,Davanagere,41.0,2428.0,82.0,1561.0,810.0,2.0,57.0,0.0
aug04,Davanagere,191.0,2619.0,93.0,1654.0,903.0,5.0,62.0,0.0
aug05,Davanagere,224.0,2843.0,91.0,1745.0,1030.0,6.0,68.0,0.0
aug06,Davanagere,197.0,3040.0,97.0,1842.0,1122.0,8.0,76.0,0.0
aug07,Davanagere,111.0,3151.0,206.0,2048.0,1025.0,2.0,78.0,0.0
aug08,Davanagere,132.0,3283.0,61.0,2109.0,1094.0,2.0,80.0,0.0
aug09,Davanagere,158.0,3441.0,117.0,2226.0,1126.0,9.0,89.0,0.0
aug10,Davanagere,225.0,3666.0,106.0,2332.0,1234.0,11.0,100.0,0.0
aug11,Davanagere,172.0,3838.0,145.0,2477.0,1257.0,4.0,104.0,0.0
aug12,Davanagere,239.0,4077.0,170.0,2647.0,1320.0,6.0,110.0,0.0
aug13,Davanagere,328.0,4405.0,224.0,2871.0,1421.0,3.0,113.0,0.0
aug14,Davanagere,351.0,4756.0,282.0,3153.0,1483.0,7.0,120.0,0.0
aug15,Davanagere,327.0,5083.0,267.0,3420.0,1538.0,5.0,125.0,0.0
aug16,Davanagere,218.0,5301.0,109.0,3529.0,1644.0,3.0,128.0,0.0
aug17,Davanagere,165.0,5466.0,212.0,3741.0,1597.0,0.0,128.0,0.0
aug18,Davanagere,332.0,5798.0,42.0,3783.0,1886.0,1.0,129.0,0.0
aug19,Davanagere,228.0,6026.0,66.0,3849.0,2041.0,7.0,136.0,0.0
aug20,Davanagere,245.0,6271.0,381.0,4230.0,1900.0,5.0,141.0,0.0
aug21,Davanagere,237.0,6508.0,158.0,4388.0,1972.0,7.0,148.0,0.0
aug22,Davanagere,277.0,6785.0,349.0,4737.0,1895.0,5.0,153.0,0.0
aug23,Davanagere,265.0,7050.0,178.0,4915.0,1980.0,2.0,155.0,0.0
aug24,Davanagere,167.0,7217.0,115.0,5030.0,2025.0,7.0,162.0,0.0
aug25,Davanagere,318,7535.0,600.0,5630.0,1738.0,5.0,167.0,0.0
aug26,Davanagere,233.0,7768.0,162.0,5792.0,1804.0,5.0,172.0,0.0
aug27,Davanagere,391.0,8159.0,236.0,6028.0,1959.0,0.0,172.0,0.0
aug28,Davanagere,379.0,8538.0,208.0,6236.0,2124.0,6.0,178.0,0.0
aug29,Davanagere,319.0,8857.0,228.0,6464.0,2212.0,3.0,181.0,0.0
aug30,Davanagere,373.0,9230.0,168.0,6632.0,2413.0,4.0,185.0,0.0
aug31,Davanagere,257.0,9487.0,371.0,7003.0,2293.0,6.0,191.0,0.0
sep01,Davanagere,289.0,9776.0,362.0,7365.0,2216.0,4.0,195.0,0.0
sep02,Davanagere,321.0,10097.0,119.0,7484.0,2417.0,1.0,196.0,0.0
sep03,Davanagere,222.0,10319.0,139.0,7623.0,2500.0,0.0,196.0,0.0
sep04,Davanagere,263.0,10582.0,125.0,7748.0,2628.0,10.0,206.0,0.0
sep06,Davanagere,221.0,11198.0,207.0,8193.0,2792.0,0.0,213.0,0.0
sep07,Davanagere,199.0,11397.0,173.0,8366.0,2815.0,3.0,216.0,0.0
sep08,Davanagere,240.0,11637.0,198.0,8564.0,2855.0,2.0,218.0,0.0
sep09,Davanagere,255,11892.0,405.0,8969.0,2703.0,2.0,220.0,0.0
sep10,Davanagere,297,12189.0,244.0,9213.0,2753.0,3.0,223.0,0.0
sep11,Davanagere,297.0,12486.0,274.0,9487.0,2775.0,1.0,224.0,0.0
sep12,Davanagere,267.0,12753.0,484.0,9971.0,2557.0,1.0,225.0,0.0
sep13,Davanagere,144.0,12897.0,322.0,10293.0,2378.0,1.0,226.0,0.0
