date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Dharwada,35.0,380.0,0.0,180.0,192.0,,8.0,0.0
july02,Dharwada,47.0,427.0,0.0,180.0,239.0,,8.0,0.0
july03,Dharwada,38.0,465.0,20.0,200.0,257.0,,8.0,0.0
july04,Dharwada,45.0,510.0,9.0,209.0,290.0,,11.0,0.0
july05,Dharwada,45.0,555.0,22.0,231.0,312.0,,12.0,0.0
july06,Dharwada,56.0,611.0,22.0,253.0,346.0,,12.0,0.0
july07,Dharwada,57.0,668.0,0.0,253.0,402.0,,13.0,0.0
july08,Dharwada,89.0,757.0,23.0,276.0,461.0,,20.0,0.0
july10,Dharwada,50.0,882.0,13.0,306.0,547.0,,29.0,0.0
july11,Dharwada,77.0,959.0,12.0,318.0,609.0,,32.0,0.0
july12,Dharwada,129.0,1088.0,64.0,382.0,673.0,1.0,33.0,0.0
july13,Dharwada,71.0,1159.0,36.0,418.0,703.0,5.0,38.0,0.0
july14,Dharwada,100.0,1259.0,32.0,450.0,770.0,1.0,39.0,0.0
july15,Dharwada,139.0,1398.0,32.0,482.0,872.0,5.0,44.0,0.0
july16,Dharwada,176.0,1574.0,42.0,524.0,1006.0,0.0,44.0,0.0
july17,Dharwada,157.0,1731.0,69.0,593.0,1086.0,8.0,52.0,0.0
july19,Dharwada,126.0,2043.0,34.0,677.0,1304.0,4.0,62.0,0.0
july20,Dharwada,200.0,2243.0,33.0,710.0,1465.0,6.0,68.0,0.0
july21,Dharwada,84.0,2327.0,0.0,710.0,1544.0,5.0,73.0,0.0
july22,Dharwada,158.0,2485.0,135.0,845.0,1562.0,5.0,78.0,0.0
july23,Dharwada,183.0,2668.0,76.0,921.0,1667.0,2.0,80.0,0.0
july24,Dharwada,174.0,2842.0,52.0,973.0,1784.0,5.0,85.0,0.0
july25,Dharwada,183.0,3025.0,193.0,1166.0,1770.0,4.0,89.0,0.0
july26,Dharwada,165.0,3190.0,56.0,1222.0,1873.0,6.0,95.0,0.0
july27,Dharwada,193.0,3383.0,55.0,1277.0,2003.0,8.0,103.0,0.0
july28,Dharwada,173.0,3556.0,56.0,1333.0,2114.0,6.0,109.0,0.0
july29,Dharwada,175.0,3731.0,180.0,1513.0,2102.0,7.0,116.0,0.0
july30,Dharwada,180.0,3911.0,152.0,1665.0,2122.0,8.0,124.0,0.0
july31,Dharwada,180.0,4091.0,64.0,1729.0,2231.0,7.0,131.0,0.0
aug01,Dharwada,184.0,4275.0,50.0,1779.0,2357.0,8.0,139.0,0.0
aug02,Dharwada,181.0,4456.0,67.0,1846.0,2463.0,8.0,147.0,0.0
aug03,Dharwada,191.0,4647.0,88.0,1934.0,2558.0,8.0,155.0,0.0
aug04,Dharwada,188.0,4835.0,293.0,2226.0,2446.0,8.0,163.0,0.0
aug05,Dharawada,199.0,5034.0,279.0,2505.0,2365.0,1.0,164.0,0.0
aug06,Dharawada,212.0,5246.0,341.0,2846.0,2228.0,8.0,172.0,0.0
aug07,Dharawada,266.0,5512.0,121.0,2967.0,2364.0,9.0,181.0,0.0
aug08,Dharawada,261.0,5773.0,183.0,3150.0,2436.0,6.0,187.0,0.0
aug09,Dharawada,196.0,5969.0,91.0,3241.0,2535.0,6.0,193.0,0.0
aug10,Dharawada,157.0,6126.0,275.0,3516.0,2413.0,4.0,197.0,0.0
aug11,Dharwada,276.0,6402.0,436.0,3952.0,2244.0,9.0,206.0,0.0
aug12,Dharawada,269.0,6671.0,234.0,4186.0,2277.0,2.0,208.0,0.0
aug13,Dharwada,257.0,6928.0,139.0,4325.0,2389.0,6.0,214.0,0.0
aug14,Dharwada,219.0,7147.0,199.0,4524.0,2401.0,8.0,222.0,0.0
aug15,Dharwada,239.0,7386.0,110.0,4634.0,2523.0,7.0,229.0,0.0
aug16,Dharwada,268.0,7654.0,200.0,4834.0,2586.0,5.0,234.0,0.0
aug17,Dharwada,201.0,7855.0,180.0,5014.0,2602.0,5.0,239.0,0.0
aug18,Dharwada,279.0,8134.0,351.0,5365.0,2520.0,10.0,249.0,0.0
aug19,Dharwada,253.0,8387.0,351.0,5716.0,2413.0,9.0,258.0,0.0
aug20,Dharwada,159.0,8546.0,330.0,6046.0,2242.0,0.0,258.0,0.0
aug21,Dharwada,252.0,8798.0,216.0,6262.0,2275.0,3.0,261.0,0.0
aug22,Dharwada,253.0,9051.0,93.0,6355.0,2428.0,7.0,268.0,0.0
aug23,Dharwada,194.0,9245.0,170.0,6525.0,2449.0,3.0,271.0,0.0
aug24,Dharwada,221.0,9466.0,233.0,6758.0,2435.0,2.0,273.0,0.0
aug25,Dharwada,204,9670.0,213.0,6971.0,2418.0,8.0,281.0,0.0
aug26,Dharwada,255.0,9925.0,135.0,7106.0,2530.0,8.0,289.0,0.0
aug27,Dharwada,234.0,10159.0,130.0,7236.0,2634.0,0.0,289.0,0.0
aug28,Dharwada,299.0,10458.0,565.0,7801.0,2359.0,9.0,298.0,0.0
aug29,Dharwada,290.0,10748.0,319.0,8120.0,2321.0,9.0,307.0,0.0
aug30,Dharwada,300.0,11048.0,249.0,8369.0,2363.0,9.0,316.0,0.0
aug31,Dharwada,279.0,11327.0,296.0,8665.0,2337.0,9.0,325.0,0.0
sep01,Dharwada,199.0,11526.0,235.0,8900.0,2299.0,2.0,327.0,0.0
sep02,Dharwada,327.0,11853.0,119.0,9019.0,2497.0,10.0,337.0,0.0
sep03,Dharwada,342.0,12195.0,203.0,9222.0,2627.0,9.0,346.0,0.0
sep04,Dharwada,297.0,12492.0,156.0,9378.0,2758.0,10.0,356.0,0.0
sep06,Dharwada,311.0,13030.0,252.0,9927.0,2733.0,6.0,370.0,0.0
sep07,Dharwada,29.0,13059.0,283.0,10210.0,2469.0,10.0,380.0,0.0
sep08,Dharwada,318.0,13377.0,274.0,10484.0,2505.0,8.0,388.0,0.0
sep09,Dharwada,226,13603.0,312.0,10796.0,2418.0,1.0,389.0,0.0
sep10,Dharwada,264,13867.0,217.0,11013.0,2457.0,8.0,397.0,0.0
sep11,Dharwada,203.0,14070.0,266.0,11279.0,2385.0,9.0,406.0,0.0
sep12,Dharwada,239.0,14309.0,266.0,11545.0,2349.0,9.0,415.0,0.0
sep13,Dharwada,199.0,14508.0,159.0,11704.0,2382.0,7.0,422.0,0.0
sep14,Dharwada,117.0,14625.0,248.0,11952.0,2242.0,9.0,431.0,0.0
sep15,Dharwada,56.0,14681.0,0.0,11952.0,2298.0,0.0,431.0,0.0
sep16,Dharwada,246.0,14927.0,0.0,11952.0,2542.0,0.0,433.0,0.0
sep17,Dharwada,247.0,15174.0,496.0,12448.0,2287.0,6.0,439.0,0.0
sep18,Dharwada,135.0,15309.0,134.0,12582.0,2279.0,9.0,448.0,0.0
sep19,Dharwada,264.0,15573.0,277.0,12859.0,2261.0,5.0,453.0,0.0
sep20,Dharwada,305.0,15878.0,216.0,13075.0,2344.0,6.0,459.0,0.0
sep21,Dharwada,130.0,16008.0,237.0,13312.0,2230.0,7.0,466.0,0.0
sep22,Dharwada,37.0,16045.0,0.0,13312.0,2267.0,0.0,466.0,0.0
sep23,Dharwada,120.0,16165.0,0.0,13312.0,2387.0,0.0,466.0,0.0
sep24,Dharwada,264.0,16429.0,203.0,13515.0,2444.0,4.0,470.0,0.0
sep25,Dharwada,256.0,16685.0,214.0,13729.0,2481.0,5.0,475.0,0.0
sep26,Dharwada,232.0,16917.0,118.0,13847.0,2591.0,4.0,479.0,0.0
sep27,Dharwada,139.0,17056.0,171.0,14018.0,2557.0,2.0,481.0,0.0
sep28,Dharwada,145.0,17201.0,236.0,14254.0,2465.0,1.0,482.0,0.0
sep29,Dharwada,145.0,17346.0,123.0,14377.0,2483.0,4.0,486.0,0.0
