date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Gadag,2.0,178.0,7.0,60.0,115.0,,3.0,0.0
july02,Gadag,2.0,180.0,9.0,69.0,107.0,,4.0,0.0
july03,Gadag,19.0,199.0,12.0,81.0,114.0,,4.0,0.0
july04,Gadag,4.0,203.0,3.0,84.0,115.0,,4.0,0.0
july05,Gadag,7.0,210.0,0.0,84.0,122.0,,4.0,0.0
july06,Gadag,18.0,228.0,44.0,128.0,96.0,,4.0,0.0
july07,Gadag,4.0,232.0,9.0,137.0,91.0,,4.0,0.0
july08,Gadag,5.0,237.0,26.0,163.0,70.0,,4.0,0.0
july10,Gadag,19.0,262.0,0.0,163.0,93.0,,6.0,0.0
july11,Gadag,40.0,302.0,0.0,163.0,130.0,,9.0,0.0
july12,Gadag,14.0,316.0,10.0,173.0,134.0,0.0,9.0,0.0
july13,Gadag,6.0,322.0,5.0,178.0,134.0,1.0,10.0,0.0
july14,Gadag,9.0,331.0,0.0,178.0,143.0,0.0,10.0,0.0
july15,Gadag,39.0,370.0,16.0,194.0,167.0,0.0,9.0,0.0
july16,Gadag,44.0,414.0,14.0,208.0,197.0,0.0,9.0,0.0
july17,Gadag,59.0,473.0,2.0,210.0,253.0,1.0,10.0,0.0
july19,Gadag,30.0,585.0,6.0,226.0,345.0,4.0,14.0,0.0
july20,Gadag,31.0,616.0,0.0,226.0,376.0,0.0,14.0,0.0
july21,Gadag,15.0,631.0,21.0,247.0,369.0,1.0,15.0,0.0
july22,Gadag,71.0,702.0,39.0,286.0,401.0,0.0,15.0,0.0
july23,Gadag,72.0,774.0,3.0,289.0,468.0,2.0,17.0,0.0
july24,Gadag,108.0,882.0,11.0,300.0,563.0,2.0,19.0,0.0
july25,Gadag,61.0,943.0,28.0,328.0,595.0,1.0,20.0,0.0
july26,Gadag,61.0,1004.0,26.0,354.0,628.0,2.0,22.0,0.0
july27,Gadag,63.0,1067.0,28.0,382.0,662.0,1.0,23.0,0.0
july28,Gadag,73.0,1140.0,56.0,438.0,677.0,2.0,25.0,0.0
july29,Gadag,61.0,1201.0,10.0,448.0,725.0,3.0,28.0,0.0
july30,Gadag,88.0,1289.0,19.0,467.0,793.0,1.0,29.0,0.0
july31,Gadag,92.0,1381.0,24.0,490.0,859.0,3.0,32.0,0.0
aug01,Gadag,99.0,1480.0,43.0,533.0,913.0,2.0,34.0,0.0
aug02,Gadag,88.0,1568.0,6.0,539.0,992.0,3.0,37.0,0.0
aug03,Gadag,100.0,1668.0,40.0,578.0,1051.0,2.0,39.0,0.0
aug04,Gadag,96.0,1764.0,55.0,633.0,1091.0,1.0,40.0,0.0
aug05,Gadaga,78.0,1842.0,108.0,741.0,1060.0,1.0,41.0,0.0
aug06,Gadag,124.0,1966.0,152.0,893.0,1030.0,2.0,43.0,0.0
aug07,Gadaga,105.0,2071.0,75.0,968.0,1058.0,2.0,45.0,0.0
aug08,Gadaga,94.0,2165.0,78.0,1046.0,1073.0,1.0,46.0,0.0
aug09,Gadaga,114.0,2279.0,86.0,1132.0,1100.0,1.0,47.0,0.0
aug10,Gadaga,42.0,2321.0,100.0,1232.0,1040.0,2.0,49.0,0.0
aug11,Gadag,78.0,2399.0,89.0,1321.0,1027.0,2.0,51.0,0.0
aug12,Gadaga,148.0,2547.0,75.0,1396.0,1099.0,1.0,52.0,0.0
aug13,Gadag,98.0,2645.0,50.0,1446.0,1147.0,0.0,52.0,0.0
aug14,Gadag,190.0,2835.0,211.0,1657.0,1125.0,1.0,53.0,0.0
aug15,Gadag,142.0,2977.0,101.0,1758.0,1164.0,2.0,55.0,0.0
aug16,Gadaga,79.0,3056.0,70.0,1828.0,1171.0,2.0,57.0,0.0
aug17,Gadag,99.0,3155.0,104.0,1932.0,1166.0,0.0,57.0,0.0
aug18,Gadag,186.0,3341.0,206.0,2138.0,1144.0,2.0,59.0,0.0
aug19,Gadag,149.0,3490.0,167.0,2305.0,1124.0,2.0,61.0,0.0
aug20,Gadag,114.0,3604.0,151.0,2456.0,1086.0,1.0,62.0,0.0
aug21,Gadag,174.0,3778.0,179.0,2635.0,1080.0,1.0,63.0,0.0
aug22,Gadag,116.0,3894.0,121.0,2756.0,1073.0,2.0,65.0,0.0
aug23,Gadag,182.0,4076.0,100.0,2856.0,1155.0,0.0,65.0,0.0
aug24,Gadag,141.0,4217.0,102.0,2958.0,1193.0,1.0,66.0,0.0
aug25,Gadag,175,4392.0,164.0,3122.0,1203.0,1.0,67.0,0.0
aug26,Gadag,124.0,4516.0,111.0,3233.0,1214.0,2.0,69.0,0.0
aug27,Gadag,110.0,4626.0,78.0,3311.0,1244.0,2.0,71.0,0.0
aug28,Gadag,169.0,4795.0,68.0,3379.0,1342.0,3.0,74.0,0.0
aug29,Gadag,181.0,4976.0,131.0,3510.0,1391.0,1.0,75.0,0.0
aug30,Gadag,196.0,5172.0,134.0,3644.0,1450.0,3.0,78.0,0.0
aug31,Gadag,178.0,5350.0,100.0,3744.0,1527.0,1.0,79.0,0.0
sep01,Gadag,194.0,5544.0,73.0,3817.0,1646.0,2.0,81.0,0.0
sep02,Gadag,195.0,5739.0,192.0,4009.0,1646.0,3.0,84.0,0.0
sep03,Gadag,183.0,5922.0,150.0,4159.0,1676.0,3.0,87.0,0.0
sep04,Gadag,186.0,6108.0,165.0,4324.0,1695.0,2.0,89.0,0.0
sep06,Gadag,194.0,6497.0,181.0,4704.0,1699.0,2.0,94.0,0.0
sep07,Gadag,87.0,6584.0,198.0,4903.0,1585.0,2.0,96.0,0.0
sep08,Gadag,196.0,6780.0,130.0,5033.0,1649.0,2.0,98.0,0.0
sep09,Gadag,155,6935.0,155.0,5188.0,1647.0,2.0,100.0,0.0
sep10,Gadag,180,7115.0,153.0,5341.0,1672.0,2.0,102.0,0.0
sep11,Gadag,195.0,7310.0,530.0,5871.0,1335.0,2.0,104.0,0.0
sep12,Gadag,49.0,7359.0,206.0,6077.0,1177.0,1.0,105.0,0.0
sep13,Gadag,198.0,7557.0,192.0,6269.0,1181.0,2.0,107.0,0.0
sep14,Gadag,96.0,7653.0,184.0,6453.0,1091.0,2.0,109.0,0.0
sep15,Gadag,39.0,7692.0,129.0,6582.0,999.0,2.0,111.0,0.0
sep16,Gadag,108.0,7800.0,0.0,6582.0,1107.0,0.0,111.0,0.0
sep17,Gadag,69.0,7869.0,193.0,6775.0,981.0,2.0,113.0,0.0
sep18,Gadag,31.0,7900.0,182.0,6957.0,828.0,2.0,115.0,0.0
sep19,Gadag,391.0,8291.0,259.0,7216.0,960.0,0.0,115.0,0.0
sep20,Gadag,75.0,8366.0,150.0,7366.0,881.0,4.0,119.0,0.0
sep21,Gadag,81.0,8447.0,112.0,7478.0,846.0,4.0,123.0,0.0
sep22,Gadag,134.0,8581.0,92.0,7570.0,886.0,2.0,125.0,0.0
sep23,Gadag,59.0,8640.0,125.0,7695.0,820.0,0.0,125.0,0.0
sep24,Gadag,54.0,8694.0,63.0,7758.0,811.0,0.0,125.0,0.0
sep25,Gadag,78.0,8772.0,82.0,7840.0,805.0,2.0,127.0,0.0
sep26,Gadag,44.0,8816.0,95.0,7935.0,753.0,1.0,128.0,0.0
sep27,Gadag,61.0,8877.0,119.0,8054.0,694.0,1.0,129.0,0.0
sep28,Gadag,61.0,8938.0,142.0,8196.0,613.0,0.0,129.0,0.0
sep29,Gadag,111.0,9049.0,95.0,8291.0,628.0,1.0,130.0,0.0
sep30,Gadag,67.0,9116.0,112.0,8403.0,582.0,1.0,131.0,0.0
oct01,Gadag,146,9262.0,94.0,8497.0,634.0,0.0,131.0,0.0
oct02,Gadag,80,9342.0,59.0,8556.0,655.0,0.0,131.0,0.0
oct03,Gadag,32,9374.0,70.0,8626.0,616.0,1.0,132.0,0.0
oct04,Gadag,110,9484.0,75.0,8701.0,651.0,0.0,132.0,0.0
oct05,Gadag,51,9535.0,73.0,8774.0,627.0,2.0,134.0,0.0
