date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Hassana,28.0,425.0,0.0,244.0,177.0,,4.0,0.0
july02,Hassana,15.0,440.0,0.0,244.0,191.0,,5.0,0.0
july03,Hassana,13.0,453.0,9.0,253.0,194.0,,6.0,0.0
july04,Hassana,25.0,478.0,0.0,253.0,218.0,,7.0,0.0
july05,Hassana,14.0,492.0,0.0,253.0,231.0,,8.0,0.0
july06,Hassana,49.0,541.0,0.0,253.0,279.0,,9.0,0.0
july07,Hassana,26.0,567.0,20.0,273.0,284.0,,10.0,0.0
july08,Hassana,26.0,593.0,97.0,370.0,210.0,,13.0,0.0
july10,Hassana,6.0,620.0,0.0,386.0,219.0,,15.0,0.0
july11,Hassana,34.0,654.0,0.0,386.0,251.0,,17.0,0.0
july12,Hassana,31.0,685.0,34.0,420.0,245.0,3.0,20.0,0.0
july13,Hassana,25.0,710.0,0.0,420.0,269.0,1.0,21.0,0.0
july14,Hassana,4.0,714.0,17.0,437.0,255.0,1.0,22.0,0.0
july15,Hassana,25.0,739.0,14.0,451.0,266.0,0.0,22.0,0.0
july16,Hassana,31.0,770.0,29.0,480.0,266.0,2.0,24.0,0.0
july17,Hassana,21.0,791.0,14.0,494.0,273.0,0.0,24.0,0.0
july19,Hassana,43.0,885.0,10.0,550.0,309.0,2.0,26.0,0.0
july20,Hassana,67.0,952.0,17.0,567.0,358.0,1.0,27.0,0.0
july21,Hassana,107.0,1059.0,15.0,582.0,447.0,3.0,30.0,0.0
july22,Hassana,72.0,1131.0,27.0,609.0,489.0,3.0,33.0,0.0
july23,Hassan,108.0,1239.0,24.0,633.0,571.0,2.0,35.0,0.0
july24,Hassana,118.0,1357.0,66.0,699.0,621.0,2.0,37.0,0.0
july25,Hassana,151.0,1508.0,54.0,753.0,716.0,2.0,39.0,0.0
july26,Hassana,164.0,1672.0,0.0,753.0,877.0,3.0,42.0,0.0
july27,Hassana,66.0,1738.0,58.0,811.0,884.0,1.0,43.0,0.0
july28,Hassana,108.0,1846.0,33.0,844.0,954.0,5.0,48.0,0.0
july29,Hassana,95.0,1941.0,0.0,844.0,1045.0,4.0,52.0,0.0
july30,Hassana,94.0,2035.0,21.0,865.0,1112.0,6.0,58.0,0.0
july31,Hassana,100.0,2135.0,20.0,884.0,1192.0,1.0,59.0,0.0
aug01,Hassana,146.0,2281.0,0.0,884.0,1336.0,2.0,61.0,0.0
aug02,Hassana,142.0,2423.0,135.0,1019.0,1341.0,2.0,63.0,0.0
aug03,Hassana,131.0,2554.0,0.0,1019.0,1467.0,5.0,68.0,0.0
aug04,Hassana,188.0,2742.0,44.0,1063.0,1609.0,2.0,70.0,0.0
aug05,Hassana,137.0,2879.0,82.0,1145.0,1662.0,2.0,72.0,0.0
aug06,Hassana,158.0,3037.0,15.0,1160.0,1801.0,4.0,76.0,0.0
aug07,Hassana,138.0,3175.0,11.0,1171.0,1919.0,9.0,85.0,0.0
aug08,Hassana,133.0,3308.0,0.0,1171.0,2046.0,6.0,91.0,0.0
aug09,Hassana,168.0,3476.0,52.0,1223.0,2155.0,7.0,98.0,0.0
aug10,Hassana,126.0,3602.0,86.0,1309.0,2189.0,6.0,104.0,0.0
aug11,Hassana,146.0,3748.0,136.0,1445.0,2196.0,3.0,107.0,0.0
aug12,Hassana,258.0,4006.0,160.0,1605.0,2288.0,6.0,113.0,0.0
aug13,Hassana,129.0,4135.0,572.0,2177.0,1843.0,2.0,115.0,0.0
aug14,Hassana,158.0,4293.0,139.0,2316.0,1860.0,2.0,117.0,0.0
aug15,Hassana,154.0,4447.0,124.0,2440.0,1886.0,4.0,121.0,0.0
aug16,Hassana,145.0,4592.0,309.0,2749.0,1720.0,2.0,123.0,0.0
aug17,Hassana,250.0,4842.0,276.0,3025.0,1685.0,9.0,132.0,0.0
aug18,Hassana,177.0,5019.0,129.0,3154.0,1726.0,7.0,139.0,0.0
aug19,Hassana,228.0,5247.0,148.0,3302.0,1806.0,0.0,139.0,0.0
aug20,Hassana,196.0,5443.0,117.0,3419.0,1878.0,7.0,146.0,0.0
aug21,Hassana,144.0,5587.0,140.0,3559.0,1880.0,2.0,148.0,0.0
aug22,Hassana,209.0,5796.0,245.0,3804.0,1843.0,1.0,149.0,0.0
aug23,Hassana,196.0,5992.0,128.0,3932.0,1908.0,3.0,152.0,0.0
aug24,Hassana,200.0,6192.0,151.0,4083.0,1951.0,6.0,158.0,0.0
aug25,Hassana,205,6397.0,144.0,4227.0,2010.0,2.0,160.0,0.0
aug26,Hassana,154.0,6551.0,141.0,4368.0,2019.0,4.0,164.0,0.0
aug27,Hassana,334.0,6885.0,232.0,4600.0,2118.0,3.0,167.0,0.0
aug28,Hassana,357.0,7242.0,167.0,4767.0,2307.0,1.0,168.0,0.0
aug29,Hassana,325.0,7567.0,218.0,4985.0,2408.0,6.0,174.0,0.0
aug30,Hassana,268.0,7835.0,190.0,5175.0,2485.0,1.0,175.0,0.0
aug31,Hassana,217.0,8052.0,138.0,5313.0,2562.0,2.0,177.0,0.0
sep01,Hassana,461.0,8513.0,205.0,5518.0,2807.0,11.0,188.0,0.0
sep02,Hassana,290.0,8803.0,187.0,5705.0,2906.0,4.0,192.0,0.0
sep03,Hassana,252.0,9055.0,190.0,5895.0,2963.0,5.0,197.0,0.0
