date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Haveri,0.0,119.0,0.0,25.0,92.0,,2.0,0.0
july02,Haveri,4.0,123.0,8.0,33.0,88.0,,2.0,0.0
july03,Haveri,1.0,124.0,2.0,35.0,87.0,,2.0,0.0
july04,Haveri,28.0,152.0,2.0,37.0,113.0,,2.0,0.0
july05,Haveri,15.0,167.0,0.0,37.0,128.0,,2.0,0.0
july06,Haveri,9.0,176.0,0.0,37.0,137.0,,2.0,0.0
july07,Haveri,6.0,182.0,21.0,58.0,122.0,,2.0,0.0
july08,Haveri,31.0,213.0,8.0,66.0,145.0,,2.0,0.0
july10,Haveri,42.0,273.0,0.0,114.0,156.0,,3.0,0.0
july11,Haveri,16.0,289.0,4.0,118.0,167.0,,4.0,0.0
july12,Haveri,12.0,301.0,19.0,137.0,158.0,2.0,6.0,0.0
july13,Haveri,6.0,307.0,33.0,170.0,130.0,1.0,7.0,0.0
july14,Haveri,0.0,307.0,12.0,182.0,118.0,0.0,7.0,0.0
july15,Haveri,6.0,313.0,0.0,182.0,124.0,0.0,7.0,0.0
july16,Haveri,18.0,331.0,62.0,244.0,80.0,0.0,7.0,0.0
july17,Haveri,58.0,389.0,31.0,275.0,107.0,0.0,7.0,0.0
july19,Haveri,54.0,458.0,4.0,292.0,155.0,2.0,11.0,0.0
july20,Haveri,36.0,494.0,0.0,292.0,190.0,1.0,12.0,0.0
july21,Haveri,39.0,533.0,0.0,292.0,226.0,3.0,15.0,0.0
july22,Haveri,50.0,583.0,0.0,292.0,272.0,4.0,19.0,0.0
july23,Haveri,18.0,601.0,34.0,326.0,255.0,1.0,20.0,0.0
july24,Haveri,59.0,660.0,62.0,388.0,251.0,1.0,21.0,0.0
july25,Haveri,52.0,712.0,64.0,452.0,237.0,2.0,23.0,0.0
july26,Haveri,47.0,759.0,5.0,457.0,279.0,0.0,23.0,0.0
july27,Haveri,27.0,786.0,23.0,480.0,282.0,1.0,24.0,0.0
july28,Haveri,40.0,826.0,21.0,501.0,301.0,0.0,24.0,0.0
july29,Haveri,50.0,876.0,2.0,503.0,349.0,0.0,24.0,0.0
july30,Haveri,58.0,934.0,18.0,521.0,388.0,1.0,25.0,0.0
july31,Haveri,57.0,991.0,34.0,553.0,413.0,0.0,25.0,0.0
aug01,Haveri,52.0,1043.0,12.0,565.0,453.0,0.0,25.0,0.0
aug02,Haveri,146.0,1189.0,34.0,599.0,565.0,0.0,25.0,0.0
aug03,Haveri,99.0,1288.0,53.0,652.0,609.0,2.0,27.0,0.0
aug04,Haveri,157.0,1445.0,16.0,668.0,749.0,1.0,28.0,0.0
aug05,Haveri,71.0,1516.0,39.0,707.0,779.0,2.0,30.0,0.0
aug06,Haveri,64.0,1580.0,111.0,818.0,731.0,1.0,31.0,0.0
aug07,Haveri,90.0,1670.0,92.0,910.0,728.0,1.0,32.0,0.0
aug08,Haveri,95.0,1765.0,43.0,953.0,778.0,2.0,34.0,0.0
aug09,Haveri,80.0,1845.0,68.0,1021.0,789.0,1.0,35.0,0.0
aug10,Haveri,45.0,1890.0,76.0,1097.0,755.0,3.0,38.0,0.0
aug11,Haveri,36.0,1926.0,39.0,1136.0,749.0,3.0,41.0,0.0
aug12,Haveri,132.0,2058.0,142.0,1278.0,738.0,1.0,42.0,0.0
aug13,Haveri,96.0,2154.0,191.0,1469.0,640.0,3.0,45.0,0.0
aug14,Haveri,138.0,2292.0,25.0,1494.0,751.0,2.0,47.0,0.0
aug15,Haveri,116.0,2408.0,34.0,1528.0,831.0,2.0,49.0,0.0
aug16,Haveri,76.0,2484.0,98.0,1626.0,807.0,2.0,51.0,0.0
aug17,Haveri,43.0,2527.0,32.0,1658.0,814.0,4.0,55.0,0.0
aug18,Haveri,109.0,2636.0,55.0,1713.0,865.0,3.0,58.0,0.0
aug19,Haveri,137.0,2773.0,29.0,1742.0,970.0,3.0,61.0,0.0
aug20,Haveri,111.0,2884.0,42.0,1784.0,1035.0,4.0,65.0,0.0
aug21,Haveri,224.0,3108.0,100.0,1884.0,1155.0,4.0,69.0,0.0
aug22,Haveri,141.0,3249.0,47.0,1931.0,1249.0,0.0,69.0,0.0
aug23,Haveri,150.0,3399.0,23.0,1954.0,1372.0,4.0,73.0,0.0
aug24,Haveri,148.0,3547.0,220.0,2174.0,1294.0,6.0,79.0,0.0
aug25,Haveri,78,3625.0,82.0,2256.0,1285.0,5.0,84.0,0.0
aug26,Haveri,164.0,3789.0,139.0,2395.0,1308.0,2.0,86.0,0.0
aug27,Haveri,117.0,3906.0,109.0,2504.0,1311.0,5.0,91.0,0.0
aug28,Haveri,132.0,4038.0,154.0,2658.0,1289.0,0.0,91.0,0.0
aug29,Haveri,93.0,4131.0,99.0,2757.0,1274.0,9.0,100.0,0.0
aug30,Haveri,105.0,4236.0,111.0,2868.0,1265.0,3.0,103.0,0.0
aug31,Haveri,63.0,4299.0,105.0,2973.0,1218.0,5.0,108.0,0.0
sep01,Haveri,153.0,4452.0,111.0,3084.0,1258.0,2.0,110.0,0.0
sep02,Haveri,149.0,4601.0,67.0,3151.0,1338.0,2.0,112.0,0.0
sep03,Haveri,139.0,4740.0,100.0,3251.0,1373.0,4.0,116.0,0.0
sep04,Haveri,149.0,4889.0,35.0,3286.0,1487.0,0.0,116.0,0.0
sep06,Haveri,295.0,5372.0,209.0,3654.0,1602.0,0.0,116.0,0.0
sep07,Haveri,53.0,5425.0,276.0,3930.0,1379.0,0.0,116.0,0.0
sep08,Haveri,165.0,5590.0,382.0,4312.0,1158.0,4.0,120.0,0.0
sep09,Haveri,169,5759.0,214.0,4526.0,1111.0,2.0,122.0,0.0
sep10,Haveri,190,5949.0,65.0,4591.0,1235.0,1.0,123.0,0.0
sep11,Haveri,240.0,6189.0,86.0,4677.0,1387.0,2.0,125.0,0.0
sep12,Haveri,213.0,6402.0,48.0,4725.0,1551.0,1.0,126.0,0.0
sep13,Haveri,191.0,6593.0,106.0,4831.0,1635.0,1.0,127.0,0.0
sep14,Haveri,208.0,6801.0,185.0,5016.0,1656.0,2.0,129.0,0.0
sep15,Haveri,180.0,6981.0,73.0,5089.0,1760.0,3.0,132.0,0.0
sep16,Haveri,81.0,7062.0,0.0,5089.0,1841.0,0.0,132.0,0.0
sep17,Haveri,188.0,7250.0,0.0,5089.0,2029.0,0.0,132.0,0.0
sep18,Haveri,116.0,7366.0,465.0,5554.0,1674.0,6.0,138.0,0.0
sep19,Haveri,107.0,7473.0,79.0,5633.0,1700.0,2.0,140.0,0.0
sep20,Haveri,44.0,7517.0,279.0,5912.0,1463.0,2.0,142.0,0.0
sep21,Haveri,103.0,7620.0,180.0,6092.0,1383.0,3.0,145.0,0.0
sep22,Haveri,115.0,7735.0,0.0,6092.0,1498.0,0.0,145.0,0.0
sep23,Haveri,32.0,7767.0,0.0,6092.0,1530.0,0.0,145.0,0.0
sep24,Haveri,110.0,7877.0,62.0,6154.0,1576.0,2.0,147.0,0.0
sep25,Haveri,156.0,8033.0,61.0,6215.0,1670.0,1.0,148.0,0.0
sep26,Haveri,111.0,8144.0,97.0,6312.0,1681.0,3.0,151.0,0.0
sep27,Haveri,115.0,8259.0,96.0,6408.0,1698.0,2.0,153.0,0.0
sep28,Haveri,83.0,8342.0,38.0,6446.0,1739.0,4.0,157.0,0.0
sep29,Haveri,75.0,8417.0,41.0,6487.0,1771.0,2.0,159.0,0.0
sep30,Haveri,134.0,8551.0,95.0,6582.0,1809.0,1.0,160.0,0.0
oct01,Haveri,155,8706.0,29.0,6611.0,1934.0,1.0,161.0,0.0
oct02,Haveri,61,8767.0,214.0,6825.0,1779.0,2.0,163.0,0.0
oct03,Haveri,71,8838.0,306.0,7131.0,1542.0,2.0,165.0,0.0
oct04,Haveri,112,8950.0,101.0,7232.0,1552.0,1.0,166.0,0.0
oct05,Haveri,73,9023.0,150.0,7382.0,1475.0,0.0,166.0,0.0
oct06,Haveri,81,9104.0,85.0,7467.0,1469.0,2.0,168.0,0.0
oct07,Haveri,57,9161.0,300.0,7767.0,1224.0,2.0,170.0,0.0
oct08,Haveri,108,9269.0,123.0,7890.0,1209.0,0.0,170.0,0.0
oct09,Haveri,75,9344.0,286.0,8176.0,998.0,0.0,170.0,0.0
oct10,Haveri,51,9395.0,118.0,8294.0,927.0,4.0,174.0,0.0
oct11,Haveri,57,9452.0,125.0,8419.0,859.0,0.0,174.0,0.0
oct12,Haveri,50,9502.0,105.0,8524.0,804.0,0.0,174.0,0.0
oct13,Haveri,39,9541.0,163.0,8687.0,679.0,1.0,175.0,0.0
oct14,Haveri,66,9607.0,133.0,8820.0,612.0,0.0,175.0,0.0
oct15,Haveri,41,9648.0,74.0,8894.0,579.0,0.0,175.0,0.0
oct16,Haveri,32,9680.0,41.0,8935.0,570.0,0.0,175.0,0.0
oct17,Haveri,61,9741.0,41.0,8976.0,588.0,2.0,177.0,0.0
oct18,Haveri,24,9765.0,32.0,9008.0,579.0,1.0,178.0,0.0
oct19,Haveri,69,9834.0,119.0,9127.0,528.0,1.0,179.0,0.0
oct20,Haveri,42,9876.0,108.0,9235.0,460.0,2.0,181.0,0.0
oct21,Haveri,23,9899.0,25.0,9260.0,458.0,0.0,181.0,0.0
oct22,Haveri,97,9996.0,67.0,9327.0,488.0,0.0,181.0,0.0
oct24,Haveri,30,10058.0,49.0,9432.0,444.0,1.0,182.0,0.0
oct25,Haveri,9,10067.0,95.0,9527.0,358.0,0.0,182.0,0.0
oct26,Haveri,39,10106.0,43.0,9570.0,354.0,0.0,182.0,0.0
oct27,Haveri,19,10125.0,59.0,9629.0,314.0,0.0,182.0,0.0
oct28,Haveri,17,10142.0,57.0,9686.0,274.0,0.0,182.0,0.0
