date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Kalaburagi,14.0,1450.0,8.0,1103.0,329.0,,18.0,0.0
july02,Kalaburagi,38.0,1488.0,23.0,1126.0,343.0,,19.0,0.0
july03,Kalaburagi,72.0,1560.0,17.0,1143.0,395.0,,22.0,0.0
july04,Kalaburagi,37.0,1597.0,46.0,1189.0,383.0,,25.0,0.0
july05,Kalaburagi,49.0,1646.0,52.0,1241.0,378.0,,27.0,0.0
july06,Kalaburagi,53.0,1699.0,69.0,1310.0,362.0,,27.0,0.0
july07,Kalaburagi,51.0,1750.0,19.0,1329.0,392.0,,29.0,0.0
july08,Kalaburagi,66.0,1816.0,22.0,1351.0,435.0,,30.0,0.0
july10,Kalaburagi,58.0,1959.0,52.0,1444.0,481.0,,34.0,0.0
july11,Kalaburagi,65.0,2024.0,16.0,1460.0,528.0,,36.0,0.0
july12,Kalaburagi,79.0,2103.0,17.0,1477.0,590.0,0.0,36.0,0.0
july13,Kalaburagi,89.0,2192.0,29.0,1506.0,650.0,0.0,36.0,0.0
july14,Kalaburagi,121.0,2313.0,13.0,1519.0,757.0,1.0,37.0,0.0
july15,Kalaburagi,67.0,2380.0,1.0,1520.0,823.0,0.0,37.0,0.0
july16,Kalaburagi,123.0,2503.0,5.0,1525.0,940.0,1.0,38.0,0.0
july17,Kalaburagi,89.0,2592.0,42.0,1567.0,987.0,0.0,38.0,0.0
july19,Kalaburagi,69.0,2743.0,80.0,1771.0,926.0,3.0,46.0,0.0
july20,Kalaburagi,124.0,2867.0,55.0,1826.0,993.0,2.0,48.0,0.0
july21,Kalaburagi,99.0,2966.0,8.0,1834.0,1084.0,0.0,48.0,0.0
july22,Kalaburagi,175.0,3141.0,47.0,1881.0,1211.0,1.0,49.0,0.0
july23,Kalaburagi,229.0,3370.0,14.0,1895.0,1426.0,0.0,49.0,0.0
july24,Kalaburagi,159.0,3529.0,26.0,1921.0,1554.0,5.0,54.0,0.0
july25,Kalaburagi,183.0,3712.0,145.0,2066.0,1588.0,4.0,58.0,0.0
july26,Kalaburagi,152.0,3864.0,132.0,2198.0,1602.0,6.0,64.0,0.0
july27,Kalaburagi,631.0,4495.0,73.0,2271.0,2158.0,2.0,66.0,0.0
july28,Kalaburagi,283.0,4778.0,39.0,2310.0,2396.0,6.0,72.0,0.0
july29,Kalaburagi,168.0,4946.0,119.0,2429.0,2435.0,10.0,82.0,0.0
july30,Kalaburagi,220.0,5166.0,124.0,2553.0,2524.0,7.0,89.0,0.0
july31,Kalaburagi,144.0,5310.0,148.0,2702.0,2513.0,6.0,95.0,0.0
aug01,Kalaburagi,219.0,5529.0,130.0,2832.0,2597.0,5.0,100.0,0.0
aug02,Kalaburagi,238.0,5767.0,117.0,2949.0,2712.0,6.0,106.0,0.0
aug03,Kalaburagi,170.0,5937.0,369.0,3318.0,2508.0,5.0,111.0,0.0
aug04,Kalaburagi,285.0,6222.0,152.0,3470.0,2639.0,2.0,113.0,0.0
aug05,Kalaburagi,197.0,6419.0,353.0,3823.0,2479.0,4.0,117.0,0.0
aug06,Kalaburagi,196.0,6615.0,230.0,4053.0,2440.0,5.0,122.0,0.0
aug07,Kalaburagi,271.0,6886.0,203.0,4256.0,2501.0,7.0,129.0,0.0
aug08,Kalaburagi,261.0,7147.0,265.0,4521.0,2490.0,7.0,136.0,0.0
aug09,Kalaburagi,194.0,7341.0,208.0,4729.0,2472.0,4.0,140.0,0.0
aug10,Kalaburagi,196.0,7537.0,108.0,4837.0,2559.0,1.0,141.0,0.0
aug11,Kalaburagi,156.0,7693.0,155.0,4992.0,2559.0,1.0,142.0,0.0
aug12,Kalaburagi,144.0,7837.0,334.0,5326.0,2366.0,3.0,145.0,0.0
aug13,Kalaburagi,285.0,8122.0,448.0,5774.0,2194.0,9.0,154.0,0.0
aug14,Kalaburagi,229.0,8351.0,376.0,6150.0,2042.0,5.0,159.0,0.0
aug15,Kalaburagi,189.0,8540.0,219.0,6369.0,2010.0,2.0,161.0,0.0
aug16,Kalaburagi,285.0,8825.0,322.0,6691.0,1971.0,2.0,163.0,0.0
aug17,Kalaburagi,211.0,9036.0,194.0,6885.0,1981.0,7.0,170.0,0.0
aug18,Kalaburagi,229.0,9265.0,246.0,7131.0,1962.0,2.0,172.0,0.0
aug19,Kalaburagi,154.0,9419.0,247.0,7378.0,1866.0,3.0,175.0,0.0
