date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Kodagu,7.0,54.0,0.0,3.0,51.0,,0.0,0.0
july02,Kodagu,6.0,60.0,0.0,3.0,57.0,,0.0,0.0
july03,Kodagu,16.0,76.0,0.0,3.0,73.0,,0.0,0.0
july04,Kodagu,0.0,76.0,0.0,3.0,73.0,,0.0,0.0
july05,Kodagu,0.0,76.0,0.0,3.0,73.0,,0.0,0.0
july06,Kodagu,2.0,78.0,0.0,3.0,74.0,,1.0,0.0
july07,Kodagu,14.0,92.0,0.0,3.0,88.0,,1.0,0.0
july08,Kodagu,0.0,92.0,12.0,15.0,76.0,,1.0,0.0
july10,Kodagu,33.0,129.0,2.0,17.0,111.0,,1.0,0.0
july11,Kodagu,12.0,141.0,0.0,17.0,123.0,,1.0,0.0
july12,Kodagu,15.0,156.0,44.0,61.0,94.0,0.0,1.0,0.0
july13,Kodagu,29.0,185.0,7.0,68.0,114.0,2.0,3.0,0.0
july14,Kodagu,10.0,195.0,0.0,68.0,124.0,0.0,3.0,0.0
july15,Kodagu,23.0,218.0,0.0,68.0,147.0,0.0,3.0,0.0
july16,Kodagu,18.0,236.0,46.0,114.0,119.0,0.0,3.0,0.0
july17,Kodagu,13.0,249.0,0.0,114.0,131.0,1.0,4.0,0.0
july19,Kodagu,13.0,272.0,59.0,173.0,94.0,0.0,5.0,0.0
july20,Kodagu,8.0,280.0,0.0,173.0,102.0,0.0,5.0,0.0
july21,Kodagu,1.0,281.0,9.0,182.0,94.0,0.0,5.0,0.0
july22,Kodagu,7.0,288.0,28.0,210.0,73.0,0.0,5.0,0.0
july23,Kodagu,22.0,310.0,0.0,210.0,95.0,0.0,5.0,0.0
july24,Kodagu,3.0,313.0,26.0,236.0,72.0,0.0,5.0,0.0
july25,Kodagu,9.0,322.0,0.0,236.0,81.0,0.0,5.0,0.0
july26,Kodagu,20.0,342.0,10.0,246.0,91.0,0.0,5.0,0.0
july27,Kodagu,10.0,352.0,7.0,253.0,94.0,0.0,5.0,0.0
july28,Kodagu,2.0,354.0,13.0,266.0,82.0,1.0,6.0,0.0
july29,Kodagu,8.0,362.0,0.0,266.0,90.0,0.0,6.0,0.0
