date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Kolara,5.0,127.0,4.0,57.0,68.0,,2.0,0.0
july02,Kolara,12.0,139.0,0.0,57.0,80.0,,2.0,0.0
july03,Kolara,11.0,150.0,5.0,62.0,86.0,,2.0,0.0
july04,Kolara,11.0,161.0,3.0,65.0,94.0,,2.0,0.0
july05,Kolara,13.0,174.0,7.0,72.0,100.0,,2.0,0.0
july06,Kolara,10.0,184.0,10.0,82.0,100.0,,2.0,0.0
july07,Kolara,6.0,190.0,7.0,89.0,99.0,,2.0,0.0
july08,Kolara,16.0,206.0,1.0,90.0,114.0,,2.0,0.0
july10,Kolara,9.0,249.0,0.0,90.0,157.0,,2.0,0.0
july11,Kolara,12.0,261.0,24.0,114.0,145.0,,2.0,0.0
july12,Kolara,24.0,285.0,7.0,121.0,162.0,0.0,2.0,0.0
july13,Kolara,21.0,306.0,0.0,121.0,183.0,0.0,2.0,0.0
july14,Kolara,11.0,317.0,3.0,124.0,191.0,0.0,2.0,0.0
july15,Kolara,15.0,332.0,8.0,132.0,198.0,0.0,2.0,0.0
july16,Kolara,43.0,375.0,0.0,132.0,235.0,6.0,8.0,0.0
july17,Kolara,51.0,426.0,0.0,132.0,285.0,1.0,9.0,0.0
july19,Kolara,25.0,486.0,0.0,132.0,340.0,5.0,14.0,0.0
july20,Kolara,41.0,527.0,52.0,184.0,329.0,0.0,14.0,0.0
july21,Kolara,103.0,630.0,0.0,184.0,428.0,4.0,18.0,0.0
july22,Kolara,88.0,718.0,10.0,194.0,505.0,1.0,19.0,0.0
july23,Kolara,40.0,758.0,50.0,244.0,495.0,0.0,19.0,0.0
july24,Kolara,36.0,794.0,36.0,280.0,494.0,1.0,20.0,0.0
july25,Kolara,68.0,862.0,70.0,350.0,492.0,0.0,20.0,0.0
july26,Kolara,49.0,911.0,8.0,358.0,533.0,0.0,20.0,0.0
july27,Kolara,142.0,1053.0,0.0,358.0,673.0,2.0,22.0,0.0
july28,Kolara,174.0,1227.0,0.0,358.0,846.0,1.0,23.0,0.0
july29,Kolara,34.0,1261.0,0.0,358.0,880.0,0.0,23.0,0.0
july30,Kolara,32.0,1293.0,90.0,448.0,820.0,2.0,25.0,0.0
july31,Kolara,32.0,1325.0,42.0,490.0,810.0,0.0,25.0,0.0
aug01,Kolara,39.0,1364.0,0.0,490.0,849.0,0.0,25.0,0.0
aug02,Kolara,51.0,1415.0,59.0,549.0,841.0,0.0,25.0,0.0
aug03,Kolara,40.0,1455.0,0.0,549.0,881.0,0.0,25.0,0.0
aug04,Kolara,46.0,1501.0,38.0,587.0,889.0,0.0,25.0,0.0
aug05,Kolara,49.0,1550.0,150.0,737.0,784.0,4.0,29.0,0.0
