date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Koppala,13.0,97.0,14.0,41.0,55.0,,1.0,0.0
july02,Koppala,4.0,101.0,0.0,41.0,58.0,,2.0,0.0
july03,Koppala,4.0,105.0,26.0,67.0,36.0,,2.0,0.0
july04,Koppala,3.0,108.0,1.0,68.0,38.0,,2.0,0.0
july05,Koppala,22.0,130.0,9.0,77.0,51.0,,2.0,0.0
july06,Koppala,9.0,139.0,0.0,77.0,60.0,,2.0,0.0
july07,Koppala,5.0,144.0,2.0,79.0,63.0,,2.0,0.0
july08,Koppala,11.0,155.0,7.0,86.0,67.0,,2.0,0.0
july10,Koppala,7.0,164.0,1.0,87.0,75.0,,2.0,0.0
july11,Koppala,23.0,187.0,12.0,99.0,84.0,,4.0,0.0
july12,Koppala,27.0,214.0,14.0,113.0,96.0,1.0,5.0,0.0
july13,Koppala,31.0,245.0,0.0,113.0,127.0,0.0,5.0,0.0
july14,Koppala,98.0,343.0,0.0,113.0,225.0,0.0,5.0,0.0
july15,Koppala,14.0,357.0,23.0,136.0,216.0,0.0,5.0,0.0
july16,Koppala,32.0,389.0,38.0,174.0,210.0,0.0,5.0,0.0
july17,Koppala,30.0,419.0,29.0,203.0,211.0,0.0,5.0,0.0
july19,Koppala,19.0,451.0,28.0,247.0,195.0,4.0,9.0,0.0
july20,Koppala,62.0,513.0,37.0,284.0,218.0,2.0,11.0,0.0
july21,Koppala,45.0,558.0,31.0,315.0,232.0,0.0,11.0,0.0
july22,Koppala,21.0,579.0,3.0,318.0,250.0,0.0,11.0,0.0
july23,Koppala,17.0,596.0,29.0,347.0,238.0,0.0,11.0,0.0
july24,Koppala,39.0,635.0,32.0,379.0,243.0,2.0,13.0,0.0
july25,Koppala,31.0,666.0,51.0,430.0,221.0,2.0,15.0,0.0
july26,Koppala,40.0,706.0,29.0,459.0,232.0,0.0,15.0,0.0
july27,Koppala,28.0,734.0,48.0,507.0,211.0,1.0,16.0,0.0
july28,Koppala,144.0,878.0,11.0,518.0,343.0,1.0,17.0,0.0
july29,Koppala,84.0,962.0,49.0,567.0,377.0,1.0,18.0,0.0
july30,Koppala,78.0,1040.0,10.0,577.0,444.0,1.0,19.0,0.0
july31,Koppala,38.0,1078.0,18.0,595.0,464.0,0.0,19.0,0.0
aug01,Koppala,107.0,1185.0,71.0,666.0,498.0,2.0,21.0,0.0
aug02,Koppala,87.0,1272.0,29.0,695.0,554.0,2.0,23.0,0.0
aug03,Koppala,157.0,1429.0,18.0,713.0,693.0,0.0,23.0,0.0
aug04,Koppala,163.0,1592.0,33.0,746.0,822.0,1.0,24.0,0.0
aug05,Koppala,154.0,1746.0,25.0,771.0,948.0,3.0,27.0,0.0
aug06,Koppala,132.0,1878.0,73.0,844.0,1007.0,0.0,27.0,0.0
aug07,Koppala,173.0,2051.0,79.0,923.0,1098.0,3.0,30.0,0.0
aug08,Koppala,163.0,2214.0,65.0,988.0,1195.0,1.0,31.0,0.0
aug09,Koppala,106.0,2320.0,74.0,1062.0,1225.0,2.0,33.0,0.0
aug10,Koppala,110.0,2430.0,75.0,1137.0,1254.0,6.0,39.0,0.0
aug11,Koppala,169.0,2599.0,82.0,1219.0,1338.0,3.0,42.0,0.0
aug12,Koppala,202.0,2801.0,54.0,1273.0,1484.0,2.0,44.0,0.0
aug13,Koppala,148.0,2949.0,60.0,1333.0,1567.0,5.0,49.0,0.0
aug14,Koppala,162.0,3111.0,213.0,1546.0,1511.0,5.0,54.0,0.0
aug15,Koppala,178.0,3289.0,405.0,1951.0,1282.0,2.0,56.0,0.0
aug16,Koppala,211.0,3500.0,195.0,2146.0,1295.0,3.0,59.0,0.0
aug17,Koppala,169.0,3669.0,217.0,2363.0,1243.0,4.0,63.0,0.0
aug18,Koppala,142.0,3811.0,123.0,2486.0,1261.0,1.0,64.0,0.0
aug19,Koppala,133.0,3944.0,131.0,2617.0,1255.0,8.0,72.0,0.0
aug20,Koppala,132.0,4076.0,143.0,2760.0,1237.0,7.0,79.0,0.0
aug21,Koppala,234.0,4310.0,233.0,2993.0,1233.0,5.0,84.0,0.0
aug22,Koppala,170.0,4480.0,225.0,3218.0,1172.0,6.0,90.0,0.0
aug23,Koppala,256.0,4736.0,177.0,3395.0,1246.0,5.0,95.0,0.0
aug24,Koppala,271.0,5007.0,186.0,3581.0,1324.0,7.0,102.0,0.0
aug25,Koppala,238,5245.0,123.0,3704.0,1433.0,6.0,108.0,0.0
aug26,Koppala,158.0,5403.0,117.0,3821.0,1468.0,6.0,114.0,0.0
aug27,Koppala,155.0,5558.0,97.0,3918.0,1521.0,5.0,119.0,0.0
aug28,Koppala,217.0,5775.0,252.0,4170.0,1483.0,3.0,122.0,0.0
aug29,Koppala,238.0,6013.0,111.0,4281.0,1607.0,3.0,125.0,0.0
aug30,Koppala,240.0,6253.0,181.0,4462.0,1663.0,3.0,128.0,0.0
aug31,Koppala,200.0,6453.0,94.0,4556.0,1768.0,1.0,129.0,0.0
sep01,Koppala,195.0,6648.0,210.0,4766.0,1749.0,4.0,133.0,0.0
sep02,Koppala,282.0,6930.0,133.0,4899.0,1896.0,2.0,135.0,0.0
sep03,Koppala,226.0,7156.0,149.0,5048.0,1965.0,8.0,143.0,0.0
sep04,Koppala,154.0,7310.0,214.0,5262.0,1904.0,1.0,144.0,0.0
sep06,Koppala,198.0,7751.0,176.0,5702.0,1898.0,4.0,151.0,0.0
sep07,Koppala,139.0,7890.0,178.0,5880.0,1849.0,10.0,161.0,0.0
sep08,Koppala,269.0,8159.0,256.0,6136.0,1856.0,6.0,167.0,0.0
sep09,Koppala,150,8309.0,193.0,6329.0,1807.0,6.0,173.0,0.0
sep10,Koppala,139,8448.0,176.0,6505.0,1766.0,4.0,177.0,0.0
sep11,Koppala,171.0,8619.0,137.0,6642.0,1795.0,5.0,182.0,0.0
sep12,Koppala,183.0,8802.0,228.0,6870.0,1746.0,4.0,186.0,0.0
sep13,Koppala,259.0,9061.0,185.0,7055.0,1817.0,3.0,189.0,0.0
sep14,Koppala,162.0,9223.0,141.0,7196.0,1835.0,3.0,192.0,0.0
sep15,Koppala,103.0,9326.0,235.0,7431.0,1701.0,2.0,194.0,0.0
sep16,Koppala,152.0,9478.0,0.0,7431.0,1854.0,0.0,193.0,0.0
sep17,Koppala,180.0,9658.0,0.0,7431.0,2034.0,0.0,193.0,0.0
sep18,Koppala,176.0,9834.0,277.0,7708.0,1925.0,8.0,201.0,0.0
sep19,Koppala,96.0,9930.0,275.0,7983.0,1739.0,7.0,208.0,0.0
sep20,Koppala,337.0,10267.0,116.0,8099.0,1956.0,4.0,212.0,0.0
sep21,Koppala,155.0,10422.0,176.0,8275.0,1934.0,1.0,213.0,0.0
sep22,Koppala,180.0,10602.0,96.0,8371.0,2018.0,0.0,213.0,0.0
sep23,Koppala,88.0,10690.0,0.0,8371.0,2106.0,0.0,213.0,0.0
sep24,Koppala,56.0,10746.0,25.0,8396.0,2137.0,0.0,213.0,0.0
sep25,Koppala,44.0,10790.0,24.0,8420.0,2157.0,0.0,213.0,0.0
sep26,Koppala,352.0,11142.0,13.0,8433.0,2494.0,2.0,215.0,0.0
sep27,Koppala,87.0,11229.0,103.0,8536.0,2478.0,0.0,215.0,0.0
sep28,Koppala,45.0,11274.0,200.0,8736.0,2323.0,0.0,215.0,0.0
sep29,Koppala,143.0,11417.0,324.0,9060.0,2137.0,5.0,220.0,0.0
sep30,Koppala,87.0,11504.0,343.0,9403.0,1874.0,7.0,227.0,0.0
oct01,Koppala,103,11607.0,333.0,9736.0,1639.0,5.0,232.0,0.0
oct02,Koppala,89,11696.0,110.0,9846.0,1615.0,3.0,235.0,0.0
oct03,Koppala,98,11794.0,112.0,9958.0,1599.0,2.0,237.0,0.0
oct04,Koppala,85,11879.0,188.0,10146.0,1491.0,5.0,242.0,0.0
oct05,Koppala,36,11915.0,82.0,10228.0,1443.0,2.0,244.0,0.0
oct06,Koppala,125,12040.0,424.0,10652.0,1142.0,2.0,246.0,0.0
oct07,Koppala,98,12138.0,17.0,10669.0,1223.0,0.0,246.0,0.0
oct08,Koppala,97,12235.0,102.0,10771.0,1218.0,0.0,246.0,0.0
oct09,Koppala,65,12300.0,159.0,10930.0,1124.0,0.0,246.0,0.0
oct10,Koppala,84,12384.0,85.0,11015.0,1116.0,7.0,253.0,0.0
oct11,Koppala,48,12432.0,49.0,11064.0,1113.0,2.0,255.0,0.0
oct12,Koppala,77,12509.0,273.0,11337.0,913.0,4.0,259.0,0.0
oct13,Koppala,37,12546.0,157.0,11494.0,790.0,3.0,262.0,0.0
oct14,Koppala,60,12606.0,60.0,11554.0,789.0,1.0,263.0,0.0
oct15,Koppala,76,12682.0,42.0,11596.0,822.0,1.0,264.0,0.0
oct16,Koppala,41,12723.0,134.0,11730.0,729.0,0.0,264.0,0.0
oct17,Koppala,65,12788.0,147.0,11877.0,647.0,0.0,264.0,0.0
oct18,Koppala,35,12823.0,88.0,11965.0,593.0,1.0,265.0,0.0
oct19,Koppala,106,12929.0,78.0,12043.0,620.0,1.0,266.0,0.0
oct20,Koppala,77,13006.0,61.0,12104.0,636.0,0.0,266.0,0.0
oct21,Koppala,52,13058.0,109.0,12213.0,578.0,1.0,267.0,0.0
oct22,Koppala,49,13107.0,49.0,12262.0,573.0,5.0,272.0,0.0
oct24,Koppala,49,13183.0,56.0,12363.0,548.0,0.0,272.0,0.0
oct25,Koppala,52,13235.0,43.0,12406.0,556.0,1.0,273.0,0.0
oct26,Koppala,22,13257.0,43.0,12449.0,535.0,0.0,273.0,0.0
oct27,Koppala,22,13279.0,65.0,12514.0,492.0,0.0,273.0,0.0
oct28,Koppala,11,13290.0,101.0,12615.0,402.0,0.0,273.0,0.0
oct29,Koppala,25,13315.0,51.0,12666.0,376.0,0.0,273.0,0.0
oct30,Koppala,27,13342.0,45.0,12711.0,358.0,0.0,273.0,0.0
oct31,Koppala,8,13350.0,59.0,12770.0,307.0,0.0,273.0,0.0
dec01,Koppala,8,13688.0,5.0,13347.0,63.0,0.0,278.0,0.0
dec02,Koppala,5,13693.0,22.0,13369.0,46.0,0.0,278.0,0.0
dec03,Koppala,0,13693.0,1.0,13370.0,45.0,0.0,278.0,0.0
dec04,Koppala,6,13699.0,4.0,13374.0,47.0,0.0,278.0,0.0
dec05,Koppala,3,13702.0,7.0,13381.0,43.0,0.0,278.0,0.0
dec06,Koppala,3,13705.0,6.0,13387.0,40.0,0.0,278.0,0.0
dec07,Koppala,4,13709.0,9.0,13396.0,35.0,0.0,278.0,0.0
dec08,Koppala,5,13714.0,4.0,13400.0,36.0,0.0,278.0,0.0
dec09,Koppala,9,13723.0,4.0,13404.0,41.0,0.0,278.0,0.0
dec10,Koppala,4,13727.0,6.0,13410.0,39.0,0.0,278.0,0.0
dec11,Koppala,6,13733.0,5.0,13415.0,40.0,0.0,278.0,0.0
dec12,Koppala,12,13745.0,3.0,13418.0,49.0,0.0,278.0,0.0
dec13,Koppala,8,13753.0,3.0,13421.0,54.0,0.0,278.0,0.0
dec14,Koppala,5,13758.0,2.0,13423.0,57.0,0.0,278.0,0.0
dec15,Koppala,20,13778.0,2.0,13425.0,75.0,0.0,278.0,0.0
dec16,Koppala,8,13786.0,5.0,13430.0,78.0,0.0,278.0,0.0
dec17,Koppala,12,13798.0,3.0,13433.0,87.0,0.0,278.0,0.0
dec18,Koppala,5,13803.0,6.0,13439.0,85.0,1.0,279.0,0.0
dec19,Koppala,6,13809.0,4.0,13443.0,87.0,0.0,279.0,0.0
dec20,Koppala,10,13819.0,1.0,13444.0,96.0,0.0,279.0,0.0
dec21,Koppala,5,13824.0,4.0,13448.0,97.0,0.0,279.0,0.0
dec22,Koppala,8,13832.0,11.0,13459.0,94.0,0.0,279.0,0.0
dec23,Koppala,5,13837.0,9.0,13468.0,90.0,0.0,279.0,0.0
dec24,Koppala,12,13849.0,8.0,13476.0,94.0,0.0,279.0,0.0
dec25,Koppala,3,13852.0,6.0,13482.0,91.0,0.0,279.0,0.0
dec26,Koppala,5,13857.0,9.0,13491.0,87.0,0.0,279.0,0.0
dec27,Koppala,3,13860.0,11.0,13502.0,79.0,0.0,279.0,0.0
dec28,Koppala,4,13864.0,10.0,13512.0,73.0,0.0,279.0,0.0
dec29,Koppala,6,13870.0,11.0,13523.0,68.0,0.0,279.0,0.0
dec30,Koppala,2,13872.0,8.0,13531.0,62.0,0.0,279.0,0.0
dec31,Koppala,7,13879.0,2.0,13533.0,67.0,0.0,279.0,0.0
jan01,Koppala,0,13879.0,19.0,13552.0,48.0,0.0,279.0,0.0
jan02,Koppala,5,13884.0,16.0,13568.0,37.0,0.0,279.0,0.0
jan03,Koppala,3,13887.0,4.0,13572.0,36.0,0.0,279.0,0.0
jan04,Koppala,2,13889.0,5.0,13577.0,33.0,0.0,279.0,0.0
jan05,Koppala,5,13894.0,4.0,13581.0,34.0,0.0,279.0,0.0
jan06,Koppala,1,13895.0,2.0,13583.0,33.0,0.0,279.0,0.0
jan07,Koppala,2,13897.0,2.0,13585.0,33.0,0.0,279.0,0.0
jan08,Koppala,5,13902.0,2.0,13587.0,36.0,0.0,279.0,0.0
jan09,Koppala,4,13906.0,2.0,13589.0,38.0,0.0,279.0,0.0
jan10,Koppala,3,13909.0,1.0,13590.0,40.0,0.0,279.0,0.0
jan11,Koppala,4,13913.0,9.0,13599.0,35.0,0.0,279.0,0.0
jan12,Koppala,1,13914.0,3.0,13602.0,33.0,0.0,279.0,0.0
jan13,Koppala,0,13914.0,4.0,13606.0,29.0,0.0,279.0,0.0
jan14,Koppala,2,13916.0,5.0,13611.0,26.0,0.0,279.0,0.0
jan15,Koppala,1,13917.0,1.0,13612.0,26.0,0.0,279.0,0.0
jan16,Koppala,0,13917.0,1.0,13613.0,25.0,0.0,279.0,0.0
jan17,Koppala,1,13918.0,4.0,13617.0,22.0,0.0,279.0,0.0
jan18,Koppala,1,13919.0,4.0,13621.0,19.0,0.0,279.0,0.0
jan19,Koppala,2,13921.0,4.0,13625.0,17.0,0.0,279.0,0.0
jan20,Koppala,1,13922.0,2.0,13627.0,16.0,0.0,279.0,0.0
jan21,Koppala,1,13923.0,1.0,13628.0,16.0,0.0,279.0,0.0
jan22,Koppala,0,13923.0,7.0,13635.0,9.0,0.0,279.0,0.0
jan23,Koppala,1,13924.0,1.0,13636.0,9.0,0.0,279.0,0.0
jan24,Koppala,0,13924.0,2.0,13638.0,7.0,0.0,279.0,0.0
jan25,Koppala,0,13924.0,0.0,13638.0,7.0,0.0,279.0,0.0
jan26,Koppala,0,13924.0,2.0,13640.0,5.0,0.0,279.0,0.0
jan27,Koppala,0,13924.0,0.0,13640.0,5.0,0.0,279.0,0.0
jan28,Koppala,0,13924.0,0.0,13640.0,5.0,0.0,279.0,0.0
jan29,Koppala,0.0,13924.0,0.0,13640.0,5.0,0.0,279.0,0.0
jan30,Koppala,3,13927.0,1.0,13641.0,7.0,0.0,279.0,0.0
jan31,Koppala,0,13927.0,0.0,13641.0,7.0,0.0,279.0,0.0
feb01,Koppala,1,13928.0,0.0,13641.0,8.0,0.0,279.0,0.0
feb02,Koppala,2,13930.0,1.0,13642.0,9.0,0.0,279.0,0.0
feb03,Koppala,2.0,13932.0,0.0,13642.0,11.0,0.0,279.0,0.0
feb04,Koppala,0.0,13932.0,1.0,13643.0,10.0,0.0,279.0,0.0
feb05,Koppala,1.0,13933.0,2.0,13645.0,9.0,0.0,279.0,0.0
feb06,Koppala,0,13933.0,0.0,13645.0,9.0,0.0,279.0,0.0
feb07,Koppala,0,13933.0,0.0,13645.0,9.0,0.0,279.0,0.0
feb08,Koppala,1,13934.0,0.0,13645.0,10.0,0.0,279.0,0.0
feb09,Koppala,0,13934.0,3.0,13648.0,7.0,0.0,279.0,0.0
feb10,Koppala,0,13934.0,0.0,13648.0,7.0,0.0,279.0,0.0
feb11,Koppala,1.0,13935.0,3.0,13651.0,5.0,0.0,279.0,0.0
feb12,Koppala,0.0,13935.0,2.0,13653.0,3.0,0.0,279.0,0.0
feb13,Koppala,0,13935.0,0.0,13653.0,3.0,0.0,279.0,0.0
feb14,Koppala,1,13936.0,0.0,13653.0,4.0,0.0,279.0,0.0
feb15,Koppala,0,13936.0,0.0,13653.0,4.0,0.0,279.0,0.0
feb16,Koppala,0,13936.0,1.0,13654.0,3.0,0.0,279.0,0.0
feb17,Koppala,1.0,13937.0,1.0,13655.0,3.0,0.0,279.0,0.0
feb18,Koppala,1.0,13938.0,0.0,13655.0,4.0,0.0,279.0,0.0
feb19,Koppala,0,13938.0,0.0,13655.0,4.0,0.0,279.0,0.0
feb20,Koppala,1,13939.0,0.0,13655.0,5.0,0.0,279.0,0.0
feb21,Koppala,0,13939.0,1.0,13656.0,4.0,0.0,279.0,0.0
feb22,Koppala,0,13939.0,0.0,13656.0,4.0,0.0,279.0,0.0
feb23,Koppala,0,13939.0,0.0,13656.0,4.0,0.0,279.0,0.0
feb24,Koppala,2,13941.0,0.0,13656.0,6.0,0.0,279.0,0.0
feb25,Koppala,0,13941.0,1.0,13657.0,5.0,0.0,279.0,0.0
feb26,Koppala,4,13945.0,0.0,13657.0,9.0,0.0,279.0,0.0
feb27,Koppala,0,13945.0,1.0,13658.0,8.0,0.0,279.0,0.0
feb28,Koppala,0,13945.0,0.0,13658.0,8.0,0.0,279.0,0.0
