date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Mandya,5.0,421.0,2.0,340.0,81.0,,0.0,0.0
july02,Mandya,19.0,440.0,12.0,352.0,88.0,,0.0,0.0
july03,Mandya,33.0,473.0,2.0,354.0,119.0,,0.0,0.0
july04,Mandya,35.0,508.0,0.0,354.0,154.0,,0.0,0.0
july05,Mandya,10.0,518.0,13.0,367.0,151.0,,0.0,0.0
july06,Mandya,39.0,557.0,0.0,367.0,190.0,,0.0,0.0
july07,Mandya,29.0,586.0,14.0,381.0,205.0,,0.0,0.0
july08,Mandya,20.0,606.0,0.0,381.0,225.0,,0.0,0.0
july10,Mandya,31.0,661.0,35.0,431.0,230.0,,0.0,0.0
july11,Mandya,23.0,684.0,32.0,463.0,221.0,,0.0,0.0
july12,Mandya,4.0,688.0,0.0,463.0,225.0,0.0,0.0,0.0
july13,Mandya,30.0,718.0,42.0,505.0,213.0,0.0,0.0,0.0
july14,Mandya,38.0,756.0,28.0,533.0,223.0,0.0,0.0,0.0
july15,Mandya,31.0,787.0,19.0,552.0,234.0,1.0,1.0,0.0
july16,Mandya,11.0,798.0,27.0,579.0,217.0,1.0,2.0,0.0
july17,Mandya,22.0,820.0,0.0,579.0,237.0,2.0,4.0,0.0
july19,Mandya,7.0,869.0,30.0,609.0,253.0,2.0,7.0,0.0
july20,Mandya,41.0,910.0,0.0,609.0,294.0,0.0,7.0,0.0
july21,Mandya,13.0,923.0,86.0,695.0,221.0,0.0,7.0,0.0
july22,Mandya,37.0,960.0,0.0,695.0,258.0,0.0,7.0,0.0
july23,Mandya,50.0,1010.0,5.0,700.0,301.0,2.0,9.0,0.0
july24,Mandya,57.0,1067.0,39.0,739.0,319.0,0.0,9.0,0.0
july25,Mandya,60.0,1127.0,44.0,783.0,335.0,0.0,9.0,0.0
july26,Mandya,64.0,1191.0,25.0,808.0,373.0,1.0,10.0,0.0
july27,Mandya,56.0,1247.0,0.0,808.0,429.0,0.0,10.0,0.0
july28,Mandya,96.0,1343.0,56.0,864.0,469.0,0.0,10.0,0.0
july29,Mandya,70.0,1413.0,0.0,864.0,539.0,0.0,10.0,0.0
july30,Mandya,87.0,1500.0,50.0,914.0,576.0,0.0,10.0,0.0
july31,Mandya,65.0,1565.0,42.0,956.0,599.0,0.0,10.0,0.0
aug01,Mandya,95.0,1660.0,27.0,983.0,666.0,1.0,11.0,0.0
aug02,Mandya,97.0,1757.0,26.0,1009.0,734.0,3.0,14.0,0.0
aug03,Mandya,152.0,1909.0,44.0,1053.0,842.0,0.0,14.0,0.0
aug04,Mandya,126.0,2035.0,40.0,1093.0,926.0,2.0,16.0,0.0
aug05,Mandya,123.0,2158.0,90.0,1183.0,956.0,3.0,19.0,0.0
aug06,Mandya,134.0,2292.0,63.0,1246.0,1026.0,1.0,20.0,0.0
aug07,Mandya,102.0,2394.0,19.0,1265.0,1109.0,0.0,20.0,0.0
aug08,Mandya,101.0,2495.0,50.0,1315.0,1159.0,1.0,21.0,0.0
aug09,Mandya,63.0,2558.0,34.0,1349.0,1187.0,1.0,22.0,0.0
aug10,Mandya,66.0,2624.0,0.0,1349.0,1251.0,2.0,24.0,0.0
aug11,Mandya,141.0,2765.0,37.0,1386.0,1353.0,2.0,26.0,0.0
