date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Mysuru,0.0,268.0,13.0,189.0,76.0,,3.0,0.0
july02,Mysuru,68.0,336.0,8.0,197.0,135.0,,4.0,0.0
july03,Mysuru,35.0,371.0,20.0,217.0,150.0,,4.0,0.0
july04,Mysuru,38.0,409.0,21.0,238.0,167.0,,4.0,0.0
july05,Mysuru,25.0,434.0,12.0,250.0,179.0,,5.0,0.0
july06,Mysuru,45.0,479.0,21.0,271.0,200.0,,8.0,0.0
july07,Mysuru,49.0,528.0,35.0,306.0,210.0,,12.0,0.0
july08,Mysuru,59.0,587.0,18.0,324.0,249.0,,14.0,0.0
july10,Mysuru,51.0,690.0,25.0,363.0,307.0,,20.0,0.0
july11,Mysuru,83.0,773.0,22.0,385.0,360.0,,28.0,0.0
july12,Mysuru,42.0,815.0,43.0,428.0,356.0,3.0,31.0,0.0
july13,Mysuru,151.0,966.0,54.0,482.0,447.0,6.0,37.0,0.0
july14,Mysuru,125.0,1091.0,16.0,498.0,552.0,4.0,41.0,0.0
july15,Mysuru,99.0,1190.0,5.0,503.0,640.0,6.0,47.0,0.0
july16,Mysuru,130.0,1320.0,28.0,531.0,739.0,3.0,50.0,0.0
july17,Mysuru,93.0,1413.0,20.0,551.0,805.0,7.0,57.0,0.0
july19,Mysuru,110.0,1624.0,23.0,598.0,956.0,11.0,70.0,0.0
july20,Mysuru,149.0,1773.0,27.0,625.0,1073.0,5.0,75.0,0.0
july21,Mysuru,135.0,1908.0,49.0,674.0,1154.0,5.0,80.0,0.0
july22,Mysuru,145.0,2053.0,19.0,693.0,1275.0,5.0,85.0,0.0
july23,Mysuru,116.0,2169.0,38.0,731.0,1345.0,8.0,93.0,0.0
july24,Mysuru,281.0,2450.0,18.0,749.0,1602.0,6.0,99.0,0.0
july25,Mysuru,187.0,2637.0,59.0,808.0,1722.0,8.0,107.0,0.0
july26,Mysuru,230.0,2867.0,15.0,823.0,1932.0,5.0,112.0,0.0
july27,Mysuru,296.0,3163.0,73.0,896.0,2152.0,3.0,115.0,0.0
july28,Mysuru,220.0,3383.0,115.0,1011.0,2249.0,8.0,123.0,0.0
july29,Mysuru,200.0,3583.0,134.0,1145.0,2310.0,5.0,128.0,0.0
july30,Mysuru,430.0,4013.0,70.0,1215.0,2661.0,9.0,137.0,0.0
july31,Mysuru,204.0,4217.0,302.0,1517.0,2558.0,5.0,142.0,0.0
aug01,Mysuru,365.0,4582.0,74.0,1591.0,2840.0,9.0,151.0,0.0
aug02,Mysuru,238.0,4820.0,101.0,1692.0,2967.0,10.0,161.0,0.0
aug03,Mysuru,372.0,5192.0,374.0,2066.0,2952.0,13.0,174.0,0.0
aug04,Mysuru,662.0,5854.0,164.0,2230.0,3441.0,9.0,183.0,0.0
aug05,Mysuru,261.0,6115.0,112.0,2342.0,3579.0,11.0,194.0,0.0
aug06,Mysuru,361.0,6476.0,152.0,2494.0,3784.0,4.0,198.0,0.0
aug07,Mysuru,242.0,6718.0,168.0,2662.0,3843.0,15.0,213.0,0.0
aug08,Mysuru,138.0,6856.0,85.0,2747.0,3886.0,10.0,223.0,0.0
aug09,Mysuru,455.0,7311.0,461.0,3208.0,3868.0,12.0,235.0,0.0
aug10,Mysuru,374.0,7685.0,258.0,3466.0,3979.0,5.0,240.0,0.0
aug11,Mysuru,238.0,7923.0,647.0,4113.0,3559.0,11.0,251.0,0.0
aug12,Mysuru,544.0,8467.0,668.0,4781.0,3424.0,11.0,262.0,0.0
aug13,Mysuru,522.0,8989.0,637.0,5418.0,3297.0,12.0,274.0,0.0
aug14,Mysuru,291.0,9280.0,412.0,5830.0,3166.0,10.0,284.0,0.0
aug15,Mysuru,635.0,9915.0,259.0,6089.0,3532.0,10.0,294.0,0.0
aug16,Mysuru,620.0,10535.0,386.0,6475.0,3756.0,10.0,304.0,0.0
aug17,Mysuru,597.0,11132.0,289.0,6764.0,4059.0,5.0,309.0,0.0
aug18,Mysuru,357.0,11489.0,298.0,7062.0,4112.0,6.0,315.0,0.0
aug19,Mysuru,562.0,12051.0,240.0,7302.0,4429.0,5.0,320.0,0.0
aug20,Mysuru,253.0,12304.0,0.0,7302.0,4682.0,0.0,320.0,0.0
aug21,Mysuru,0.0,12304.0,0.0,7302.0,4682.0,0.0,320.0,0.0
aug22,Mysuru,0.0,12304.0,0.0,7302.0,4682.0,0.0,320.0,0.0
aug23,Mysuru,92.0,12396.0,0.0,7302.0,4774.0,0.0,320.0,0.0
aug24,Mysuru,202.0,12598.0,2240.0,9542.0,2711.0,25.0,345.0,0.0
aug25,Mysuru,1331#,13929.0,469.0,10011.0,3557.0,16.0,361.0,0.0
aug26,Mysuru,951.0,14880.0,645.0,10656.0,3843.0,20.0,381.0,0.0
