date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Others*,0.0,36.0,0.0,32.0,1.0,,3.0,0.0
july02,Others*,0.0,36.0,0.0,32.0,1.0,,3.0,0.0
july03,Others*,0.0,36.0,0.0,32.0,1.0,,3.0,0.0
july04,Others*,0.0,36.0,0.0,32.0,1.0,,3.0,0.0
july05,Others*,0.0,36.0,0.0,32.0,1.0,,3.0,0.0
july06,Others*,0.0,36.0,0.0,32.0,1.0,,3.0,0.0
july07,Others*,0.0,36.0,0.0,32.0,1.0,,3.0,0.0
july08,Others*,0.0,36.0,0.0,32.0,1.0,,3.0,0.0
july10,Others*,0.0,36.0,0.0,32.0,1.0,,3.0,0.0
july11,Others*,0.0,36.0,0.0,32.0,1.0,,3.0,0.0
july12,Others*,0.0,36.0,0.0,32.0,1.0,0.0,3.0,0.0
july13,Others*,0.0,36.0,0.0,32.0,1.0,0.0,3.0,0.0
july14,Others*,0.0,36.0,0.0,32.0,1.0,0.0,3.0,0.0
july15,Others*,0.0,36.0,0.0,32.0,1.0,0.0,3.0,0.0
july16,Others*,0.0,36.0,0.0,32.0,1.0,0.0,3.0,0.0
july17,Others*,0.0,36.0,0.0,32.0,1.0,0.0,3.0,0.0
july19,Others*,0.0,36.0,0.0,32.0,1.0,0.0,3.0,0.0
july20,Others*,0.0,36.0,0.0,32.0,1.0,0.0,3.0,0.0
july21,Others*,0.0,36.0,0.0,32.0,1.0,0.0,3.0,0.0
july22,Others*,0.0,36.0,0.0,32.0,1.0,0.0,3.0,0.0
july23,Others*,0.0,36.0,0.0,32.0,1.0,0.0,3.0,0.0
july24,Others*,0.0,36.0,0.0,32.0,1.0,0.0,3.0,0.0
july25,Others*,0.0,36.0,0.0,32.0,1.0,0.0,3.0,0.0
july26,Others*,0.0,36.0,0.0,32.0,1.0,0.0,3.0,0.0
july27,Others*,0.0,36.0,0.0,32.0,1.0,0.0,3.0,0.0
july28,Others*,0.0,36.0,0.0,32.0,1.0,0.0,3.0,0.0
july29,Others*,0.0,36.0,0.0,32.0,1.0,0.0,3.0,0.0
july30,Others*,0.0,36.0,0.0,32.0,1.0,0.0,3.0,0.0
july31,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug01,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug02,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug03,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug04,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug05,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug06,Others,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug07,Others,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug08,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug09,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug10,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug11,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug12,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug13,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug14,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug15,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug16,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug17,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug18,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug19,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug20,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug21,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug22,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug23,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug24,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug25,Others*,0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug26,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug27,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug28,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
aug29,Others*,0.0,36.0,0.0,33.0,0.0,0.0,3.0,0.0
