date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Raichuru,12.0,500.0,6.0,403.0,95.0,,2.0,0.0
july02,Raichuru,11.0,511.0,1.0,404.0,105.0,,2.0,0.0
july03,Raichuru,7.0,518.0,0.0,404.0,111.0,,3.0,0.0
july04,Raichuru,41.0,559.0,18.0,422.0,134.0,,3.0,0.0
july05,Raichuru,10.0,569.0,0.0,422.0,144.0,,3.0,0.0
july06,Raichuru,6.0,575.0,0.0,422.0,150.0,,3.0,0.0
july07,Raichuru,23.0,598.0,16.0,438.0,157.0,,3.0,0.0
july08,Raichuru,17.0,615.0,4.0,442.0,167.0,,6.0,0.0
july10,Raichuru,25.0,656.0,20.0,462.0,187.0,,7.0,0.0
july11,Raichuru,14.0,670.0,3.0,465.0,197.0,,8.0,0.0
july12,Raichuru,48.0,718.0,0.0,465.0,245.0,0.0,8.0,0.0
july13,Raichuru,45.0,763.0,10.0,475.0,280.0,0.0,8.0,0.0
july14,Raichuru,25.0,788.0,0.0,475.0,303.0,2.0,10.0,0.0
july15,Raichuru,26.0,814.0,8.0,483.0,319.0,2.0,12.0,0.0
july16,Raichuru,101.0,915.0,52.0,535.0,368.0,0.0,12.0,0.0
july17,Raichuru,33.0,948.0,8.0,543.0,392.0,1.0,13.0,0.0
july19,Raichuru,32.0,996.0,43.0,612.0,371.0,0.0,13.0,0.0
july20,Raichuru,3.0,999.0,9.0,621.0,365.0,0.0,13.0,0.0
july21,Raichuru,4.0,1003.0,59.0,680.0,310.0,0.0,13.0,0.0
july22,Raichuru,135.0,1138.0,12.0,692.0,431.0,2.0,15.0,0.0
july23,Raichuru,258.0,1396.0,27.0,719.0,660.0,2.0,17.0,0.0
july24,Raichuru,107.0,1503.0,32.0,751.0,734.0,1.0,18.0,0.0
july25,Raichuru,68.0,1571.0,43.0,794.0,759.0,0.0,18.0,0.0
july26,Raichuru,131.0,1702.0,22.0,816.0,868.0,0.0,18.0,0.0
july27,Raichuru,120.0,1822.0,142.0,958.0,844.0,2.0,20.0,0.0
july28,Raichuru,93.0,1915.0,131.0,1089.0,805.0,1.0,21.0,0.0
july29,Raichuru,73.0,1988.0,31.0,1120.0,845.0,2.0,23.0,0.0
july30,Raichuru,166.0,2154.0,191.0,1311.0,820.0,0.0,23.0,0.0
july31,Raichuru,119.0,2273.0,46.0,1356.0,892.0,2.0,25.0,0.0
aug01,Raichuru,109.0,2382.0,115.0,1471.0,886.0,0.0,25.0,0.0
aug02,Raichuru,212.0,2594.0,153.0,1624.0,943.0,2.0,27.0,0.0
aug03,Raichuru,115.0,2709.0,141.0,1765.0,916.0,1.0,28.0,0.0
aug04,Raichuru,144.0,2853.0,116.0,1881.0,942.0,2.0,30.0,0.0
aug05,Raichuru,91.0,2944.0,110.0,1991.0,921.0,2.0,32.0,0.0
aug06,Raichuru,181.0,3125.0,62.0,2053.0,1038.0,2.0,34.0,0.0
aug07,Raichuru,171.0,3296.0,73.0,2126.0,1134.0,2.0,36.0,0.0
aug08,Raichuru,295.0,3591.0,74.0,2200.0,1353.0,2.0,38.0,0.0
aug09,Raichuru,202.0,3793.0,117.0,2317.0,1436.0,2.0,40.0,0.0
aug10,Raichuru,165.0,3958.0,24.0,2341.0,1577.0,0.0,40.0,0.0
aug11,Raichuru,201.0,4159.0,49.0,2390.0,1727.0,2.0,42.0,0.0
aug12,Raichuru,191.0,4350.0,69.0,2459.0,1845.0,4.0,46.0,0.0
aug13,Raichuru,181.0,4531.0,373.0,2832.0,1650.0,3.0,49.0,0.0
aug14,Raichuru,220.0,4751.0,119.0,2951.0,1749.0,2.0,51.0,0.0
aug15,Raichuru,155.0,4906.0,109.0,3060.0,1792.0,3.0,54.0,0.0
aug16,Raichuru,183.0,5089.0,71.0,3131.0,1901.0,3.0,57.0,0.0
aug17,Raichuru,110.0,5199.0,142.0,3273.0,1866.0,3.0,60.0,0.0
aug18,Raichuru,171.0,5370.0,143.0,3416.0,1890.0,4.0,64.0,0.0
aug19,Raichuru,153.0,5523.0,159.0,3575.0,1882.0,2.0,66.0,0.0
aug20,Raichuru,111.0,5634.0,290.0,3865.0,1701.0,2.0,68.0,0.0
aug21,Raichuru,100.0,5734.0,292.0,4157.0,1506.0,3.0,71.0,0.0
aug22,Raichuru,52.0,5786.0,200.0,4357.0,1355.0,3.0,74.0,0.0
aug23,Raichuru,81.0,5867.0,171.0,4528.0,1263.0,2.0,76.0,0.0
aug24,Raichuru,183.0,6050.0,113.0,4641.0,1331.0,2.0,78.0,0.0
aug25,Raichuru,88,6138.0,180.0,4821.0,1239.0,0.0,78.0,0.0
aug26,Raichuru,136.0,6274.0,92.0,4913.0,1281.0,2.0,80.0,0.0
aug27,Raichuru,239.0,6513.0,79.0,4992.0,1440.0,1.0,81.0,0.0
aug28,Raichuru,178.0,6691.0,227.0,5219.0,1390.0,1.0,82.0,0.0
aug29,Raichuru,186.0,6877.0,116.0,5335.0,1458.0,2.0,84.0,0.0
aug30,Raichuru,147.0,7024.0,134.0,5469.0,1469.0,2.0,86.0,0.0
aug31,Raichuru,140.0,7164.0,194.0,5663.0,1413.0,2.0,88.0,0.0
sep01,Raichuru,245.0,7409.0,82.0,5745.0,1573.0,3.0,91.0,0.0
sep02,Raichuru,232.0,7641.0,147.0,5892.0,1655.0,3.0,94.0,0.0
sep03,Raichuru,161.0,7802.0,115.0,6007.0,1698.0,3.0,97.0,0.0
sep04,Raichuru,169.0,7971.0,121.0,6128.0,1743.0,3.0,100.0,0.0
sep06,Raichuru,187.0,8344.0,187.0,6434.0,1805.0,2.0,105.0,0.0
sep07,Raichuru,22.0,8366.0,150.0,6581.0,1678.0,2.0,107.0,0.0
sep08,Raichuru,209.0,8575.0,154.0,6735.0,1731.0,2.0,109.0,0.0
sep09,Raichuru,214,8789.0,176.0,6911.0,1766.0,3.0,112.0,0.0
sep10,Raichuru,107,8896.0,237.0,7148.0,1633.0,3.0,115.0,0.0
sep11,Raichuru,200.0,9096.0,206.0,7354.0,1625.0,2.0,117.0,0.0
sep12,Raichuru,131.0,9227.0,191.0,7545.0,1563.0,2.0,119.0,0.0
sep13,Raichuru,190.0,9417.0,136.0,7681.0,1615.0,2.0,121.0,0.0
sep14,Raichuru,51.0,9468.0,135.0,7816.0,1528.0,3.0,124.0,0.0
sep15,Raichuru,160.0,9628.0,145.0,7961.0,1540.0,3.0,127.0,0.0
sep16,Raichuru,193.0,9821.0,171.0,8132.0,1562.0,0.0,127.0,0.0
sep17,Raichuru,227.0,10048.0,0.0,8132.0,1789.0,0.0,127.0,0.0
sep18,Raichuru,116.0,10164.0,186.0,8318.0,1718.0,1.0,128.0,0.0
sep19,Raichuru,156.0,10320.0,139.0,8457.0,1734.0,1.0,129.0,0.0
sep20,Raichuru,132.0,10452.0,107.0,8564.0,1758.0,1.0,130.0,0.0
