date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Ramanagara,14.0,176.0,4.0,76.0,95.0,,5.0,0.0
july02,Ramanagara,39.0,215.0,0.0,76.0,134.0,,5.0,0.0
july03,Ramanagara,10.0,225.0,0.0,76.0,144.0,,5.0,0.0
july04,Ramanagara,2.0,227.0,0.0,76.0,146.0,,5.0,0.0
july05,Ramanagara,6.0,233.0,0.0,76.0,152.0,,5.0,0.0
july06,Ramanagara,11.0,244.0,27.0,103.0,136.0,,5.0,0.0
july07,Ramanagara,37.0,281.0,13.0,116.0,160.0,,5.0,0.0
july08,Ramanagara,34.0,315.0,0.0,116.0,192.0,,7.0,0.0
july10,Ramanagara,23.0,355.0,10.0,153.0,195.0,,7.0,0.0
july11,Ramanagara,30.0,385.0,0.0,153.0,224.0,,8.0,0.0
july12,Ramanagara,3.0,388.0,0.0,153.0,227.0,0.0,8.0,0.0
july13,Ramanagara,0.0,388.0,0.0,153.0,227.0,0.0,8.0,0.0
july14,Ramanagara,1.0,389.0,0.0,153.0,228.0,0.0,8.0,0.0
july15,Ramanagara,3.0,392.0,28.0,181.0,202.0,1.0,9.0,0.0
july16,Ramanagara,4.0,396.0,14.0,195.0,192.0,0.0,9.0,0.0
july17,Ramanagara,14.0,410.0,0.0,195.0,206.0,0.0,9.0,0.0
july19,Ramanagara,29.0,452.0,0.0,195.0,248.0,0.0,9.0,0.0
july20,Ramanagara,56.0,508.0,0.0,195.0,304.0,0.0,9.0,0.0
july21,Ramanagara,8.0,516.0,0.0,195.0,312.0,0.0,9.0,0.0
july22,Ramanagara,45.0,561.0,0.0,195.0,357.0,0.0,9.0,0.0
july23,Ramanagara,26.0,587.0,0.0,195.0,382.0,1.0,10.0,0.0
july24,Ramanagara,12.0,599.0,0.0,195.0,394.0,0.0,10.0,0.0
july25,Ramanagara,20.0,619.0,0.0,195.0,414.0,0.0,10.0,0.0
july26,Ramanagara,15.0,634.0,0.0,195.0,429.0,0.0,10.0,0.0
july27,Ramanagara,62.0,696.0,0.0,195.0,491.0,0.0,10.0,0.0
july28,Ramanagara,101.0,797.0,117.0,312.0,475.0,0.0,10.0,0.0
july29,Ramanagara,56.0,853.0,0.0,312.0,531.0,0.0,10.0,0.0
july30,Ramanagara,106.0,959.0,0.0,312.0,637.0,0.0,10.0,0.0
july31,Ramanagara,89.0,1048.0,0.0,312.0,725.0,1.0,11.0,0.0
aug01,Ramanagara,51.0,1099.0,0.0,312.0,776.0,0.0,11.0,0.0
aug02,Ramanagara,71.0,1170.0,93.0,405.0,754.0,0.0,11.0,0.0
aug03,Ramanagara,68.0,1238.0,0.0,405.0,822.0,0.0,11.0,0.0
aug04,Ramanagara,65.0,1303.0,259.0,664.0,628.0,0.0,11.0,0.0
aug05,Ramanagara,45.0,1348.0,14.0,678.0,659.0,0.0,11.0,0.0
aug06,Ramanagara,41.0,1389.0,12.0,690.0,688.0,0.0,11.0,0.0
aug07,Ramanagara,93.0,1482.0,66.0,756.0,715.0,0.0,11.0,0.0
aug08,Ramanagara,93.0,1575.0,32.0,788.0,774.0,2.0,13.0,0.0
aug09,Ramanagara,38.0,1613.0,0.0,788.0,812.0,0.0,13.0,0.0
aug10,Ramanagara,84.0,1697.0,119.0,907.0,775.0,2.0,15.0,0.0
aug11,Ramanagara,96.0,1793.0,185.0,1092.0,686.0,0.0,15.0,0.0
aug12,Ramanagara,63.0,1856.0,174.0,1266.0,575.0,0.0,15.0,0.0
aug13,Ramanagara,53.0,1909.0,22.0,1288.0,604.0,2.0,17.0,0.0
aug14,Ramanagara,87.0,1996.0,19.0,1307.0,672.0,0.0,17.0,0.0
aug15,Ramanagara,53.0,2049.0,103.0,1410.0,622.0,0.0,17.0,0.0
aug16,Ramanagara,32.0,2081.0,20.0,1430.0,634.0,0.0,17.0,0.0
aug17,Ramanagara,85.0,2166.0,32.0,1462.0,687.0,0.0,17.0,0.0
aug18,Ramanagara,115.0,2281.0,19.0,1481.0,783.0,0.0,17.0,0.0
aug19,Ramanagara,126.0,2407.0,120.0,1601.0,789.0,0.0,17.0,0.0
aug20,Ramanagara,27.0,2434.0,82.0,1683.0,734.0,0.0,17.0,0.0
aug21,Ramanagara,75.0,2509.0,43.0,1726.0,766.0,0.0,17.0,0.0
aug22,Ramanagara,54.0,2563.0,48.0,1774.0,772.0,0.0,17.0,0.0
aug23,Ramanagara,42.0,2605.0,40.0,1814.0,774.0,0.0,17.0,0.0
aug24,Ramanagara,49.0,2654.0,16.0,1830.0,804.0,3.0,20.0,0.0
aug25,Ramanagara,56,2710.0,26.0,1856.0,833.0,1.0,21.0,0.0
aug26,Ramanagara,47.0,2757.0,25.0,1881.0,855.0,0.0,21.0,0.0
aug27,Ramanagara,105.0,2862.0,94.0,1975.0,864.0,2.0,23.0,0.0
aug28,Ramanagara,87.0,2949.0,174.0,2149.0,776.0,1.0,24.0,0.0
aug29,Ramanagara,153.0,3102.0,195.0,2344.0,733.0,1.0,25.0,0.0
aug30,Ramanagara,114.0,3216.0,64.0,2408.0,781.0,2.0,27.0,0.0
aug31,Ramanagara,69.0,3285.0,11.0,2419.0,837.0,2.0,29.0,0.0
sep01,Ramanagara,105.0,3390.0,45.0,2464.0,896.0,1.0,30.0,0.0
sep02,Ramanagara,59.0,3449.0,51.0,2515.0,903.0,1.0,31.0,0.0
sep03,Ramanagara,67.0,3516.0,23.0,2538.0,947.0,0.0,31.0,0.0
sep04,Ramanagara,73.0,3589.0,43.0,2581.0,977.0,0.0,31.0,0.0
sep06,Ramanagara,68.0,3749.0,112.0,2828.0,887.0,0.0,34.0,0.0
sep07,Ramanagara,11.0,3760.0,143.0,2971.0,754.0,1.0,35.0,0.0
sep08,Ramanagara,28.0,3788.0,89.0,3060.0,692.0,1.0,36.0,0.0
sep09,Ramanagara,109,3897.0,78.0,3138.0,722.0,1.0,37.0,0.0
sep10,Ramanagara,126,4023.0,143.0,3281.0,705.0,0.0,37.0,0.0
sep11,Ramanagara,76.0,4099.0,163.0,3444.0,617.0,1.0,38.0,0.0
sep12,Ramanagara,81.0,4180.0,76.0,3520.0,622.0,0.0,38.0,0.0
sep13,Ramanagara,38.0,4218.0,73.0,3593.0,587.0,0.0,38.0,0.0
sep14,Ramanagara,113.0,4331.0,47.0,3640.0,652.0,1.0,39.0,0.0
sep15,Ramanagara,78.0,4409.0,86.0,3726.0,644.0,0.0,39.0,0.0
sep16,Ramanagara,62.0,4471.0,44.0,3770.0,657.0,5.0,44.0,0.0
sep17,Ramanagara,42.0,4513.0,0.0,3770.0,699.0,0.0,44.0,0.0
sep18,Ramanagara,70.0,4583.0,127.0,3897.0,642.0,0.0,44.0,0.0
sep19,Ramanagara,47.0,4630.0,44.0,3941.0,645.0,0.0,44.0,0.0
sep20,Ramanagara,57.0,4687.0,47.0,3988.0,655.0,0.0,44.0,0.0
sep21,Ramanagara,27.0,4714.0,64.0,4052.0,618.0,0.0,44.0,0.0
sep22,Ramanagara,33.0,4747.0,18.0,4070.0,633.0,0.0,44.0,0.0
sep23,Ramanagara,57.0,4804.0,15.0,4085.0,675.0,0.0,44.0,0.0
sep24,Ramanagara,12.0,4816.0,42.0,4127.0,645.0,0.0,44.0,0.0
sep25,Ramanagara,49.0,4865.0,19.0,4146.0,675.0,0.0,44.0,0.0
sep26,Ramanagara,73.0,4938.0,72.0,4218.0,674.0,2.0,46.0,0.0
sep27,Ramanagara,79.0,5017.0,69.0,4287.0,684.0,0.0,46.0,0.0
sep28,Ramanagara,75.0,5092.0,49.0,4336.0,710.0,0.0,46.0,0.0
sep29,Ramanagara,10.0,5102.0,86.0,4422.0,633.0,1.0,47.0,0.0
sep30,Ramanagara,44.0,5146.0,70.0,4492.0,607.0,0.0,47.0,0.0
oct01,Ramanagara,74,5220.0,21.0,4513.0,659.0,1.0,48.0,0.0
oct02,Ramanagara,150,5370.0,15.0,4528.0,794.0,0.0,48.0,0.0
oct03,Ramanagara,58,5428.0,92.0,4620.0,760.0,0.0,48.0,0.0
oct04,Ramanagara,182,5610.0,37.0,4657.0,905.0,0.0,48.0,0.0
oct05,Ramanagara,89,5699.0,152.0,4809.0,840.0,2.0,50.0,0.0
oct06,Ramanagara,111,5810.0,56.0,4865.0,893.0,2.0,52.0,0.0
oct07,Ramanagara,77,5887.0,92.0,4957.0,875.0,3.0,55.0,0.0
oct08,Ramanagara,91,5978.0,86.0,5043.0,879.0,1.0,56.0,0.0
oct09,Ramanagara,125,6103.0,96.0,5139.0,908.0,0.0,56.0,0.0
oct10,Ramanagara,68,6171.0,52.0,5191.0,924.0,0.0,56.0,0.0
oct11,Ramanagara,24,6195.0,52.0,5243.0,896.0,0.0,56.0,0.0
oct12,Ramanagara,53,6248.0,211.0,5454.0,736.0,2.0,58.0,0.0
oct13,Ramanagara,59,6307.0,135.0,5589.0,657.0,3.0,61.0,0.0
oct14,Ramanagara,42,6349.0,101.0,5690.0,598.0,0.0,61.0,0.0
oct15,Ramanagara,79,6428.0,108.0,5798.0,569.0,0.0,61.0,0.0
oct16,Ramanagara,75,6503.0,100.0,5898.0,544.0,0.0,61.0,0.0
oct17,Ramanagara,25,6528.0,107.0,6005.0,461.0,1.0,62.0,0.0
oct18,Ramanagara,32,6560.0,47.0,6052.0,446.0,0.0,62.0,0.0
oct19,Ramanagara,11,6571.0,44.0,6096.0,412.0,1.0,63.0,0.0
oct20,Ramanagara,23,6594.0,49.0,6145.0,385.0,1.0,64.0,0.0
oct21,Ramanagara,23,6617.0,372.0,6517.0,35.0,1.0,65.0,0.0
oct22,Ramanagara***,16,6633.0,50.0,6234.0,333.0,1.0,66.0,0.0
oct24,Ramanagara,22,6666.0,45.0,6332.0,268.0,0.0,66.0,0.0
oct25,Ramanagara,23,6689.0,28.0,6360.0,263.0,0.0,66.0,0.0
oct26,Ramanagara,10,6699.0,20.0,6380.0,252.0,1.0,67.0,0.0
oct27,Ramanagara,27,6726.0,42.0,6422.0,237.0,0.0,67.0,0.0
oct28,Ramanagara,17,6743.0,15.0,6437.0,237.0,2.0,69.0,0.0
oct29,Ramanagara,48,6791.0,42.0,6479.0,242.0,1.0,70.0,0.0
oct30,Ramanagara,9,6800.0,20.0,6499.0,231.0,0.0,70.0,0.0
oct31,Ramanagara,12,6812.0,10.0,6509.0,232.0,1.0,71.0,0.0
dec01,Ramanagara,5,7240.0,6.0,7097.0,68.0,0.0,75.0,0.0
