date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Shivamogga,3.0,176.0,0.0,109.0,65.0,,2.0,0.0
july02,Shivamogga,23.0,199.0,8.0,117.0,80.0,,2.0,0.0
july03,Shivamogga,23.0,222.0,0.0,117.0,101.0,,4.0,0.0
july04,Shivamogga,31.0,253.0,0.0,117.0,132.0,,4.0,0.0
july05,Shivamogga,8.0,261.0,0.0,117.0,140.0,,4.0,0.0
july06,Shivamogga,24.0,285.0,8.0,125.0,156.0,,4.0,0.0
july07,Shivamogga,33.0,318.0,12.0,137.0,177.0,,4.0,0.0
july08,Shivamogga,17.0,335.0,4.0,141.0,190.0,,4.0,0.0
july10,Shivamogga,6.0,378.0,28.0,169.0,205.0,,4.0,0.0
july11,Shivamogga,26.0,404.0,0.0,169.0,228.0,,7.0,0.0
july12,Shivamogga,42.0,446.0,28.0,197.0,242.0,0.0,7.0,0.0
july13,Shivamogga,74.0,520.0,0.0,197.0,313.0,3.0,10.0,0.0
july14,Shivamogga,10.0,530.0,32.0,229.0,291.0,0.0,10.0,0.0
july15,Shivamogga,29.0,559.0,9.0,238.0,310.0,1.0,11.0,0.0
july16,Shivamogga,46.0,605.0,28.0,266.0,328.0,0.0,11.0,0.0
july17,Shivamogga,10.0,615.0,0.0,266.0,338.0,0.0,11.0,0.0
july19,Shivamogga,104.0,833.0,27.0,293.0,528.0,0.0,12.0,0.0
july20,Shivamogga,19.0,852.0,0.0,293.0,546.0,1.0,13.0,0.0
july21,Shivamogga,20.0,872.0,108.0,401.0,458.0,0.0,13.0,0.0
july22,Shivamogga,59.0,931.0,0.0,401.0,517.0,0.0,13.0,0.0
july23,Shivamogga,82.0,1013.0,23.0,424.0,574.0,2.0,15.0,0.0
july24,Shivamogga,67.0,1080.0,0.0,424.0,638.0,3.0,18.0,0.0
july25,Shivamogga,42.0,1122.0,0.0,424.0,678.0,2.0,20.0,0.0
july26,Shivamogga,39.0,1161.0,67.0,491.0,649.0,1.0,21.0,0.0
july27,Shivamogga,76.0,1237.0,0.0,491.0,724.0,1.0,22.0,0.0
july28,Shivamogga,54.0,1291.0,61.0,552.0,717.0,0.0,22.0,0.0
july29,Shivamogga,131.0,1422.0,30.0,582.0,818.0,0.0,22.0,0.0
july30,Shivamogga,143.0,1565.0,0.0,582.0,960.0,1.0,23.0,0.0
july31,Shivamogga,158.0,1723.0,0.0,575.0,1121.0,4.0,27.0,0.0
aug01,Shivamogga,119.0,1842.0,131.0,706.0,1105.0,4.0,31.0,0.0
aug02,Shivamogga,99.0,1941.0,26.0,732.0,1174.0,4.0,35.0,0.0
aug03,Shivamogga,155.0,2096.0,0.0,732.0,1329.0,0.0,35.0,0.0
aug04,Shivamogga,15.0,2111.0,43.0,775.0,1297.0,4.0,39.0,0.0
aug05,Shivamogga,35.0,2146.0,41.0,816.0,1285.0,6.0,45.0,0.0
aug06,Shivamogga,292.0,2438.0,99.0,915.0,1475.0,3.0,48.0,0.0
aug07,Shivamogga,151.0,2589.0,135.0,1050.0,1490.0,1.0,49.0,0.0
aug08,Shivamogga,73.0,2662.0,79.0,1129.0,1483.0,1.0,50.0,0.0
aug09,Shivamogga,149.0,2811.0,27.0,1156.0,1603.0,2.0,52.0,0.0
aug10,Shivamogga,0.0,2811.0,56.0,1212.0,1544.0,3.0,55.0,0.0
aug11,Shivamogga,189.0,3000.0,453.0,1665.0,1280.0,0.0,55.0,0.0
aug12,Shivamogga,69.0,3069.0,159.0,1824.0,1186.0,4.0,59.0,0.0
aug13,Shivamogga,105.0,3174.0,153.0,1977.0,1138.0,0.0,59.0,0.0
aug14,Shivamogga,413.0,3587.0,74.0,2051.0,1474.0,3.0,62.0,0.0
aug15,Shivamogga,133.0,3720.0,90.0,2141.0,1512.0,5.0,67.0,0.0
aug16,Shivamogga,1.0,3721.0,6.0,2147.0,1505.0,2.0,69.0,0.0
