date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Tumakuru,19.0,113.0,10.0,49.0,59.0,,5.0,0.0
july02,Tumakuru,26.0,139.0,0.0,49.0,84.0,,6.0,0.0
july03,Tumakuru,57.0,196.0,0.0,49.0,141.0,,6.0,0.0
july04,Tumakuru,12.0,208.0,11.0,60.0,142.0,,6.0,0.0
july05,Tumakuru,13.0,221.0,1.0,61.0,153.0,,7.0,0.0
july06,Tumakuru,31.0,252.0,0.0,61.0,183.0,,8.0,0.0
july07,Tumakuru,16.0,268.0,6.0,67.0,193.0,,8.0,0.0
july08,Tumakuru,24.0,292.0,1.0,68.0,214.0,,10.0,0.0
july10,Tumakuru,10.0,329.0,0.0,85.0,233.0,,11.0,0.0
july11,Tumakuru,78.0,407.0,0.0,85.0,309.0,,13.0,0.0
july12,Tumakuru,26.0,433.0,0.0,85.0,334.0,1.0,14.0,0.0
july13,Tumakuru,48.0,481.0,40.0,125.0,341.0,1.0,15.0,0.0
july14,Tumakuru,47.0,528.0,22.0,147.0,366.0,0.0,15.0,0.0
july15,Tumakuru,24.0,552.0,25.0,172.0,364.0,1.0,16.0,0.0
july16,Tumakuru,12.0,564.0,23.0,195.0,353.0,0.0,16.0,0.0
july17,Tumakuru,36.0,600.0,0.0,195.0,388.0,1.0,17.0,0.0
july19,Tumakuru,19.0,643.0,0.0,230.0,391.0,2.0,22.0,0.0
july20,Tumakuru,55.0,698.0,18.0,248.0,427.0,1.0,23.0,0.0
july21,Tumakuru,47.0,745.0,32.0,280.0,439.0,3.0,26.0,0.0
july22,Tumakuru,52.0,797.0,0.0,280.0,489.0,2.0,28.0,0.0
july23,Tumakuru,56.0,853.0,17.0,297.0,526.0,2.0,30.0,0.0
july24,Tumakuru,59.0,912.0,9.0,306.0,571.0,5.0,35.0,0.0
july25,Tumakuru,27.0,939.0,6.0,312.0,591.0,1.0,36.0,0.0
july26,Tumakuru,46.0,985.0,0.0,312.0,632.0,5.0,41.0,0.0
july27,Tumakuru,89.0,1074.0,15.0,327.0,706.0,0.0,41.0,0.0
july28,Tumakuru,207.0,1281.0,57.0,384.0,855.0,1.0,42.0,0.0
july29,Tumakuru,128.0,1409.0,11.0,395.0,969.0,3.0,45.0,0.0
july30,Tumakuru,104.0,1513.0,60.0,455.0,1012.0,1.0,46.0,0.0
july31,Tumakuru,95.0,1608.0,9.0,464.0,1094.0,4.0,50.0,0.0
aug01,Tumakuru,99.0,1707.0,225.0,689.0,966.0,2.0,52.0,0.0
aug02,Tumakuru,35.0,1742.0,150.0,839.0,851.0,0.0,52.0,0.0
aug03,Tumakuru,122.0,1864.0,20.0,859.0,950.0,3.0,55.0,0.0
aug04,Tumakuru,78.0,1942.0,59.0,918.0,968.0,1.0,56.0,0.0
aug05,Tumukuru,31.0,1973.0,9.0,927.0,986.0,4.0,60.0,0.0
aug06,Tumakuru,160.0,2133.0,13.0,940.0,1128.0,5.0,65.0,0.0
aug07,Tumakuru,76.0,2209.0,31.0,971.0,1173.0,0.0,65.0,0.0
aug08,Tumakuru,177.0,2386.0,57.0,1028.0,1291.0,2.0,67.0,0.0
aug09,Tumakuru,78.0,2464.0,23.0,1051.0,1342.0,4.0,71.0,0.0
aug10,Tumakuru,98.0,2562.0,148.0,1199.0,1287.0,5.0,76.0,0.0
aug11,Tumakuru,89.0,2651.0,56.0,1255.0,1319.0,1.0,77.0,0.0
aug12,Tumakuru,121.0,2772.0,23.0,1278.0,1411.0,6.0,83.0,0.0
aug13,Tumakuru,85.0,2857.0,29.0,1307.0,1464.0,3.0,86.0,0.0
aug14,Tumakuru,185.0,3042.0,273.0,1580.0,1374.0,2.0,88.0,0.0
aug15,Tumakuru,161.0,3203.0,208.0,1788.0,1325.0,2.0,90.0,0.0
aug16,Tumakuru,169.0,3372.0,91.0,1879.0,1398.0,5.0,95.0,0.0
aug17,Tumakuru,130.0,3502.0,212.0,2091.0,1314.0,2.0,97.0,0.0
aug18,Tumakuru,46.0,3548.0,159.0,2250.0,1197.0,4.0,101.0,0.0
aug19,Tumakuru,94.0,3642.0,42.0,2292.0,1244.0,5.0,106.0,0.0
aug20,Tumakuru,138.0,3780.0,77.0,2369.0,1304.0,1.0,107.0,0.0
aug21,Tumakuru,136.0,3916.0,264.0,2633.0,1173.0,3.0,110.0,0.0
aug22,Tumakuru,103.0,4019.0,79.0,2712.0,1191.0,6.0,116.0,0.0
aug23,Tumakuru,112.0,4131.0,55.0,2767.0,1243.0,5.0,121.0,0.0
aug24,Tumakuru,85.0,4216.0,57.0,2824.0,1267.0,4.0,125.0,0.0
aug25,Tumakuru,223,4439.0,167.0,2991.0,1319.0,4.0,129.0,0.0
aug26,Tumakuru,88.0,4527.0,70.0,3061.0,1334.0,3.0,132.0,0.0
aug27,Tumakuru,127.0,4654.0,126.0,3187.0,1332.0,3.0,135.0,0.0
aug28,Tumakuru,250.0,4904.0,36.0,3223.0,1542.0,4.0,139.0,0.0
aug29,Tumakuru,138.0,5042.0,143.0,3366.0,1532.0,5.0,144.0,0.0
aug30,Tumakuru,314.0,5356.0,193.0,3559.0,1651.0,2.0,146.0,0.0
aug31,Tumakuru,316.0,5672.0,156.0,3715.0,1808.0,3.0,149.0,0.0
sep01,Tumakuru,327.0,5999.0,233.0,3948.0,1899.0,3.0,152.0,0.0
sep02,Tumakuru,357.0,6356.0,168.0,4116.0,2085.0,3.0,155.0,0.0
sep03,Tumakuru,132.0,6488.0,530.0,4646.0,1684.0,3.0,158.0,0.0
sep04,Tumakuru,424.0,6912.0,142.0,4788.0,1962.0,4.0,162.0,0.0
sep06,Tumakuru,304.0,7408.0,117.0,5018.0,2223.0,3.0,167.0,0.0
sep07,Tumakuru,25.0,7433.0,74.0,5093.0,2171.0,2.0,169.0,0.0
sep08,Tumakuru,153.0,7586.0,207.0,5300.0,2111.0,6.0,175.0,0.0
sep09,Tumakuru,242,7828.0,85.0,5385.0,2263.0,5.0,180.0,0.0
sep10,Tumakuru,365,8193.0,279.0,5664.0,2347.0,2.0,182.0,0.0
sep11,Tumakuru,395.0,8588.0,136.0,5800.0,2604.0,2.0,184.0,0.0
sep12,Tumakuru,304.0,8892.0,479.0,6279.0,2428.0,1.0,185.0,0.0
sep13,Tumakuru,294.0,9186.0,191.0,6470.0,2528.0,3.0,188.0,0.0
sep14,Tumakuru,192.0,9378.0,248.0,6718.0,2466.0,6.0,194.0,0.0
sep15,Tumakuru,223.0,9601.0,0.0,6718.0,2684.0,5.0,199.0,0.0
sep16,Tumakuru,401.0,10002.0,380.0,7098.0,2703.0,5.0,201.0,0.0
sep17,Tumakuru,381.0,10383.0,0.0,7098.0,3084.0,0.0,201.0,0.0
sep18,Tumakuru,208.0,10591.0,376.0,7474.0,2913.0,3.0,204.0,0.0
sep19,Tumakuru,159.0,10750.0,113.0,7587.0,2955.0,4.0,208.0,0.0
sep20,Tumakuru,244.0,10994.0,201.0,7788.0,2997.0,1.0,209.0,0.0
sep21,Tumakuru,300.0,11294.0,269.0,8057.0,3025.0,3.0,212.0,0.0
sep22,Tumakuru,240.0,11534.0,312.0,8369.0,2949.0,4.0,216.0,0.0
sep23,Tumakuru,90.0,11624.0,0.0,8369.0,3039.0,0.0,216.0,0.0
sep24,Tumakuru,99.0,11723.0,130.0,8499.0,3008.0,0.0,216.0,0.0
sep25,Tumakuru,176.0,11899.0,63.0,8562.0,3119.0,2.0,218.0,0.0
sep26,Tumakuru,141.0,12040.0,33.0,8595.0,3225.0,2.0,220.0,0.0
sep27,Tumakuru,282.0,12322.0,82.0,8677.0,3420.0,5.0,225.0,0.0
sep28,Tumakuru,187.0,12509.0,100.0,8777.0,3503.0,4.0,229.0,0.0
sep29,Tumakuru,297.0,12806.0,519.0,9296.0,3278.0,3.0,232.0,0.0
sep30,Tumakuru,362.0,13168.0,142.0,9438.0,3495.0,3.0,235.0,0.0
oct01,Tumakuru,274,13442.0,267.0,9705.0,3494.0,8.0,243.0,0.0
oct02,Tumakuru,405,13847.0,383.0,10088.0,3508.0,8.0,251.0,0.0
oct03,Tumakuru,302,14149.0,963.0,11051.0,2841.0,6.0,257.0,0.0
oct04,Tumakuru,245,14394.0,347.0,11398.0,2736.0,3.0,260.0,0.0
oct05,Tumakuru,294,14688.0,209.0,11607.0,2817.0,4.0,264.0,0.0
oct06,Tumakuru,475,15163.0,306.0,11913.0,2983.0,3.0,267.0,0.0
oct07,Tumakuru,250,15413.0,215.0,12128.0,3013.0,5.0,272.0,0.0
oct08,Tumakuru,509,15922.0,292.0,12420.0,3225.0,5.0,277.0,0.0
oct09,Tumakuru,366,16288.0,231.0,12651.0,3354.0,6.0,283.0,0.0
oct10,Tumakuru,374,16662.0,405.0,13056.0,3319.0,4.0,287.0,0.0
oct11,Tumakuru,285,16947.0,1072.0,14128.0,2529.0,3.0,290.0,0.0
oct12,Tumakuru,264,17211.0,165.0,14293.0,2627.0,1.0,291.0,0.0
oct13,Tumakuru,391,17602.0,106.0,14399.0,2905.0,7.0,298.0,0.0
oct14,Tumakuru,341,17943.0,168.0,14567.0,3074.0,4.0,302.0,0.0
oct15,Tumakuru,252,18195.0,182.0,14749.0,3141.0,3.0,305.0,0.0
oct16,Tumakuru,173,18368.0,143.0,14892.0,3167.0,4.0,309.0,0.0
oct17,Tumakuru,281,18649.0,117.0,15009.0,3327.0,4.0,313.0,0.0
oct18,Tumakuru,99,18748.0,125.0,15134.0,3300.0,1.0,314.0,0.0
oct19,Tumakuru,253,19001.0,658.0,15792.0,2892.0,3.0,317.0,0.0
oct20,Tumakuru,327,19328.0,209.0,16001.0,3009.0,1.0,318.0,0.0
oct21,Tumakuru,143,19471.0,479.0,16480.0,2669.0,4.0,322.0,0.0
oct22,Tumakuru,184,19655.0,282.0,16762.0,2569.0,2.0,324.0,0.0
oct24,Tumakuru,232,19987.0,207.0,17223.0,2435.0,1.0,329.0,0.0
oct25,Tumakuru,141,20128.0,155.0,17378.0,2420.0,1.0,330.0,0.0
oct26,Tumakuru,57,20185.0,283.0,17661.0,2193.0,1.0,331.0,0.0
oct27,Tumakuru,92,20277.0,219.0,17880.0,2065.0,1.0,332.0,0.0
oct28,Tumakuru,129,20406.0,265.0,18145.0,1928.0,1.0,333.0,0.0
oct29,Tumakuru,136,20542.0,223.0,18368.0,1839.0,2.0,335.0,0.0
oct30,Tumakuru,132,20674.0,203.0,18571.0,1765.0,3.0,338.0,0.0
oct31,Tumakuru,53,20727.0,209.0,18780.0,1608.0,1.0,339.0,0.0
dec01,Tumakuru,49,23353.0,110.0,22599.0,386.0,0.0,368.0,0.0
dec02,Tumakuru,80,23433.0,34.0,22633.0,432.0,0.0,368.0,0.0
dec03,Tumakuru,68,23501.0,41.0,22674.0,459.0,0.0,368.0,0.0
dec04,Tumakuru,73,23574.0,50.0,22724.0,480.0,2.0,370.0,0.0
dec05,Tumakuru,44,23618.0,32.0,22756.0,492.0,0.0,370.0,0.0
dec06,Tumakuru,52,23670.0,32.0,22788.0,512.0,0.0,370.0,0.0
dec07,Tumakuru,32,23702.0,78.0,22866.0,466.0,0.0,370.0,0.0
dec08,Tumakuru,46,23748.0,47.0,22913.0,465.0,0.0,370.0,0.0
dec09,Tumakuru,33,23781.0,27.0,22940.0,470.0,1.0,371.0,0.0
dec10,Tumakuru,36,23817.0,44.0,22984.0,462.0,0.0,371.0,0.0
dec11,Tumakuru,27,23844.0,29.0,23013.0,458.0,2.0,373.0,0.0
dec12,Tumakuru,30,23874.0,39.0,23052.0,448.0,1.0,374.0,0.0
dec13,Tumakuru,28,23902.0,30.0,23082.0,446.0,0.0,374.0,0.0
dec14,Tumakuru,36,23938.0,35.0,23117.0,447.0,0.0,374.0,0.0
dec15,Tumakuru,44,23982.0,35.0,23152.0,455.0,1.0,375.0,0.0
dec16,Tumakuru,57,24039.0,52.0,23204.0,460.0,0.0,375.0,0.0
dec17,Tumakuru,57,24096.0,71.0,23275.0,446.0,0.0,375.0,0.0
dec18,Tumakuru,43,24139.0,82.0,23357.0,406.0,1.0,376.0,0.0
dec19,Tumakuru,25,24164.0,23.0,23380.0,408.0,0.0,376.0,0.0
dec20,Tumakuru,39,24203.0,38.0,23418.0,409.0,0.0,376.0,0.0
dec21,Tumakuru,10,24213.0,42.0,23460.0,377.0,0.0,376.0,0.0
dec22,Tumakuru,47,24260.0,35.0,23495.0,389.0,0.0,376.0,0.0
dec23,Tumakuru,50,24310.0,40.0,23535.0,398.0,1.0,377.0,0.0
dec24,Tumakuru,40,24350.0,34.0,23569.0,404.0,0.0,377.0,0.0
dec25,Tumakuru,19,24369.0,50.0,23619.0,373.0,0.0,377.0,0.0
dec26,Tumakuru,32,24401.0,31.0,23650.0,374.0,0.0,377.0,0.0
dec27,Tumakuru,20,24421.0,30.0,23680.0,364.0,0.0,377.0,0.0
dec28,Tumakuru,20,24441.0,51.0,23731.0,333.0,0.0,377.0,0.0
dec29,Tumakuru,38,24479.0,35.0,23766.0,336.0,0.0,377.0,0.0
dec30,Tumakuru,28,24507.0,23.0,23789.0,341.0,0.0,377.0,0.0
dec31,Tumakuru,28,24535.0,26.0,23815.0,343.0,0.0,377.0,0.0
jan01,Tumakuru,32,24567.0,24.0,23839.0,351.0,0.0,377.0,0.0
jan02,Tumakuru,20,24587.0,48.0,23887.0,322.0,1.0,378.0,0.0
jan03,Tumakuru,20,24607.0,54.0,23941.0,287.0,1.0,379.0,0.0
jan04,Tumakuru,8,24615.0,46.0,23987.0,249.0,0.0,379.0,0.0
jan05,Tumakuru,27,24642.0,48.0,24035.0,228.0,0.0,379.0,0.0
jan06,Tumakuru,11,24653.0,15.0,24050.0,223.0,1.0,380.0,0.0
jan07,Tumakuru,25,24678.0,17.0,24067.0,230.0,1.0,381.0,0.0
jan08,Tumakuru,39,24717.0,43.0,24110.0,226.0,0.0,381.0,0.0
jan09,Tumakuru,15,24732.0,22.0,24132.0,219.0,0.0,381.0,0.0
jan10,Tumakuru,16,24748.0,29.0,24161.0,205.0,1.0,382.0,0.0
jan11,Tumakuru,12,24760.0,37.0,24198.0,180.0,0.0,382.0,0.0
jan12,Tumakuru,20,24780.0,20.0,24218.0,179.0,1.0,383.0,0.0
jan13,Tumakuru,12,24792.0,22.0,24240.0,169.0,0.0,383.0,0.0
jan14,Tumakuru,8,24800.0,24.0,24264.0,153.0,0.0,383.0,0.0
jan15,Tumakuru,29,24829.0,10.0,24274.0,172.0,0.0,383.0,0.0
jan16,Tumakuru,35,24864.0,33.0,24307.0,174.0,0.0,383.0,0.0
