date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Udupi,22.0,1228.0,2.0,1058.0,168.0,,2.0,0.0
july02,Udupi,14.0,1242.0,21.0,1079.0,160.0,,3.0,0.0
july03,Udupi,16.0,1258.0,14.0,1093.0,162.0,,3.0,0.0
july04,Udupi,18.0,1276.0,10.0,1103.0,170.0,,3.0,0.0
july05,Udupi,45.0,1321.0,22.0,1125.0,193.0,,3.0,0.0
july06,Udupi,40.0,1361.0,18.0,1143.0,215.0,,3.0,0.0
july07,Udupi,28.0,1389.0,28.0,1171.0,215.0,,3.0,0.0
july08,Udupi,31.0,1420.0,7.0,1178.0,239.0,,3.0,0.0
july10,Udupi,34.0,1476.0,7.0,1213.0,260.0,,3.0,0.0
july11,Udupi,90.0,1566.0,21.0,1234.0,329.0,,3.0,0.0
july12,Udupi,43.0,1609.0,28.0,1262.0,344.0,0.0,3.0,0.0
july13,Udupi,53.0,1662.0,7.0,1269.0,390.0,0.0,3.0,0.0
july14,Udupi,73.0,1735.0,80.0,1349.0,383.0,0.0,3.0,0.0
july15,Udupi,52.0,1787.0,22.0,1371.0,413.0,0.0,3.0,0.0
july16,Udupi,113.0,1900.0,80.0,1451.0,446.0,0.0,3.0,0.0
july17,Udupi,80.0,1980.0,81.0,1532.0,442.0,3.0,6.0,0.0
july19,Udupi,134.0,2223.0,42.0,1617.0,597.0,1.0,9.0,0.0
july20,Udupi,98.0,2321.0,0.0,1617.0,694.0,1.0,10.0,0.0
july21,Udupi,84.0,2405.0,114.0,1731.0,664.0,0.0,10.0,0.0
july22,Udupi,281.0,2686.0,34.0,1765.0,910.0,1.0,11.0,0.0
july23,Udupi,160.0,2846.0,65.0,1830.0,1005.0,0.0,11.0,0.0
july24,Udupi,190.0,3036.0,88.0,1918.0,1104.0,3.0,14.0,0.0
july25,Udupi,182.0,3218.0,79.0,1997.0,1207.0,0.0,14.0,0.0
july26,Udupi,169.0,3387.0,125.0,2122.0,1251.0,0.0,14.0,0.0
july27,Udupi,225.0,3612.0,51.0,2173.0,1425.0,0.0,14.0,0.0
july28,Udupi,109.0,3721.0,55.0,2228.0,1472.0,7.0,21.0,0.0
july29,Udupi,173.0,3894.0,83.0,2311.0,1558.0,4.0,25.0,0.0
july30,Udupi,248.0,4142.0,61.0,2372.0,1741.0,4.0,29.0,0.0
july31,Udupi,213.0,4355.0,54.0,2428.0,1898.0,0.0,29.0,0.0
aug01,Udupi,136.0,4491.0,100.0,2528.0,1928.0,6.0,35.0,0.0
aug02,Udupi,182.0,4673.0,78.0,2606.0,2032.0,0.0,35.0,0.0
aug03,Udupi,126.0,4799.0,122.0,2728.0,2035.0,1.0,36.0,0.0
aug04,Udupi,170.0,4969.0,161.0,2889.0,2038.0,6.0,42.0,0.0
aug05,Udupi,173.0,5142.0,89.0,2978.0,2120.0,2.0,44.0,0.0
aug06,Udupi,217.0,5359.0,80.0,3058.0,2251.0,6.0,50.0,0.0
aug07,Udupi,246.0,5605.0,103.0,3161.0,2389.0,5.0,55.0,0.0
aug08,Udupi,313.0,5918.0,99.0,3260.0,2598.0,5.0,60.0,0.0
aug09,Udupi,282.0,6200.0,85.0,3345.0,2795.0,0.0,60.0,0.0
aug10,Udupi,90.0,6290.0,117.0,3462.0,2762.0,6.0,66.0,0.0
aug11,Udupi,219.0,6509.0,161.0,3623.0,2820.0,0.0,66.0,0.0
aug12,Udupi,263.0,6772.0,225.0,3848.0,2855.0,3.0,69.0,0.0
