date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Uttara Kannada,23.0,276.0,0.0,143.0,133.0,,0.0,0.0
july02,Uttara Kannada,17.0,293.0,0.0,143.0,149.0,,1.0,0.0
july03,Uttara Kannada,5.0,298.0,8.0,151.0,146.0,,1.0,0.0
july04,Uttara Kannada,35.0,333.0,8.0,159.0,173.0,,1.0,0.0
july05,Uttara Kannada,21.0,354.0,0.0,159.0,194.0,,1.0,0.0
july06,Uttara Kannada,81.0,435.0,6.0,165.0,269.0,,1.0,0.0
july07,Uttara Kannada,35.0,470.0,5.0,170.0,299.0,,1.0,0.0
july08,Uttara Kannada,19.0,489.0,2.0,172.0,316.0,,1.0,0.0
july10,Uttara Kannada,33.0,545.0,10.0,220.0,322.0,,3.0,0.0
july11,Uttara Kannada,40.0,585.0,7.0,227.0,354.0,,4.0,0.0
july12,Uttara Kannada,12.0,597.0,0.0,227.0,366.0,0.0,4.0,0.0
july13,Uttara Kannada,37.0,634.0,27.0,254.0,375.0,1.0,5.0,0.0
july14,Uttara Kannada,64.0,698.0,7.0,261.0,432.0,0.0,5.0,0.0
july15,Uttara Kannada,48.0,746.0,47.0,308.0,430.0,3.0,8.0,0.0
july16,Uttara Kannada,79.0,825.0,7.0,315.0,502.0,0.0,8.0,0.0
july17,Uttara Kannada,75.0,900.0,6.0,321.0,569.0,2.0,10.0,0.0
july19,Uttara Kannada,69.0,1085.0,98.0,443.0,632.0,0.0,10.0,0.0
july20,Uttara Kannada,78.0,1163.0,40.0,483.0,670.0,0.0,10.0,0.0
july21,Uttara Kannada,109.0,1272.0,35.0,518.0,744.0,0.0,10.0,0.0
july22,Uttara Kannada,63.0,1335.0,96.0,614.0,708.0,3.0,13.0,0.0
july23,Uttara Kannada,83.0,1418.0,84.0,698.0,707.0,0.0,13.0,0.0
july24,Uttara Kannada,88.0,1506.0,53.0,751.0,741.0,1.0,14.0,0.0
