date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Vijayapura,28.0,427.0,3.0,308.0,110.0,,9.0,0.0
july02,Vijayapura,39.0,466.0,14.0,322.0,135.0,,9.0,0.0
july03,Vijayapura,4.0,470.0,28.0,350.0,109.0,,11.0,0.0
july04,Vijayapura,37.0,507.0,24.0,374.0,122.0,,11.0,0.0
july05,Vijayapura,51.0,558.0,30.0,404.0,143.0,,11.0,0.0
july06,Vijayapura,36.0,594.0,20.0,424.0,159.0,,11.0,0.0
july07,Vijayapura,22.0,616.0,18.0,442.0,163.0,,11.0,0.0
july08,Vijayapura,4.0,620.0,2.0,444.0,163.0,,13.0,0.0
july10,Vijayapura,89.0,710.0,13.0,463.0,234.0,,13.0,0.0
july11,Vijayapura,48.0,758.0,17.0,480.0,263.0,,15.0,0.0
july12,Vijayapura,0.0,758.0,10.0,490.0,252.0,1.0,16.0,0.0
july13,Vijayapura,86.0,844.0,84.0,574.0,254.0,0.0,16.0,0.0
july14,Vijayapura,52.0,896.0,80.0,654.0,223.0,3.0,19.0,0.0
july15,Vijayapura,80.0,976.0,0.0,654.0,303.0,0.0,19.0,0.0
july16,Vijayapura,144.0,1120.0,65.0,719.0,382.0,0.0,19.0,0.0
july17,Vijayapura,118.0,1238.0,84.0,803.0,415.0,1.0,20.0,0.0
july19,Vijayapura,171.0,1585.0,127.0,1033.0,531.0,1.0,21.0,0.0
july20,Vijayapura,160.0,1745.0,58.0,1091.0,632.0,1.0,22.0,0.0
july21,Vijayapura,13.0,1758.0,102.0,1193.0,542.0,1.0,23.0,0.0
july22,Vijayapura,52.0,1810.0,52.0,1245.0,542.0,0.0,23.0,0.0
july23,Vijayapura,20.0,1830.0,57.0,1302.0,504.0,1.0,24.0,0.0
july24,Vijayapura,158.0,1988.0,85.0,1387.0,577.0,0.0,24.0,0.0
july25,Vijayapura,175.0,2163.0,194.0,1581.0,558.0,0.0,24.0,0.0
july26,Vijayapura,132.0,2295.0,143.0,1724.0,546.0,1.0,25.0,0.0
july27,Vijayapura,110.0,2405.0,20.0,1744.0,634.0,2.0,27.0,0.0
july28,Vijayapura,153.0,2558.0,201.0,1945.0,585.0,1.0,28.0,0.0
july29,Vijayapura,90.0,2648.0,39.0,1984.0,635.0,1.0,29.0,0.0
july30,Vijayapura,124.0,2772.0,30.0,2014.0,729.0,0.0,29.0,0.0
july31,Vijayapura,118.0,2890.0,49.0,2061.0,795.0,5.0,34.0,0.0
aug01,Vijayapura,129.0,3019.0,55.0,2116.0,868.0,1.0,35.0,0.0
aug02,Vijayapura,113.0,3132.0,68.0,2184.0,912.0,1.0,36.0,0.0
aug03,Vijayapura,92.0,3224.0,9.0,2193.0,993.0,2.0,38.0,0.0
aug04,Vijayapura,71.0,3295.0,78.0,2271.0,985.0,1.0,39.0,0.0
aug05,Vijayapura,66.0,3361.0,63.0,2334.0,988.0,0.0,39.0,0.0
aug06,Vijayapura,58.0,3419.0,62.0,2396.0,983.0,1.0,40.0,0.0
aug07,Vijayapura,143.0,3562.0,128.0,2524.0,998.0,0.0,40.0,0.0
aug08,Vijayapura,143.0,3705.0,167.0,2691.0,973.0,1.0,41.0,0.0
aug09,Vijayapura,129.0,3834.0,110.0,2801.0,992.0,0.0,41.0,0.0
aug10,Vijayapura,139.0,3973.0,101.0,2902.0,1030.0,0.0,41.0,0.0
aug11,Vijayapura,121.0,4094.0,197.0,3099.0,952.0,2.0,43.0,0.0
aug12,Vijayapura,121.0,4215.0,90.0,3189.0,981.0,2.0,45.0,0.0
aug13,Vijayapura,121.0,4336.0,149.0,3338.0,951.0,2.0,47.0,0.0
aug14,Vijayapura,144.0,4480.0,122.0,3460.0,971.0,2.0,49.0,0.0
aug15,Vijayapura,232.0,4712.0,135.0,3595.0,1066.0,2.0,51.0,0.0
aug16,Vijayapura,158.0,4870.0,185.0,3780.0,1036.0,3.0,54.0,0.0
aug17,Vijayapura,106.0,4976.0,163.0,3943.0,976.0,3.0,57.0,0.0
aug18,Vijayapura,64.0,5040.0,220.0,4163.0,817.0,3.0,60.0,0.0
aug19,Vijayapura,107.0,5147.0,19.0,4182.0,903.0,2.0,62.0,0.0
aug20,Vijayapura,112.0,5259.0,150.0,4332.0,861.0,4.0,66.0,0.0
aug21,Vijayapura,124.0,5383.0,186.0,4518.0,795.0,4.0,70.0,0.0
aug22,Vijayapura,151.0,5534.0,130.0,4648.0,813.0,3.0,73.0,0.0
aug23,Vijayapura,134.0,5668.0,155.0,4803.0,788.0,4.0,77.0,0.0
aug24,Vijayapura,138.0,5806.0,90.0,4893.0,832.0,4.0,81.0,0.0
aug25,Vijayapura,135,5941.0,108.0,5001.0,855.0,4.0,85.0,0.0
aug26,Vijayapura,131.0,6072.0,102.0,5103.0,881.0,3.0,88.0,0.0
aug27,Vijayapura,121.0,6193.0,176.0,5279.0,823.0,3.0,91.0,0.0
