date,District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
july01,Yadagiri,8.0,949.0,14.0,838.0,110.0,,1.0,0.0
july02,Yadagiri,7.0,956.0,0.0,838.0,117.0,,1.0,0.0
july03,Yadagiri,14.0,970.0,17.0,855.0,114.0,,1.0,0.0
july04,Yadagiri,1.0,971.0,0.0,855.0,115.0,,1.0,0.0
july05,Yadagiri,0.0,971.0,12.0,867.0,103.0,,1.0,0.0
july06,Yadagiri,35.0,1006.0,2.0,869.0,136.0,,1.0,0.0
july07,Yadagiri,10.0,1016.0,0.0,869.0,146.0,,1.0,0.0
july08,Yadagiri,11.0,1027.0,3.0,872.0,154.0,,1.0,0.0
july10,Yadagiri,51.0,1094.0,5.0,877.0,216.0,,1.0,0.0
july11,Yadagiri,74.0,1168.0,6.0,883.0,284.0,,1.0,0.0
july12,Yadagiri,120.0,1288.0,11.0,894.0,393.0,0.0,1.0,0.0
july13,Yadagiri,162.0,1450.0,0.0,894.0,555.0,0.0,1.0,0.0
july14,Yadagiri,2.0,1452.0,0.0,894.0,557.0,0.0,1.0,0.0
july15,Yadagiri,49.0,1501.0,144.0,1038.0,462.0,0.0,1.0,0.0
july16,Yadagiri,34.0,1535.0,45.0,1083.0,451.0,0.0,1.0,0.0
july17,Yadagiri,4.0,1539.0,60.0,1143.0,395.0,0.0,1.0,0.0
july19,Yadagiri,10.0,1553.0,83.0,1363.0,189.0,0.0,1.0,0.0
july20,Yadagiri,43.0,1596.0,73.0,1436.0,159.0,0.0,1.0,0.0
july21,Yadagiri,117.0,1713.0,44.0,1480.0,232.0,0.0,1.0,0.0
july22,Yadagiri,43.0,1756.0,27.0,1507.0,248.0,0.0,1.0,0.0
july23,Yadagiri,55.0,1811.0,0.0,1507.0,303.0,0.0,1.0,0.0
july24,Yadagiri,53.0,1864.0,0.0,1507.0,356.0,0.0,1.0,0.0
july25,Yadagiri,68.0,1932.0,21.0,1528.0,402.0,1.0,2.0,0.0
july26,Yadagiri,56.0,1988.0,46.0,1574.0,412.0,0.0,2.0,0.0
july27,Yadagiri,64.0,2052.0,5.0,1579.0,471.0,0.0,2.0,0.0
july28,Yadagiri,67.0,2119.0,12.0,1591.0,526.0,0.0,2.0,0.0
july29,Yadagiri,114.0,2233.0,28.0,1619.0,612.0,0.0,2.0,0.0
july30,Yadagiri,58.0,2291.0,23.0,1642.0,646.0,1.0,3.0,0.0
july31,Yadagiri,56.0,2347.0,237.0,1879.0,464.0,1.0,4.0,0.0
aug01,Yadagiri,39.0,2386.0,15.0,1894.0,485.0,3.0,7.0,0.0
aug02,Yadagiri,39.0,2425.0,9.0,1903.0,515.0,0.0,7.0,0.0
aug03,Yadagiri,86.0,2511.0,12.0,1915.0,588.0,1.0,8.0,0.0
aug04,Yadagiri,76.0,2587.0,13.0,1928.0,649.0,2.0,10.0,0.0
aug05,Yadagiri,76.0,2663.0,39.0,1967.0,684.0,2.0,12.0,0.0
aug06,Yadagiri,37.0,2700.0,25.0,1992.0,695.0,1.0,13.0,0.0
aug07,Yadagiri,70.0,2770.0,71.0,2063.0,693.0,1.0,14.0,0.0
aug08,Yadagiri,200.0,2970.0,25.0,2088.0,866.0,2.0,16.0,0.0
aug09,Yadagiri,91.0,3061.0,31.0,2119.0,925.0,1.0,17.0,0.0
aug10,Yadagiri,68.0,3129.0,15.0,2134.0,978.0,0.0,17.0,0.0
aug11,Yadagiri,102.0,3231.0,82.0,2216.0,998.0,0.0,17.0,0.0
aug12,Yadagiri,107.0,3338.0,25.0,2241.0,1078.0,2.0,19.0,0.0
aug13,Yadagiri,83.0,3421.0,47.0,2288.0,1114.0,0.0,19.0,0.0
aug14,Yadagiri,116.0,3537.0,43.0,2331.0,1187.0,0.0,19.0,0.0
aug15,Yadagiri,64.0,3601.0,149.0,2480.0,1101.0,1.0,20.0,0.0
aug16,Yadagiri,236.0,3837.0,38.0,2518.0,1296.0,3.0,23.0,0.0
aug17,Yadagiri,69.0,3906.0,135.0,2653.0,1230.0,0.0,23.0,0.0
aug18,Yadagiri,107.0,4013.0,79.0,2732.0,1255.0,3.0,26.0,0.0
aug19,Yadagiri,41.0,4054.0,65.0,2797.0,1231.0,0.0,26.0,0.0
aug20,Yadagiri,68.0,4122.0,54.0,2851.0,1241.0,4.0,30.0,0.0
