District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,115.0,4922,81.0,4029.0,837,0.0,56.0,0
Ballari,540.0,16740,404.0,10476.0,6060,9.0,204.0,0
Belagavi,384.0,9481,192.0,5163.0,4167,7.0,151.0,0
Bengaluru Rural,79.0,3875,47.0,3226.0,628,0.0,21.0,0
Bengaluru Urban,2948.0,102770,2580.0,66602.0,34532,22.0,1635.0,1
Bidar,73.0,3949,172.0,3001.0,821,4.0,123.0,4
Chamarajanagara,59.0,1956,0.0,1386.0,538,0.0,24.0,8
Chikkaballapura,61.0,3229,93.0,2658.0,517,0.0,53.0,1
Chikkamagaluru,102.0,2749,80.0,1741.0,953,2.0,55.0,0
Chitradurga,98.0,1765,21.0,1130.0,621,0.0,14.0,0
Dakshina Kannada,202.0,9909,64.0,7184.0,2424,5.0,299.0,2
Davanagere,237.0,6508,158.0,4388.0,1972,7.0,148.0,0
Dharwada,252.0,8798,216.0,6262.0,2275,3.0,261.0,0
Gadag,174.0,3778,179.0,2635.0,1080,1.0,63.0,0
Hassana,144.0,5587,140.0,3559.0,1880,2.0,148.0,0
Haveri,224.0,3108,100.0,1884.0,1155,4.0,69.0,0
Kalaburagi,145.0,9774,161.0,7715.0,1873,7.0,186.0,0
Kodagu,65.0,1142,107.0,823.0,303,2.0,16.0,0
Kolara,50.0,2791,85.0,1975.0,767,2.0,49.0,0
Koppala,234.0,4310,233.0,2993.0,1233,5.0,84.0,0
Mandya,99.0,3947,64.0,2350.0,1557,1.0,40.0,0
Mysuru,0.0,12304,0.0,7302.0,4682,0.0,320.0,0
Raichuru,100.0,5734,292.0,4157.0,1506,3.0,71.0,0
Ramanagara,75.0,2509,43.0,1726.0,766,0.0,17.0,0
Shivamogga,227.0,5766,76.0,2915.0,2769,0.0,82.0,0
Tumakuru,136.0,3916,264.0,2633.0,1173,3.0,110.0,0
Udupi,278.0,9667,365.0,6735.0,2850,0.0,82.0,0
Uttara Kannada,91.0,3766,127.0,2861.0,867,0.0,38.0,0
Vijayapura,124.0,5383,186.0,4518.0,795,4.0,70.0,0
Yadagiri,255.0,4377,31.0,2882.0,1465,0.0,30.0,0
Others*,0.0,36,0.0,33.0,0,0.0,3.0,0
