District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,9,13581,14,13369,76,0,136,0
Ballari,15,38407,12,37632,189,0,586,0
Belagavi,14,25881,24,25288,252,0,341,0
Bengaluru Rural,24,17827,24,17368,312,1,147,0
Bengaluru Urban,728,375891,2507,354004,17676,13,4210,1
Bidar,2,7111,2,6906,31,0,170,4
Chamarajanagara,12,6485,6,6235,123,0,116,11
Chikkaballapura,34,12342,15,12014,213,0,114,1
Chikkamagaluru,12,13436,18,13075,223,0,138,0
Chitradurga,41,13828,45,13518,244,0,66,0
Dakshina Kannada,34,32213,81,31126,359,2,726,2
Davanagere,6,21724,14,21328,133,0,263,0
Dharwada,14,21564,13,20811,149,1,604,0
Gadag,3,10815,4,10607,67,0,141,0
Hassana,31,27396,40,26620,389,0,387,0
Haveri,12,10864,130,10591,84,0,189,0
Kalaburagi,12,20647,20,20131,195,1,321,0
Kodagu,8,5393,14,5252,73,0,68,0
Kolara,16,9359,22,9040,146,0,173,0
Koppala,9,13723,4,13404,41,0,278,0
Mandya,40,18927,20,18428,352,0,147,0
Mysuru,71,51215,73,49882,330,1,1003,0
Raichuru,9,13974,13,13613,204,0,157,0
Ramanagara,8,7274,5,7155,44,0,75,0
Shivamogga,33,21718,20,21166,204,0,348,0
Tumakuru,33,23781,27,22940,470,1,371,0
Udupi,15,22828,13,22505,136,0,187,0
Uttara Kannada,15,13946,17,13631,143,0,172,0
Vijayapura,10,13890,12,13603,85,0,202,0
Yadagiri,9,10487,9,10313,113,0,61,0
Others*,0,36,0,33,0,0,3,0
