District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bengaluru Urban,2233.0,53324,1912.0,15791.0,36523,22.0,1009.0,1
Mysuru,430.0,4013,70.0,1215.0,2661,9.0,137.0,0
Ballari,343.0,6063,337.0,2566.0,3423,0.0,74.0,0
Udupi,248.0,4142,61.0,2372.0,1741,4.0,29.0,0
Bengaluru Rural,224.0,2151,0.0,247.0,1894,0.0,10.0,0
Kalaburagi,220.0,5166,124.0,2553.0,2524,7.0,89.0,0
Belagavi,202.0,3013,50.0,831.0,2117,4.0,65.0,0
Dakshina Kannada,198.0,5504,105.0,2561.0,2811,7.0,130.0,2
Dharwada,180.0,3911,152.0,1665.0,2122,8.0,124.0,0
Raichuru,166.0,2154,191.0,1311.0,820,0.0,23.0,0
Shivamogga,143.0,1565,0.0,582.0,960,1.0,23.0,0
Bagalakote,126.0,1591,55.0,806.0,739,2.0,46.0,0
Chikkamagaluru,126.0,919,30.0,426.0,472,1.0,21.0,0
Vijayapura,124.0,2772,30.0,2014.0,729,0.0,29.0,0
Uttara Kannada,120.0,2020,50.0,1227.0,771,2.0,22.0,0
Ramanagara,106.0,959,0.0,312.0,637,0.0,10.0,0
Tumakuru,104.0,1513,60.0,455.0,1012,1.0,46.0,0
Hassana,94.0,2035,21.0,865.0,1112,6.0,58.0,0
Gadag,88.0,1289,19.0,467.0,793,1.0,29.0,0
Mandya,87.0,1500,50.0,914.0,576,0.0,10.0,0
Davanagere,86.0,1979,85.0,1066.0,867,1.0,46.0,0
Chikkaballapura,82.0,1720,176.0,1037.0,648,0.0,34.0,1
Koppala,78.0,1040,10.0,577.0,444,1.0,19.0,0
Bidar,69.0,2107,44.0,1401.0,629,2.0,73.0,4
Yadagiri,58.0,2291,23.0,1642.0,646,1.0,3.0,0
Haveri,58.0,934,18.0,521.0,388,1.0,25.0,0
Chitradurga,47.0,617,0.0,160.0,451,0.0,6.0,0
Kolara,32.0,1293,90.0,448.0,820,2.0,25.0,0
Chamarajanagara,32.0,625,30.0,364.0,255,0.0,6.0,0
Kodagu,24.0,386,0.0,266.0,114,0.0,6.0,0
Others*,0.0,36,0.0,32.0,1,0.0,3.0,0
