District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,88,10729,207,9632,988,0,109,0
Ballari,253,32530,240,29208,2852,4,470,0
Belagavi,258,19870,197,17467,2103,3,300,0
Bengaluru Rural,283,10337,191,8250,1990,1,97,0
Bengaluru Urban,3925,245700,2001,189362,53292,21,3045,1
Bidar,14,6438,95,5838,438,2,158,4
Chamarajanagara,179,4381,15,3157,1134,1,79,11
Chikkaballapura,234,7848,15,5812,1949,0,86,1
Chikkamagaluru,175,9249,189,7338,1787,1,124,0
Chitradurga,76,7680,200,6228,1414,0,38,0
Dakshina Kannada,258,24019,344,17709,5742,9,566,2
Davanagere,129,16595,294,14858,1494,1,243,0
Dharwada,98,17823,142,14699,2620,5,504,0
Gadag,32,9374,70,8626,616,1,132,0
Hassana,460,18023,291,13850,3863,6,310,0
Haveri,71,8838,306,7131,1542,2,165,0
Kalaburagi,107,17523,322,14985,2258,2,280,0
Kodagu,37,2870,42,2327,503,0,40,0
Kolara,20,5953,25,4755,1108,0,90,0
Koppala,98,11794,112,9958,1599,2,237,0
Mandya,206,11774,237,9744,1920,2,110,0
Mysuru,1514,36291,859,28465,7028,18,798,0
Raichuru,199,11739,176,10027,1575,1,137,0
Ramanagara,58,5428,92,4620,760,0,48,0
Shivamogga,337,17135,866,14045,2787,3,303,0
Tumakuru,302,14149,963,11051,2841,6,257,0
Udupi,158,17789,297,15662,1973,3,154,0
Uttara Kannada,92,9743,32,6987,2641,4,115,0
Vijayapura,97,9996,131,8899,930,1,167,0
Yadagiri,128,8862,38,7772,1036,1,54,0
Others*,0,36,0,33,0,0,3,0
