District_Name,Todays_Positives,Total_Positives,Todays_Discharges,Total_Discharges,Total_Active_Cases,Todays_Covid_Deaths,Total_Covid_Deaths,Non_Covid_Deaths
Bagalakote,191.0,10058,71.0,8729.0,1224,0.0,105.0,0
Ballari,164.0,31107,1489.0,28049.0,2600,6.0,458.0,0
Belagavi,78.0,19086,149.0,16507.0,2292,4.0,287.0,0
Bengaluru Rural,110.0,9094,208.0,6769.0,2234,0.0,91.0,0
Bengaluru Urban,2722.0,223569,2805.0,176541.0,44182,9.0,2845.0,1
Bidar,45.0,6219,100.0,5601.0,463,0.0,151.0,4
Chamarajanagara,64.0,3874,33.0,3021.0,771,1.0,71.0,11
Chikkaballapura,106.0,7249,11.0,5609.0,1555,1.0,84.0,1
Chikkamagaluru,219.0,8423,102.0,6748.0,1557,1.0,118.0,0
Chitradurga,176.0,6987,228.0,5680.0,1272,0.0,35.0,0
Dakshina Kannada,217.0,22344,190.0,16270.0,5557,7.0,515.0,2
Davanagere,107.0,15632,100.0,12584.0,2807,1.0,241.0,0
Dharwada,145.0,17201,236.0,14254.0,2465,1.0,482.0,0
Gadag,61.0,8938,142.0,8196.0,613,0.0,129.0,0
Hassana,320.0,15944,128.0,12617.0,3049,4.0,278.0,0
Haveri,83.0,8342,38.0,6446.0,1739,4.0,157.0,0
Kalaburagi,273.0,16841,119.0,13903.0,2664,2.0,274.0,0
Kodagu,25.0,2592,28.0,2116.0,442,1.0,34.0,0
Kolara,90.0,5701,44.0,4428.0,1190,0.0,83.0,0
Koppala,45.0,11274,200.0,8736.0,2323,0.0,215.0,0
Mandya,209.0,10542,79.0,8535.0,1907,0.0,100.0,0
Mysuru,240.0,33540,20.0,26121.0,6695,2.0,724.0,0
Raichuru,52.0,11075,194.0,9419.0,1521,1.0,135.0,0
Ramanagara,75.0,5092,49.0,4336.0,710,0.0,46.0,0
Shivamogga,181.0,15758,209.0,12418.0,3057,6.0,283.0,0
Tumakuru,187.0,12509,100.0,8777.0,3503,4.0,229.0,0
Udupi,332.0,16686,195.0,14712.0,1830,0.0,144.0,0
Uttara Kannada,176.0,9213,43.0,6707.0,2395,2.0,111.0,0
Vijayapura,117.0,9278,62.0,8474.0,642,1.0,162.0,0
Yadagiri,82.0,8254,137.0,7414.0,789,1.0,51.0,0
Others*,0.0,36,0.0,33.0,0,0.0,3.0,0
