District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,18,14012,3,13755,121,0,136,0
Ballari,87,40133,22,39032,501,1,600,0
Belagavi,47,27641,16,26964,333,0,344,0
Bengaluru Rural,80,20039,60,19055,818,1,166,0
Bengaluru Urban,4266,455025,2417,417726,32605,26,4693,1
Bidar,167,10147,175,8448,1509,1,186,4
Chamarajanagara,5,7176,3,6941,104,0,120,11
Chikkaballapura,16,14111,9,13903,89,0,118,1
Chikkamagaluru,29,14463,11,14057,265,0,141,0
Chitradurga,21,15295,10,15104,122,0,69,0
Dakshina Kannada,89,36143,35,34721,680,0,740,2
Davanagere,47,22751,3,22317,170,0,264,0
Dharwada,43,23335,42,22275,427,3,633,0
Gadag,12,11275,12,11039,95,0,141,0
Hassana,110,30001,40,28854,740,0,407,0
Haveri,5,11084,2,10858,35,0,191,0
Kalaburagi,261,24981,185,23140,1488,2,353,0
Kodagu,22,6445,3,6273,99,0,73,0
Kolara,56,10825,26,10365,279,1,181,0
Koppala,20,14171,20,13735,156,0,280,0
Mandya,102,20622,40,20007,455,1,160,0
Mysuru,237,56926,145,54603,1256,3,1067,0
Raichuru,29,14615,9,14261,196,0,158,0
Ramanagara,14,7569,8,7409,83,0,77,0
Shivamogga,49,23001,15,22343,308,0,350,0
Tumakuru,157,27794,77,26206,1185,0,403,0
Udupi,57,25631,55,25051,388,0,192,0
Uttara Kannada,66,15255,13,14759,316,0,180,0
Vijayapura,22,15182,22,14810,164,0,208,0
Yadagiri,16,10900,9,10718,120,0,62,0
Others*,0,36,0,33,0,0,3,0
