District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
Bagalakote,0,13781,0,13642,3,0,136,0
Ballari,8,39311,8,38635,79,0,597,0
Belagavi,6,26966,10,26525,99,0,342,0
Bengaluru Rural,10,18862,4,18627,74,0,161,0
Bengaluru Urban,367,407636,182,398365,4774,3,4496,1
Bidar,20,7622,8,7350,95,0,173,4
Chamarajanagara,3,6995,3,6843,21,0,120,11
Chikkaballapura,7,13789,3,13632,38,0,118,1
Chikkamagaluru,5,14039,2,13883,17,0,139,0
Chitradurga,7,14956,7,14812,75,0,69,0
Dakshina Kannada,27,34553,12,33590,223,0,738,2
Davanagere,7,22462,1,22168,30,0,264,0
Dharwada,7,22389,11,21718,52,0,619,0
Gadag,4,11028,1,10876,11,0,141,0
Hassana,8,28783,7,28298,88,1,397,0
Haveri,1,11024,0,10830,4,0,190,0
Kalaburagi,18,22127,7,21610,187,0,330,0
Kodagu,9,6183,4,6047,63,0,73,0
Kolara,5,10134,4,9923,34,0,177,0
Koppala,0,13948,4,13664,5,0,279,0
Mandya,2,19810,2,19637,21,0,152,0
Mysuru,9,54191,18,53004,153,0,1034,0
Raichuru,0,14317,2,14139,20,0,158,0
Ramanagara,0,7436,1,7351,8,0,77,0
Shivamogga,1,22511,10,22125,37,0,349,0
Tumakuru,13,25786,19,25209,185,1,392,0
Udupi,14,23687,17,23424,73,0,190,0
Uttara Kannada,16,14737,3,14516,43,0,178,0
Vijayapura,6,14594,5,14320,68,0,206,0
Yadagiri,0,10700,0,10625,14,0,61,0
Others*,0,36,0,33,0,0,3,0
