District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons,Date
Bengaluru Urban,19353,776093,7256,498562,270993,162,6537,1,01-05-2021
Bengaluru Urban,21199,797292,10361,508923,281767,64,6601,1,02-05-2021
Bengaluru Urban,22112,819404,8847,517770,294917,115,6716,1,03-05-2021
"Bengaluru
Urban**",20870,840274,13946,531716,301712,132,6845,1,04-05-2021
Bengaluru Urban,23106,863380,11343,543059,313314,161,7006,1,05-05-2021
Bengaluru Urban,23706,887086,4149,547208,332732,139,7145,1,06-05-2021
Bengaluru Urban,21376,908462,11784,558992,341978,346,7491,1,07-05-2021
Bengaluru Urban,21534,929996,18473,577465,344754,285,7776,1,08-05-2021
Bengaluru Urban,20897,950893,15000,592465,350370,281,8057,1,09-05-2021
Bengaluru Urban,16747,967640,14289,606754,352454,374,8431,1,10-05-2021
Bengaluru Urban,15879,983519,5378,612132,362696,259,8690,1,11-05-2021
"Bengaluru
Urban**",16286,999805,18089,630221,360619,275,8964,1,12-05-2021
Bengaluru Urban,15191,1014996,16084,646305,359565,161,9125,1,13-05-2021
Bengaluru Urban,14316,1029312,12898,659203,360862,121,9246,1,14-05-2021
Bengaluru Urban,13402,1042714,7379,666582,366791,94,9340,1,15-05-2021
Bengaluru Urban,8344,1051058,13612,680194,361380,143,9483,1,16-05-2021
Bengaluru Urban,13338,1064396,10097,690291,364382,239,9722,1,17-05-2021
Bengaluru Urban,8676,1073072,31795,722086,340965,298,10020,1,18-05-2021
Bengaluru Urban,11772,1084844,29238,751324,323281,218,10238,1,19-05-2021
Bengaluru Urban,9409,1094253,25776,777100,306625,289,10527,1,20-05-2021
